platform,source_event_id,source_market_id,source_selection_id,player_name,team,sport,stat_type,prop_category,line,over_american_odds,under_american_odds,game_id,game_start_time,status,pulled_at,model_status,resolved_stat_key,season_avg,recent_form,games_played,games_remaining,model_mean,model_sigma,prob_over,prob_under,implied_prob_over,implied_prob_under,implied_prob_includes_field_vig,edge_over,edge_under
draftkings,34118096,334310190,0QA334310190#2241747445_13L88808Q1335928498Q20,Hunter Luepke,,NFL,First TD Scorer,player_touchdown,,5000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334310190,0QA334310190#2241747447_13L88808Q1-63251216Q20,Brevyn Spann-Ford,,NFL,First TD Scorer,player_touchdown,,5000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334310190,0QA334310190#2151981045_13L88808Q1-1516925916Q20,Devin Singletary,,NFL,First TD Scorer,player_touchdown,,5500.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334310190,0QA334310190#2282897398_13L88808Q1-58255764Q20,Israel Abanikanda,,NFL,First TD Scorer,player_touchdown,,7500.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334310190,0QA334310190#2241747437_13L88808Q1907169483Q20,Patrick Ricard,,NFL,First TD Scorer,player_touchdown,,9000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334310190,0QA334310190#2151982409_13L88808Q11503473209Q20,Jonathan Mingo,,NFL,First TD Scorer,player_touchdown,,12000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334310190,0QA334310190#2266286397_13L88808Q1-215048866Q20,Camden Brown,,NFL,First TD Scorer,player_touchdown,,13000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334310190,0QA334310190#2241747441_13L88808Q11547424598Q20,Dalen Cambre,,NFL,First TD Scorer,player_touchdown,,15000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334310190,0QA334310190#2241747443_13L88808Q1-138520799Q20,Chris Manhertz,,NFL,First TD Scorer,player_touchdown,,16000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334310190,0QA334310190#2266274945_13L88808Q1-348564005Q20,Thomas Fidone II,,NFL,First TD Scorer,player_touchdown,,16000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
