flag_id,track,flagged_side,first_flagged_at,first_flagged_model_prob,first_flagged_market_price,first_flagged_edge,consensus_available,consensus_label,consensus_price,consensus_edge,last_seen_at,last_seen_market_price,status,closing_market_price,closing_pulled_at,price_moved,clv_edge_at_close,series_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,forecast_kind,forecast_value_f,lead_days,model_sigma_f,sigma_source
KXLOWTOKC-26SEP07-B74.5,weather,no,2026-09-09T17:35:00Z,0.858,0.505,0.353,False,,,,2026-09-09T17:35:00Z,0.505,open,,,,,KXLOWTOKC,Low Temperature Oklahoma City,KOKC,2026-09-07,between,74.0,75.0,min,76.0,0,2.23,literature_placeholder
KXLOWTOKC-26SEP07-B72.5,weather,no,2026-09-09T17:35:00Z,0.9471,0.86,0.0871,False,,,,2026-09-09T17:35:00Z,0.86,open,,,,,KXLOWTOKC,Low Temperature Oklahoma City,KOKC,2026-09-07,between,72.0,73.0,min,76.0,0,2.23,literature_placeholder
KXLOWTOKC-26SEP07-B70.5,weather,no,2026-09-09T17:35:00Z,0.9911,0.94,0.0511,False,,,,2026-09-09T17:35:00Z,0.94,open,,,,,KXLOWTOKC,Low Temperature Oklahoma City,KOKC,2026-09-07,between,70.0,71.0,min,76.0,0,2.23,literature_placeholder
KXLOWTDEN-26SEP07-T67,weather,yes,2026-09-09T17:35:00Z,0.0894,0.02,0.0694,False,,,,2026-09-09T17:35:00Z,0.02,open,,,,,KXLOWTDEN,Lowest temperature in Denver,KDEN,2026-09-07,greater,67.0,,min,64.0,0,2.23,literature_placeholder
KXLOWTDEN-26SEP07-T60,weather,no,2026-09-09T17:35:00Z,0.9635,0.9,0.0635,False,,,,2026-09-09T17:35:00Z,0.9,open,,,,,KXLOWTDEN,Lowest temperature in Denver,KDEN,2026-09-07,less,,60.0,min,64.0,0,2.23,literature_placeholder
KXLOWTDEN-26SEP07-B66.5,weather,yes,2026-09-09T17:35:00Z,0.0956,0.065,0.0306,False,,,,2026-09-09T17:35:00Z,0.065,open,,,,,KXLOWTDEN,Lowest temperature in Denver,KDEN,2026-09-07,between,66.0,67.0,min,64.0,0,2.23,literature_placeholder
KXLOWTDEN-26SEP07-B64.5,weather,no,2026-09-09T17:35:00Z,0.827,0.715,0.112,False,,,,2026-09-09T17:35:00Z,0.715,open,,,,,KXLOWTDEN,Lowest temperature in Denver,KDEN,2026-09-07,between,64.0,65.0,min,64.0,0,2.23,literature_placeholder
KXLOWTDEN-26SEP07-B62.5,weather,no,2026-09-09T17:35:00Z,0.858,0.665,0.193,False,,,,2026-09-09T17:35:00Z,0.665,open,,,,,KXLOWTDEN,Lowest temperature in Denver,KDEN,2026-09-07,between,62.0,63.0,min,64.0,0,2.23,literature_placeholder
KXLOWTDEN-26SEP07-B60.5,weather,no,2026-09-09T17:35:00Z,0.9471,0.78,0.1671,False,,,,2026-09-09T17:35:00Z,0.78,open,,,,,KXLOWTDEN,Lowest temperature in Denver,KDEN,2026-09-07,between,60.0,61.0,min,64.0,0,2.23,literature_placeholder
KXHIGHTBOS-26SEP07-T75,weather,yes,2026-09-09T17:35:00Z,0.327,0.02,0.307,False,,,,2026-09-09T17:35:00Z,0.02,open,,,,,KXHIGHTBOS,Boston Maximum Daily Temperature,KBOS,2026-09-07,less,,75.0,max,76.0,0,2.23,literature_placeholder
