lead_days,sample_count,mae_f,mean_bias_f,last_updated
0,2538,1.953,0.185,2026-09-21T17:07:09.838056+00:00
1,2350,1.788,-0.019,2026-09-21T17:07:09.838056+00:00
2,2110,2.02,-0.045,2026-09-21T17:07:09.838056+00:00
3,1966,2.169,0.015,2026-09-21T17:07:09.838056+00:00
4,1774,2.634,0.256,2026-09-21T17:07:09.838056+00:00
5,1582,3.221,0.505,2026-09-21T17:07:09.838056+00:00
6,1342,3.468,0.348,2026-09-21T17:07:09.838056+00:00
7,1064,3.729,-0.097,2026-09-21T17:07:09.838056+00:00
8,322,3.4,-0.364,2026-09-21T17:07:09.838056+00:00
