market_ticker,city_label,target_date,strike_type,floor_strike,cap_strike,forecast_value_f,lead_days,model_prob_yes,sigma_source,real_result,directionally_correct,brier_component
KXLOWTSDF-26SEP06-T72,Lowest Temperature SDX,2026-09-06,greater,72.0,,73.0,0,0.7245,real_measured,no,False,0.5249
KXLOWTSDF-26SEP06-T65,Lowest Temperature SDX,2026-09-06,less,,65.0,73.0,0,0.0,real_measured,no,True,0.0
KXLOWTSDF-26SEP06-B71.5,Lowest Temperature SDX,2026-09-06,between,71.0,72.0,73.0,0,0.159,real_measured,no,True,0.0253
KXLOWTSDF-26SEP06-B69.5,Lowest Temperature SDX,2026-09-06,between,69.0,70.0,73.0,0,0.0283,real_measured,yes,False,0.9443
KXLOWTSDF-26SEP06-B67.5,Lowest Temperature SDX,2026-09-06,between,67.0,68.0,73.0,0,0.0013,real_measured,no,True,0.0
KXLOWTSDF-26SEP06-B65.5,Lowest Temperature SDX,2026-09-06,between,65.0,66.0,73.0,0,0.0,real_measured,no,True,0.0
KXHIGHCHI-26SEP06-T82,Highest temperature in Chicago,2026-09-06,greater,82.0,,79.0,0,0.0368,real_measured,no,True,0.0014
KXHIGHCHI-26SEP06-T75,Highest temperature in Chicago,2026-09-06,less,,75.0,79.0,0,0.0085,real_measured,no,True,0.0001
KXHIGHCHI-26SEP06-B81.5,Highest temperature in Chicago,2026-09-06,between,81.0,82.0,79.0,0,0.0797,real_measured,no,True,0.0064
KXHIGHCHI-26SEP06-B79.5,Highest temperature in Chicago,2026-09-06,between,79.0,80.0,79.0,0,0.2245,real_measured,yes,False,0.6014
KXHIGHCHI-26SEP06-B77.5,Highest temperature in Chicago,2026-09-06,between,77.0,78.0,79.0,0,0.159,real_measured,no,True,0.0253
KXHIGHCHI-26SEP06-B75.5,Highest temperature in Chicago,2026-09-06,between,75.0,76.0,79.0,0,0.0283,real_measured,no,True,0.0008
KXLOWTSEA-26SEP06-T54,Low Temperature Seattle,2026-09-06,greater,54.0,,52.0,0,0.1165,real_measured,no,True,0.0136
KXLOWTSEA-26SEP06-T47,Low Temperature Seattle,2026-09-06,less,,47.0,52.0,0,0.0014,real_measured,no,True,0.0
KXLOWTSEA-26SEP06-B53.5,Low Temperature Seattle,2026-09-06,between,53.0,54.0,52.0,0,0.159,real_measured,yes,False,0.7073
KXLOWTSEA-26SEP06-B51.5,Low Temperature Seattle,2026-09-06,between,51.0,52.0,52.0,0,0.2245,real_measured,no,True,0.0504
KXLOWTSEA-26SEP06-B49.5,Low Temperature Seattle,2026-09-06,between,49.0,50.0,52.0,0,0.0797,real_measured,no,True,0.0064
KXLOWTSEA-26SEP06-B47.5,Low Temperature Seattle,2026-09-06,between,47.0,48.0,52.0,0,0.0071,real_measured,no,True,0.0001
KXHIGHLAX-26SEP06-T83,Highest temperature in Los Angeles,2026-09-06,greater,83.0,,78.0,0,0.0014,real_measured,no,True,0.0
KXHIGHLAX-26SEP06-T76,Highest temperature in Los Angeles,2026-09-06,less,,76.0,78.0,0,0.1165,real_measured,no,True,0.0136
KXHIGHLAX-26SEP06-B82.5,Highest temperature in Los Angeles,2026-09-06,between,82.0,83.0,78.0,0,0.0071,real_measured,no,True,0.0001
KXHIGHLAX-26SEP06-B80.5,Highest temperature in Los Angeles,2026-09-06,between,80.0,81.0,78.0,0,0.0797,real_measured,no,True,0.0064
KXHIGHLAX-26SEP06-B78.5,Highest temperature in Los Angeles,2026-09-06,between,78.0,79.0,78.0,0,0.2245,real_measured,no,True,0.0504
KXHIGHLAX-26SEP06-B76.5,Highest temperature in Los Angeles,2026-09-06,between,76.0,77.0,78.0,0,0.159,real_measured,yes,False,0.7073
KXLOWTDAL-26SEP06-T81,Lowest temperature Dallas,2026-09-06,greater,81.0,,79.0,0,0.1165,real_measured,no,True,0.0136
KXLOWTDAL-26SEP06-T74,Lowest temperature Dallas,2026-09-06,less,,74.0,79.0,0,0.0014,real_measured,no,True,0.0
KXLOWTDAL-26SEP06-B80.5,Lowest temperature Dallas,2026-09-06,between,80.0,81.0,79.0,0,0.159,real_measured,no,True,0.0253
KXLOWTDAL-26SEP06-B78.5,Lowest temperature Dallas,2026-09-06,between,78.0,79.0,79.0,0,0.2245,real_measured,yes,False,0.6014
KXLOWTDAL-26SEP06-B76.5,Lowest temperature Dallas,2026-09-06,between,76.0,77.0,79.0,0,0.0797,real_measured,no,True,0.0064
KXLOWTDAL-26SEP06-B74.5,Lowest temperature Dallas,2026-09-06,between,74.0,75.0,79.0,0,0.0071,real_measured,no,True,0.0001
KXHIGHTSFO-26SEP06-T72,San Francisco High Temperature Daily,2026-09-06,greater,72.0,,69.0,0,0.0368,real_measured,no,True,0.0014
KXHIGHTSFO-26SEP06-T65,San Francisco High Temperature Daily,2026-09-06,less,,65.0,69.0,0,0.0085,real_measured,no,True,0.0001
KXHIGHTSFO-26SEP06-B71.5,San Francisco High Temperature Daily,2026-09-06,between,71.0,72.0,69.0,0,0.0797,real_measured,yes,False,0.847
KXHIGHTSFO-26SEP06-B69.5,San Francisco High Temperature Daily,2026-09-06,between,69.0,70.0,69.0,0,0.2245,real_measured,no,True,0.0504
