series_ticker,market_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,yes_bid,yes_ask,no_bid,no_ask,forecast_kind,forecast_value_f,lead_days,model_sigma_f,sigma_source,model_prob_yes,model_status,pulled_at
KXLOWTSEA,KXLOWTSEA-26SEP20-T54,Low Temperature Seattle,KSEA,2026-09-20,greater,54.0,,0.01,0.07,0.93,0.99,min,53.0,1,1.75,real_measured,0.2834,estimated,2026-09-19T14:24:16.215137+00:00
KXLOWTSEA,KXLOWTSEA-26SEP20-T47,Low Temperature Seattle,KSEA,2026-09-20,less,,47.0,0.0,0.01,0.99,1.0,min,53.0,1,1.75,real_measured,0.0003,estimated,2026-09-19T14:24:16.215137+00:00
KXLOWTSEA,KXLOWTSEA-26SEP20-B53.5,Low Temperature Seattle,KSEA,2026-09-20,between,53.0,54.0,0.19,0.3,0.7,0.81,min,53.0,1,1.75,real_measured,0.2166,estimated,2026-09-19T14:24:16.215137+00:00
KXLOWTSEA,KXLOWTSEA-26SEP20-B51.5,Low Temperature Seattle,KSEA,2026-09-20,between,51.0,52.0,0.45,0.56,0.44,0.55,min,53.0,1,1.75,real_measured,0.1574,estimated,2026-09-19T14:24:16.215137+00:00
KXLOWTSEA,KXLOWTSEA-26SEP20-B49.5,Low Temperature Seattle,KSEA,2026-09-20,between,49.0,50.0,0.13,0.22,0.78,0.87,min,53.0,1,1.75,real_measured,0.0319,estimated,2026-09-19T14:24:16.215137+00:00
KXLOWTSEA,KXLOWTSEA-26SEP20-B47.5,Low Temperature Seattle,KSEA,2026-09-20,between,47.0,48.0,0.01,0.08,0.92,0.99,min,53.0,1,1.75,real_measured,0.0018,estimated,2026-09-19T14:24:16.215137+00:00
KXLOWTSEA,KXLOWTSEA-26SEP19-T53,Low Temperature Seattle,KSEA,2026-09-19,greater,53.0,,0.0,0.01,0.99,1.0,min,52.0,0,1.92,real_measured,0.3015,estimated,2026-09-19T14:24:16.215137+00:00
KXLOWTSEA,KXLOWTSEA-26SEP19-T46,Low Temperature Seattle,KSEA,2026-09-19,less,,46.0,0.0,0.01,0.99,1.0,min,52.0,0,1.92,real_measured,0.0009,estimated,2026-09-19T14:24:16.215137+00:00
KXLOWTSEA,KXLOWTSEA-26SEP19-B52.5,Low Temperature Seattle,KSEA,2026-09-19,between,52.0,53.0,0.88,0.93,0.07,0.12,min,52.0,0,1.92,real_measured,0.1985,estimated,2026-09-19T14:24:16.215137+00:00
KXLOWTSEA,KXLOWTSEA-26SEP19-B50.5,Low Temperature Seattle,KSEA,2026-09-19,between,50.0,51.0,0.02,0.13,0.87,0.98,min,52.0,0,1.92,real_measured,0.1524,estimated,2026-09-19T14:24:16.215137+00:00
KXLOWTSEA,KXLOWTSEA-26SEP19-B48.5,Low Temperature Seattle,KSEA,2026-09-19,between,48.0,49.0,0.01,0.09,0.91,0.99,min,52.0,0,1.92,real_measured,0.0406,estimated,2026-09-19T14:24:16.215137+00:00
KXLOWTSEA,KXLOWTSEA-26SEP19-B46.5,Low Temperature Seattle,KSEA,2026-09-19,between,46.0,47.0,0.0,0.01,0.99,1.0,min,52.0,0,1.92,real_measured,0.0038,estimated,2026-09-19T14:24:16.215137+00:00
