series_ticker,market_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,yes_bid,yes_ask,no_bid,no_ask,forecast_kind,forecast_value_f,lead_days,model_sigma_f,sigma_source,model_prob_yes,model_status,pulled_at
KXLOWTTTN,KXLOWTTTN-26SEP13-T70,Trenton Daily low temp ,KTTN,2026-09-13,greater,70.0,,0.21,0.31,0.69,0.79,min,68.0,1,1.74,real_measured,0.1249,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTTTN,KXLOWTTTN-26SEP13-T63,Trenton Daily low temp ,KTTN,2026-09-13,less,,63.0,0.01,0.99,0.01,0.99,min,68.0,1,1.74,real_measured,0.002,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTTTN,KXLOWTTTN-26SEP13-B69.5,Trenton Daily low temp ,KTTN,2026-09-13,between,69.0,70.0,0.33,0.43,0.57,0.67,min,68.0,1,1.74,real_measured,0.1576,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTTTN,KXLOWTTTN-26SEP13-B67.5,Trenton Daily low temp ,KTTN,2026-09-13,between,67.0,68.0,0.22,0.32,0.68,0.78,min,68.0,1,1.74,real_measured,0.2175,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTTTN,KXLOWTTTN-26SEP13-B65.5,Trenton Daily low temp ,KTTN,2026-09-13,between,65.0,66.0,0.03,0.13,0.87,0.97,min,68.0,1,1.74,real_measured,0.0827,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTTTN,KXLOWTTTN-26SEP13-B63.5,Trenton Daily low temp ,KTTN,2026-09-13,between,63.0,64.0,0.01,0.99,0.01,0.99,min,68.0,1,1.74,real_measured,0.0087,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTTTN,KXLOWTTTN-26SEP12-T60,Trenton Daily low temp ,KTTN,2026-09-12,greater,60.0,,0.0,0.01,0.99,1.0,min,59.0,0,2.0,real_measured,0.309,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTTTN,KXLOWTTTN-26SEP12-T53,Trenton Daily low temp ,KTTN,2026-09-12,less,,53.0,0.01,0.02,0.98,0.99,min,59.0,0,2.0,real_measured,0.0014,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTTTN,KXLOWTTTN-26SEP12-B59.5,Trenton Daily low temp ,KTTN,2026-09-12,between,59.0,60.0,0.0,0.01,0.99,1.0,min,59.0,0,2.0,real_measured,0.191,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTTTN,KXLOWTTTN-26SEP12-B57.5,Trenton Daily low temp ,KTTN,2026-09-12,between,57.0,58.0,0.0,0.01,0.99,1.0,min,59.0,0,2.0,real_measured,0.1497,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTTTN,KXLOWTTTN-26SEP12-B55.5,Trenton Daily low temp ,KTTN,2026-09-12,between,55.0,56.0,0.97,1.0,0.0,0.03,min,59.0,0,2.0,real_measured,0.0443,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTTTN,KXLOWTTTN-26SEP12-B53.5,Trenton Daily low temp ,KTTN,2026-09-12,between,53.0,54.0,0.0,0.03,0.97,1.0,min,59.0,0,2.0,real_measured,0.0049,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTSATX,KXLOWTSATX-26SEP13-T79,Lowest Temperature SATX,KSAT,2026-09-13,greater,79.0,,0.26,0.35,0.65,0.74,min,78.0,1,1.74,real_measured,0.2825,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTSATX,KXLOWTSATX-26SEP13-T72,Lowest Temperature SATX,KSAT,2026-09-13,less,,72.0,0.0,0.01,0.99,1.0,min,78.0,1,1.74,real_measured,0.0003,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTSATX,KXLOWTSATX-26SEP13-B78.5,Lowest Temperature SATX,KSAT,2026-09-13,between,78.0,79.0,0.43,0.53,0.47,0.57,min,78.0,1,1.74,real_measured,0.2175,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTSATX,KXLOWTSATX-26SEP13-B76.5,Lowest Temperature SATX,KSAT,2026-09-13,between,76.0,77.0,0.15,0.24,0.76,0.85,min,78.0,1,1.74,real_measured,0.1576,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTSATX,KXLOWTSATX-26SEP13-B74.5,Lowest Temperature SATX,KSAT,2026-09-13,between,74.0,75.0,0.02,0.74,0.26,0.98,min,78.0,1,1.74,real_measured,0.0315,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTSATX,KXLOWTSATX-26SEP13-B72.5,Lowest Temperature SATX,KSAT,2026-09-13,between,72.0,73.0,0.02,0.74,0.26,0.98,min,78.0,1,1.74,real_measured,0.0017,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTSATX,KXLOWTSATX-26SEP12-T78,Lowest Temperature SATX,KSAT,2026-09-12,greater,78.0,,0.97,0.98,0.02,0.03,min,77.0,0,2.0,real_measured,0.309,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTSATX,KXLOWTSATX-26SEP12-T71,Lowest Temperature SATX,KSAT,2026-09-12,less,,71.0,0.0,0.08,0.92,1.0,min,77.0,0,2.0,real_measured,0.0014,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTSATX,KXLOWTSATX-26SEP12-B77.5,Lowest Temperature SATX,KSAT,2026-09-12,between,77.0,78.0,0.02,0.03,0.97,0.98,min,77.0,0,2.0,real_measured,0.191,estimated,2026-09-12T14:07:50.006488+00:00
KXLOWTSATX,KXLOWTSATX-26SEP12-B75.5,Lowest Temperature SATX,KSAT,2026-09-12,between,75.0,76.0,0.01,0.12,0.88,0.99,min,77.0,0,2.0,real_measured,0.1497,estimated,2026-09-12T14:07:50.006488+00:00
