series_ticker,market_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,yes_bid,yes_ask,no_bid,no_ask,forecast_kind,forecast_value_f,lead_days,model_sigma_f,sigma_source,model_prob_yes,model_status,pulled_at
KXHIGHTPHX,KXHIGHTPHX-26SEP15-T97,Phoenix High Temperature Daily,KPHX,2026-09-15,less,,97.0,0.09,0.11,0.89,0.91,max,100.0,0,1.92,real_measured,0.0595,estimated,2026-09-15T01:29:11.523084+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP15-T104,Phoenix High Temperature Daily,KPHX,2026-09-15,greater,104.0,,0.0,0.02,0.98,1.0,max,100.0,0,1.92,real_measured,0.0188,estimated,2026-09-15T01:29:11.523084+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP15-B99.5,Phoenix High Temperature Daily,KPHX,2026-09-15,between,99.0,100.0,0.34,0.35,0.65,0.66,max,100.0,0,1.92,real_measured,0.1983,estimated,2026-09-15T01:29:11.523084+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP15-B97.5,Phoenix High Temperature Daily,KPHX,2026-09-15,between,97.0,98.0,0.1,0.11,0.89,0.9,max,100.0,0,1.92,real_measured,0.0898,estimated,2026-09-15T01:29:11.523084+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP15-B103.5,Phoenix High Temperature Daily,KPHX,2026-09-15,between,103.0,104.0,0.08,0.11,0.89,0.92,max,100.0,0,1.92,real_measured,0.0407,estimated,2026-09-15T01:29:11.523084+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP15-B101.5,Phoenix High Temperature Daily,KPHX,2026-09-15,between,101.0,102.0,0.39,0.4,0.6,0.61,max,100.0,0,1.92,real_measured,0.1523,estimated,2026-09-15T01:29:11.523084+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP14-T108,Phoenix High Temperature Daily,KPHX,2026-09-14,greater,108.0,,0.0,0.01,0.99,1.0,max,,-1,,,,target_date_passed,2026-09-15T01:29:11.523084+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP14-T101,Phoenix High Temperature Daily,KPHX,2026-09-14,less,,101.0,0.0,0.01,0.99,1.0,max,,-1,,,,target_date_passed,2026-09-15T01:29:11.523084+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP14-B107.5,Phoenix High Temperature Daily,KPHX,2026-09-14,between,107.0,108.0,0.0,0.01,0.99,1.0,max,,-1,,,,target_date_passed,2026-09-15T01:29:11.523084+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP14-B105.5,Phoenix High Temperature Daily,KPHX,2026-09-14,between,105.0,106.0,0.99,1.0,0.0,0.01,max,,-1,,,,target_date_passed,2026-09-15T01:29:11.523084+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP14-B103.5,Phoenix High Temperature Daily,KPHX,2026-09-14,between,103.0,104.0,0.0,0.01,0.99,1.0,max,,-1,,,,target_date_passed,2026-09-15T01:29:11.523084+00:00
KXHIGHTPHX,KXHIGHTPHX-26SEP14-B101.5,Phoenix High Temperature Daily,KPHX,2026-09-14,between,101.0,102.0,0.0,0.01,0.99,1.0,max,,-1,,,,target_date_passed,2026-09-15T01:29:11.523084+00:00
KXLOWTLAX,KXLOWTLAX-26SEP15-T67,Lowest Temperature in LA,KLAX,2026-09-15,greater,67.0,,0.52,0.58,0.42,0.48,min,67.0,0,1.92,real_measured,0.5,estimated,2026-09-15T01:29:11.523084+00:00
KXLOWTLAX,KXLOWTLAX-26SEP15-T60,Lowest Temperature in LA,KLAX,2026-09-15,less,,60.0,0.01,0.02,0.98,0.99,min,67.0,0,1.92,real_measured,0.0001,estimated,2026-09-15T01:29:11.523084+00:00
KXLOWTLAX,KXLOWTLAX-26SEP15-B66.5,Lowest Temperature in LA,KLAX,2026-09-15,between,66.0,67.0,0.3,0.41,0.59,0.7,min,67.0,0,1.92,real_measured,0.1983,estimated,2026-09-15T01:29:11.523084+00:00
