series_ticker,market_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,yes_bid,yes_ask,no_bid,no_ask,forecast_kind,forecast_value_f,lead_days,model_sigma_f,sigma_source,model_prob_yes,model_status,pulled_at
KXLOWTDAL,KXLOWTDAL-26SEP21-T75,Lowest temperature Dallas,KDFW,2026-09-21,greater,75.0,,0.03,0.1,0.9,0.97,min,76.0,0,1.84,real_measured,0.7066,estimated,2026-09-21T10:41:42.585371+00:00
KXLOWTDAL,KXLOWTDAL-26SEP21-T68,Lowest temperature Dallas,KDFW,2026-09-21,less,,68.0,0.0,0.02,0.98,1.0,min,76.0,0,1.84,real_measured,0.0,estimated,2026-09-21T10:41:42.585371+00:00
KXLOWTDAL,KXLOWTDAL-26SEP21-B74.5,Lowest temperature Dallas,KDFW,2026-09-21,between,74.0,75.0,0.54,0.93,0.07,0.46,min,76.0,0,1.84,real_measured,0.1549,estimated,2026-09-21T10:41:42.585371+00:00
KXLOWTDAL,KXLOWTDAL-26SEP21-B72.5,Lowest temperature Dallas,KDFW,2026-09-21,between,72.0,73.0,0.04,0.15,0.85,0.96,min,76.0,0,1.84,real_measured,0.0367,estimated,2026-09-21T10:41:42.585371+00:00
KXLOWTDAL,KXLOWTDAL-26SEP21-B70.5,Lowest temperature Dallas,KDFW,2026-09-21,between,70.0,71.0,0.02,0.07,0.93,0.98,min,76.0,0,1.84,real_measured,0.0027,estimated,2026-09-21T10:41:42.585371+00:00
KXLOWTDAL,KXLOWTDAL-26SEP21-B68.5,Lowest temperature Dallas,KDFW,2026-09-21,between,68.0,69.0,0.01,0.05,0.95,0.99,min,76.0,0,1.84,real_measured,0.0001,estimated,2026-09-21T10:41:42.585371+00:00
KXHIGHNY,KXHIGHNY-26SEP21-T73,Highest temperature in NYC,KNYC,2026-09-21,greater,73.0,,0.01,0.02,0.98,0.99,max,71.0,0,1.84,real_measured,0.1385,estimated,2026-09-21T10:41:42.585371+00:00
KXHIGHNY,KXHIGHNY-26SEP21-T66,Highest temperature in NYC,KNYC,2026-09-21,less,,66.0,0.0,0.01,0.99,1.0,max,71.0,0,1.84,real_measured,0.0033,estimated,2026-09-21T10:41:42.585371+00:00
KXHIGHNY,KXHIGHNY-26SEP21-B72.5,Highest temperature in NYC,KNYC,2026-09-21,between,72.0,73.0,0.23,0.24,0.76,0.77,max,71.0,0,1.84,real_measured,0.1549,estimated,2026-09-21T10:41:42.585371+00:00
KXHIGHNY,KXHIGHNY-26SEP21-B70.5,Highest temperature in NYC,KNYC,2026-09-21,between,70.0,71.0,0.57,0.58,0.42,0.43,max,71.0,0,1.84,real_measured,0.2066,estimated,2026-09-21T10:41:42.585371+00:00
KXHIGHNY,KXHIGHNY-26SEP21-B68.5,Highest temperature in NYC,KNYC,2026-09-21,between,68.0,69.0,0.14,0.15,0.85,0.86,max,71.0,0,1.84,real_measured,0.087,estimated,2026-09-21T10:41:42.585371+00:00
KXHIGHNY,KXHIGHNY-26SEP21-B66.5,Highest temperature in NYC,KNYC,2026-09-21,between,66.0,67.0,0.01,0.02,0.98,0.99,max,71.0,0,1.84,real_measured,0.0116,estimated,2026-09-21T10:41:42.585371+00:00
KXHIGHTSEA,KXHIGHTSEA-26SEP21-T76,Seattle Maximum Temperature Daily,KSEA,2026-09-21,greater,76.0,,0.0,0.01,0.99,1.0,max,69.0,0,1.84,real_measured,0.0001,estimated,2026-09-21T10:41:42.585371+00:00
KXHIGHTSEA,KXHIGHTSEA-26SEP21-T69,Seattle Maximum Temperature Daily,KSEA,2026-09-21,less,,69.0,0.63,0.65,0.35,0.37,max,69.0,0,1.84,real_measured,0.5,estimated,2026-09-21T10:41:42.585371+00:00
KXHIGHTSEA,KXHIGHTSEA-26SEP21-B75.5,Seattle Maximum Temperature Daily,KSEA,2026-09-21,between,75.0,76.0,0.0,0.01,0.99,1.0,max,69.0,0,1.84,real_measured,0.0005,estimated,2026-09-21T10:41:42.585371+00:00
