series_ticker,market_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,yes_bid,yes_ask,no_bid,no_ask,forecast_kind,forecast_value_f,lead_days,model_sigma_f,sigma_source,model_prob_yes,model_status,pulled_at
KXLOWTOKC,KXLOWTOKC-26SEP07-B70.5,Low Temperature Oklahoma City,KOKC,2026-09-07,between,70.0,71.0,0.03,0.09,0.91,0.97,min,76.0,0,2.23,literature_placeholder,0.0089,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTDEN,KXLOWTDEN-26SEP07-T67,Lowest temperature in Denver,KDEN,2026-09-07,greater,67.0,,0.01,0.03,0.97,0.99,min,64.0,0,2.23,literature_placeholder,0.0894,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTDEN,KXLOWTDEN-26SEP07-T60,Lowest temperature in Denver,KDEN,2026-09-07,less,,60.0,0.07,0.13,0.87,0.93,min,64.0,0,2.23,literature_placeholder,0.0365,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTDEN,KXLOWTDEN-26SEP07-B66.5,Lowest temperature in Denver,KDEN,2026-09-07,between,66.0,67.0,0.03,0.1,0.9,0.97,min,64.0,0,2.23,literature_placeholder,0.0956,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTDEN,KXLOWTDEN-26SEP07-B64.5,Lowest temperature in Denver,KDEN,2026-09-07,between,64.0,65.0,0.26,0.31,0.69,0.74,min,64.0,0,2.23,literature_placeholder,0.173,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTDEN,KXLOWTDEN-26SEP07-B62.5,Lowest temperature in Denver,KDEN,2026-09-07,between,62.0,63.0,0.29,0.38,0.62,0.71,min,64.0,0,2.23,literature_placeholder,0.142,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTDEN,KXLOWTDEN-26SEP07-B60.5,Lowest temperature in Denver,KDEN,2026-09-07,between,60.0,61.0,0.18,0.26,0.74,0.82,min,64.0,0,2.23,literature_placeholder,0.0529,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHTBOS,KXHIGHTBOS-26SEP07-T82,Boston Maximum Daily Temperature,KBOS,2026-09-07,greater,82.0,,0.0,0.01,0.99,1.0,max,76.0,0,2.23,literature_placeholder,0.0036,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHTBOS,KXHIGHTBOS-26SEP07-T75,Boston Maximum Daily Temperature,KBOS,2026-09-07,less,,75.0,0.01,0.03,0.97,0.99,max,76.0,0,2.23,literature_placeholder,0.327,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHTBOS,KXHIGHTBOS-26SEP07-B81.5,Boston Maximum Daily Temperature,KBOS,2026-09-07,between,81.0,82.0,0.23,0.24,0.76,0.77,max,76.0,0,2.23,literature_placeholder,0.0089,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHTBOS,KXHIGHTBOS-26SEP07-B79.5,Boston Maximum Daily Temperature,KBOS,2026-09-07,between,79.0,80.0,0.6,0.61,0.39,0.4,max,76.0,0,2.23,literature_placeholder,0.0529,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHTBOS,KXHIGHTBOS-26SEP07-B77.5,Boston Maximum Daily Temperature,KBOS,2026-09-07,between,77.0,78.0,0.15,0.16,0.84,0.85,max,76.0,0,2.23,literature_placeholder,0.142,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHTBOS,KXHIGHTBOS-26SEP07-B75.5,Boston Maximum Daily Temperature,KBOS,2026-09-07,between,75.0,76.0,0.01,0.02,0.98,0.99,max,76.0,0,2.23,literature_placeholder,0.173,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTCHI,KXLOWTCHI-26SEP07-T66,Lowest Temperature Chicago,KMDW,2026-09-07,greater,66.0,,0.17,0.25,0.75,0.83,min,64.0,0,2.23,literature_placeholder,0.185,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTCHI,KXLOWTCHI-26SEP07-T59,Lowest Temperature Chicago,KMDW,2026-09-07,less,,59.0,0.0,0.01,0.99,1.0,min,64.0,0,2.23,literature_placeholder,0.0125,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTCHI,KXLOWTCHI-26SEP07-B65.5,Lowest Temperature Chicago,KMDW,2026-09-07,between,65.0,66.0,0.67,0.68,0.32,0.33,min,64.0,0,2.23,literature_placeholder,0.142,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTCHI,KXLOWTCHI-26SEP07-B63.5,Lowest Temperature Chicago,KMDW,2026-09-07,between,63.0,64.0,0.18,0.19,0.81,0.82,min,64.0,0,2.23,literature_placeholder,0.173,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTCHI,KXLOWTCHI-26SEP07-B61.5,Lowest Temperature Chicago,KMDW,2026-09-07,between,61.0,62.0,0.0,0.03,0.97,1.0,min,64.0,0,2.23,literature_placeholder,0.0956,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTCHI,KXLOWTCHI-26SEP07-B59.5,Lowest Temperature Chicago,KMDW,2026-09-07,between,59.0,60.0,0.0,0.01,0.99,1.0,min,64.0,0,2.23,literature_placeholder,0.024,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTMIN,KXLOWTMIN-26SEP07-T70,Low  temperature Minnesota,KMSP,2026-09-07,greater,70.0,,0.0,0.01,0.99,1.0,min,68.0,0,2.23,literature_placeholder,0.185,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTMIN,KXLOWTMIN-26SEP07-T63,Low  temperature Minnesota,KMSP,2026-09-07,less,,63.0,0.0,0.01,0.99,1.0,min,68.0,0,2.23,literature_placeholder,0.0125,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTMIN,KXLOWTMIN-26SEP07-B69.5,Low  temperature Minnesota,KMSP,2026-09-07,between,69.0,70.0,0.66,0.74,0.26,0.34,min,68.0,0,2.23,literature_placeholder,0.142,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTMIN,KXLOWTMIN-26SEP07-B67.5,Low  temperature Minnesota,KMSP,2026-09-07,between,67.0,68.0,0.29,0.34,0.66,0.71,min,68.0,0,2.23,literature_placeholder,0.173,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTMIN,KXLOWTMIN-26SEP07-B65.5,Low  temperature Minnesota,KMSP,2026-09-07,between,65.0,66.0,0.01,0.02,0.98,0.99,min,68.0,0,2.23,literature_placeholder,0.0956,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTMIN,KXLOWTMIN-26SEP07-B63.5,Low  temperature Minnesota,KMSP,2026-09-07,between,63.0,64.0,0.01,0.03,0.97,0.99,min,68.0,0,2.23,literature_placeholder,0.024,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTATL,KXLOWTATL-26SEP07-T75,Low Temperature Atlanta,KATL,2026-09-07,greater,75.0,,0.0,0.01,0.99,1.0,min,73.0,0,2.23,literature_placeholder,0.185,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTATL,KXLOWTATL-26SEP07-T68,Low Temperature Atlanta,KATL,2026-09-07,less,,68.0,0.0,0.01,0.99,1.0,min,73.0,0,2.23,literature_placeholder,0.0125,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTATL,KXLOWTATL-26SEP07-B74.5,Low Temperature Atlanta,KATL,2026-09-07,between,74.0,75.0,0.0,0.01,0.99,1.0,min,73.0,0,2.23,literature_placeholder,0.142,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTATL,KXLOWTATL-26SEP07-B72.5,Low Temperature Atlanta,KATL,2026-09-07,between,72.0,73.0,0.72,0.78,0.22,0.28,min,73.0,0,2.23,literature_placeholder,0.173,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTATL,KXLOWTATL-26SEP07-B70.5,Low Temperature Atlanta,KATL,2026-09-07,between,70.0,71.0,0.26,0.29,0.71,0.74,min,73.0,0,2.23,literature_placeholder,0.0956,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTATL,KXLOWTATL-26SEP07-B68.5,Low Temperature Atlanta,KATL,2026-09-07,between,68.0,69.0,0.0,0.01,0.99,1.0,min,73.0,0,2.23,literature_placeholder,0.024,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHCHI,KXHIGHCHI-26SEP07-T83,Highest temperature in Chicago,KMDW,2026-09-07,greater,83.0,,0.01,0.02,0.98,0.99,max,79.0,0,2.23,literature_placeholder,0.0365,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHCHI,KXHIGHCHI-26SEP07-T76,Highest temperature in Chicago,KMDW,2026-09-07,less,,76.0,0.0,0.01,0.99,1.0,max,79.0,0,2.23,literature_placeholder,0.0894,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHCHI,KXHIGHCHI-26SEP07-B82.5,Highest temperature in Chicago,KMDW,2026-09-07,between,82.0,83.0,0.05,0.06,0.94,0.95,max,79.0,0,2.23,literature_placeholder,0.0529,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHCHI,KXHIGHCHI-26SEP07-B80.5,Highest temperature in Chicago,KMDW,2026-09-07,between,80.0,81.0,0.6,0.61,0.39,0.4,max,79.0,0,2.23,literature_placeholder,0.142,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHCHI,KXHIGHCHI-26SEP07-B78.5,Highest temperature in Chicago,KMDW,2026-09-07,between,78.0,79.0,0.31,0.34,0.66,0.69,max,79.0,0,2.23,literature_placeholder,0.173,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHCHI,KXHIGHCHI-26SEP07-B76.5,Highest temperature in Chicago,KMDW,2026-09-07,between,76.0,77.0,0.03,0.04,0.96,0.97,max,79.0,0,2.23,literature_placeholder,0.0956,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTAUS,KXLOWTAUS-26SEP07-T77,Lowest temperature in Austin,KAUS,2026-09-07,greater,77.0,,0.0,0.01,0.99,1.0,min,75.0,0,2.23,literature_placeholder,0.185,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTAUS,KXLOWTAUS-26SEP07-T70,Lowest temperature in Austin,KAUS,2026-09-07,less,,70.0,0.0,0.02,0.98,1.0,min,75.0,0,2.23,literature_placeholder,0.0125,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTAUS,KXLOWTAUS-26SEP07-B76.5,Lowest temperature in Austin,KAUS,2026-09-07,between,76.0,77.0,0.03,0.1,0.9,0.97,min,75.0,0,2.23,literature_placeholder,0.142,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTAUS,KXLOWTAUS-26SEP07-B74.5,Lowest temperature in Austin,KAUS,2026-09-07,between,74.0,75.0,0.59,0.68,0.32,0.41,min,75.0,0,2.23,literature_placeholder,0.173,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTAUS,KXLOWTAUS-26SEP07-B72.5,Lowest temperature in Austin,KAUS,2026-09-07,between,72.0,73.0,0.25,0.34,0.66,0.75,min,75.0,0,2.23,literature_placeholder,0.0956,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTAUS,KXLOWTAUS-26SEP07-B70.5,Lowest temperature in Austin,KAUS,2026-09-07,between,70.0,71.0,0.01,0.04,0.96,0.99,min,75.0,0,2.23,literature_placeholder,0.024,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHMIA,KXHIGHMIA-26SEP07-T93,Highest temperature in Miami,KMIA,2026-09-07,greater,93.0,,0.14,0.15,0.85,0.86,max,91.0,0,2.23,literature_placeholder,0.185,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHMIA,KXHIGHMIA-26SEP07-T86,Highest temperature in Miami,KMIA,2026-09-07,less,,86.0,0.01,0.02,0.98,0.99,max,91.0,0,2.23,literature_placeholder,0.0125,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHMIA,KXHIGHMIA-26SEP07-B92.5,Highest temperature in Miami,KMIA,2026-09-07,between,92.0,93.0,0.59,0.6,0.4,0.41,max,91.0,0,2.23,literature_placeholder,0.142,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHMIA,KXHIGHMIA-26SEP07-B90.5,Highest temperature in Miami,KMIA,2026-09-07,between,90.0,91.0,0.2,0.22,0.78,0.8,max,91.0,0,2.23,literature_placeholder,0.173,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHMIA,KXHIGHMIA-26SEP07-B88.5,Highest temperature in Miami,KMIA,2026-09-07,between,88.0,89.0,0.04,0.05,0.95,0.96,max,91.0,0,2.23,literature_placeholder,0.0956,estimated,2026-09-07T09:50:21.371533+00:00
KXHIGHMIA,KXHIGHMIA-26SEP07-B86.5,Highest temperature in Miami,KMIA,2026-09-07,between,86.0,87.0,0.02,0.03,0.97,0.98,max,91.0,0,2.23,literature_placeholder,0.024,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTDAL,KXLOWTDAL-26SEP07-T81,Lowest temperature Dallas,KDFW,2026-09-07,greater,81.0,,0.04,0.05,0.95,0.96,min,80.0,0,2.23,literature_placeholder,0.327,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTDAL,KXLOWTDAL-26SEP07-T74,Lowest temperature Dallas,KDFW,2026-09-07,less,,74.0,0.0,0.01,0.99,1.0,min,80.0,0,2.23,literature_placeholder,0.0036,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTDAL,KXLOWTDAL-26SEP07-B80.5,Lowest temperature Dallas,KDFW,2026-09-07,between,80.0,81.0,0.35,0.39,0.61,0.65,min,80.0,0,2.23,literature_placeholder,0.173,estimated,2026-09-07T09:50:21.371533+00:00
