platform,source_line_id,player_name,game_matchup,sport,stat_type,line,over_payout_multiplier,under_payout_multiplier,game_id,game_start_time,status,odds_type,pulled_at
prizepicks,14847017,Solana Sierra,Solana Sierra @ Cadence Brace,TENNIS,Fantasy Score,14.5,,,187208,2026-09-15T12:00:00.000-04:00,pre_game,standard,2026-09-15T15:32:05.598951+00:00
prizepicks,14835474,Solana Sierra,Solana Sierra @ Cadence Brace,TENNIS,Total Games,28.5,,,187208,2026-09-15T12:00:00.000-04:00,pre_game,demon,2026-09-15T15:32:05.598951+00:00
prizepicks,14835472,Solana Sierra,Solana Sierra @ Cadence Brace,TENNIS,Total Games,27.5,,,187208,2026-09-15T12:00:00.000-04:00,pre_game,demon,2026-09-15T15:32:05.598951+00:00
prizepicks,14835473,Solana Sierra,Solana Sierra @ Cadence Brace,TENNIS,Total Games,26.5,,,187208,2026-09-15T12:00:00.000-04:00,pre_game,demon,2026-09-15T15:32:05.598951+00:00
prizepicks,14855784,Solana Sierra,Solana Sierra @ Cadence Brace,TENNIS,Total Games,25.5,,,187208,2026-09-15T12:00:00.000-04:00,pre_game,demon,2026-09-15T15:32:05.598951+00:00
prizepicks,14855785,Solana Sierra,Solana Sierra @ Cadence Brace,TENNIS,Total Games,24.5,,,187208,2026-09-15T12:00:00.000-04:00,pre_game,demon,2026-09-15T15:32:05.598951+00:00
prizepicks,14855786,Solana Sierra,Solana Sierra @ Cadence Brace,TENNIS,Total Games,23.5,,,187208,2026-09-15T12:00:00.000-04:00,pre_game,demon,2026-09-15T15:32:05.598951+00:00
prizepicks,14835041,Solana Sierra,Solana Sierra @ Cadence Brace,TENNIS,Total Games,21.5,,,187208,2026-09-15T12:00:00.000-04:00,pre_game,standard,2026-09-15T15:32:05.598951+00:00
prizepicks,14835477,Solana Sierra,Solana Sierra @ Cadence Brace,TENNIS,Total Games,19.5,,,187208,2026-09-15T12:00:00.000-04:00,pre_game,goblin,2026-09-15T15:32:05.598951+00:00
prizepicks,14847023,Solana Sierra,Solana Sierra @ Cadence Brace,TENNIS,Fantasy Score,19.5,,,187208,2026-09-15T12:00:00.000-04:00,pre_game,demon,2026-09-15T15:32:05.598951+00:00
prizepicks,14835475,Solana Sierra,Solana Sierra @ Cadence Brace,TENNIS,Total Games,18.5,,,187208,2026-09-15T12:00:00.000-04:00,pre_game,goblin,2026-09-15T15:32:05.598951+00:00
prizepicks,14835476,Solana Sierra,Solana Sierra @ Cadence Brace,TENNIS,Total Games,17.5,,,187208,2026-09-15T12:00:00.000-04:00,pre_game,goblin,2026-09-15T15:32:05.598951+00:00
prizepicks,14855787,Solana Sierra,Solana Sierra @ Cadence Brace,TENNIS,Total Games Won,15.5,,,187208,2026-09-15T12:00:00.000-04:00,pre_game,demon,2026-09-15T15:32:05.598951+00:00
prizepicks,14835464,Cadence Brace,Solana Sierra @ Cadence Brace,TENNIS,Total Games Won,14.5,,,187208,2026-09-15T12:00:00.000-04:00,pre_game,demon,2026-09-15T15:32:05.598951+00:00
prizepicks,14835479,Solana Sierra,Solana Sierra @ Cadence Brace,TENNIS,Total Games Won,14.5,,,187208,2026-09-15T12:00:00.000-04:00,pre_game,demon,2026-09-15T15:32:05.598951+00:00
prizepicks,14835463,Cadence Brace,Solana Sierra @ Cadence Brace,TENNIS,Total Games Won,13.5,,,187208,2026-09-15T12:00:00.000-04:00,pre_game,demon,2026-09-15T15:32:05.598951+00:00
