outcome_id,flag_id,reported_at,platform,player_name,team,sport,stat_type,resolved_stat_key,flagged_side,first_flagged_line,first_flagged_model_prob,first_flagged_implied_prob,first_flagged_edge,clv_edge_at_close,consensus_available,result,actual_value,entry_type,stake,payout,net_profit,notes,context_lookup_status,graded_by
draftkings|334612412|0QA334612412#2151925101_13L88808Q1-1063669179Q20|2026-09-19T11:02:05Z,draftkings|334612412|0QA334612412#2151925101_13L88808Q1-1063669179Q20,2026-09-19T11:02:05Z,draftkings,Rhamondre Stevenson,,NFL,2+ TDs,rushing_tds+receiving_tds,over,1.5,0.3361,0.1628,0.1733,0.1660583653276459,False,loss,0.0,,,,,"Auto-graded from nfl's real stats (Session 2.18/2.26), graded against closing line 1.5 (2026-09-17 fix).",ok,auto
draftkings|334613199|0QA334613199#2151928221_13L88808Q1-1828996474Q20|2026-09-19T11:02:05Z,draftkings|334613199|0QA334613199#2151928221_13L88808Q1-1828996474Q20,2026-09-19T11:02:05Z,draftkings,Rhamondre Stevenson,,NFL,Anytime TD Scorer,rushing_tds+receiving_tds,over,0.5,0.6977,0.0953,0.6024,0.5997585913799854,False,loss,0.0,,,,,"Auto-graded from nfl's real stats (Session 2.18/2.26), graded against closing line 0.5 (2026-09-17 fix).",ok,auto
draftkings|334613199|0QA334613199#2151928211_13L88808Q11896367839Q20|2026-09-19T11:02:05Z,draftkings|334613199|0QA334613199#2151928211_13L88808Q11896367839Q20,2026-09-19T11:02:05Z,draftkings,Jaxon Smith-Njigba,,NFL,Anytime TD Scorer,rushing_tds+receiving_tds,over,0.5,0.3776,0.0849,0.2926,0.2939417134704042,False,win,1.0,,,,,"Auto-graded from nfl's real stats (Session 2.18/2.26), graded against closing line 0.5 (2026-09-17 fix).",ok,auto
draftkings|334613199|0QA334613199#2169981631_13L88808Q11457589561Q20|2026-09-19T11:02:05Z,draftkings|334613199|0QA334613199#2169981631_13L88808Q11457589561Q20,2026-09-19T11:02:05Z,draftkings,A.J. Brown,,NFL,Anytime TD Scorer,rushing_tds+receiving_tds,over,0.5,0.3386,0.0724,0.2662,0.2642370786403593,False,loss,0.0,,,,,"Auto-graded from nfl's real stats (Session 2.18/2.26), graded against closing line 0.5 (2026-09-17 fix).",ok,auto
draftkings|334613199|0QA334613199#2151928217_13L88808Q12121391530Q20|2026-09-19T11:02:05Z,draftkings|334613199|0QA334613199#2151928217_13L88808Q12121391530Q20,2026-09-19T11:02:05Z,draftkings,George Holani,,NFL,Anytime TD Scorer,rushing_tds+receiving_tds,over,0.5,0.1605,0.0641,0.0965,0.0924390211284645,False,loss,0.0,,,,,"Auto-graded from nfl's real stats (Session 2.18/2.26), graded against closing line 0.5 (2026-09-17 fix).",ok,auto
draftkings|334613199|0QA334613199#2151928214_13L88808Q1-1216598181Q20|2026-09-19T11:02:05Z,draftkings|334613199|0QA334613199#2151928214_13L88808Q1-1216598181Q20,2026-09-19T11:02:05Z,draftkings,Cooper Kupp,,NFL,Anytime TD Scorer,rushing_tds+receiving_tds,over,0.5,0.0974,0.0543,0.0432,0.0445631874549922,False,loss,0.0,,,,,"Auto-graded from nfl's real stats (Session 2.18/2.26), graded against closing line 0.5 (2026-09-17 fix).",ok,auto
draftkings|334613199|0QA334613199#2151928224_13L88808Q1-1762786291Q20|2026-09-19T11:02:05Z,draftkings|334613199|0QA334613199#2151928224_13L88808Q1-1762786291Q20,2026-09-19T11:02:05Z,draftkings,Hunter Henry,,NFL,Anytime TD Scorer,rushing_tds+receiving_tds,over,0.5,0.3501,0.0521,0.298,0.2943278089802695,False,loss,0.0,,,,,"Auto-graded from nfl's real stats (Session 2.18/2.26), graded against closing line 0.5 (2026-09-17 fix).",ok,auto
draftkings|334613199|0QA334613199#2151928223_13L88808Q1-349638135Q20|2026-09-19T11:02:05Z,draftkings|334613199|0QA334613199#2151928223_13L88808Q1-349638135Q20,2026-09-19T11:02:05Z,draftkings,Romeo Doubs,,NFL,Anytime TD Scorer,rushing_tds+receiving_tds,over,0.5,0.2971,0.0465,0.2506,0.2469050280822425,False,loss,0.0,,,,,"Auto-graded from nfl's real stats (Session 2.18/2.26), graded against closing line 0.5 (2026-09-17 fix).",ok,auto
draftkings|334613199|0QA334613199#2151928226_13L88808Q1-725127430Q20|2026-09-19T11:02:05Z,draftkings|334613199|0QA334613199#2151928226_13L88808Q1-725127430Q20,2026-09-19T11:02:05Z,draftkings,Drake Maye,,NFL,Anytime TD Scorer,rushing_tds+receiving_tds,over,0.5,0.2115,0.0355,0.176,0.1713440224657941,False,loss,0.0,,,,,"Auto-graded from nfl's real stats (Session 2.18/2.26), graded against closing line 0.5 (2026-09-17 fix).",ok,auto
draftkings|334613199|0QA334613199#2151928212_13L88808Q11707072676Q20|2026-09-19T11:02:05Z,draftkings|334613199|0QA334613199#2151928212_13L88808Q11707072676Q20,2026-09-19T11:02:05Z,draftkings,Emanuel Wilson,,NFL,Anytime TD Scorer,rushing_tds+receiving_tds,over,0.5,0.0845,0.0301,0.0544,0.0558171589041386,False,loss,0.0,,,,,"Auto-graded from nfl's real stats (Session 2.18/2.26), graded against closing line 0.5 (2026-09-17 fix).",ok,auto
draftkings|334613199|0QA334613199#2151928229_13L88808Q1-205213128Q20|2026-09-19T11:02:05Z,draftkings|334613199|0QA334613199#2151928229_13L88808Q1-205213128Q20,2026-09-19T11:02:05Z,draftkings,Demario Douglas,,NFL,Anytime TD Scorer,rushing_tds+receiving_tds,over,0.5,0.0895,0.0244,0.0651,0.0671911235921078,False,loss,0.0,,,,,"Auto-graded from nfl's real stats (Session 2.18/2.26), graded against closing line 0.5 (2026-09-17 fix).",ok,auto
