platform,market,flags_closed,legs,games,ungraded,win_rate,win_lo,win_hi,stated_prob,quoted_breakeven,logged_price,legs_with_odds,roi,roi_lo,roi_hi,verdict,verdict_ungraded_as_losses,worth_building_on
betmgm,Anytime TD,215,191,15,24,0.2879581151832461,0.23772538839469515,0.33819084197179705,0.28456492146596857,0.29205554276613316,0.057714659685863874,191,-0.001671099035075611,-0.3073086181408302,0.303966420070679,inconclusive,inconclusive,False
draftkings,2+ TDs,34,29,9,5,0.10344827586206896,-0.005035421423537995,0.21193197314767592,0.15594827586206897,0.07276901882813232,0.0743896551724138,28,0.4410714285714286,-1.4504700724271617,2.332612929570019,insufficient,inconclusive,False
draftkings,Anytime TD,138,120,10,18,0.225,0.15704796762639323,0.2929520323736068,0.25892,0.2458907372184664,0.0543425,108,0.09583333333333334,-0.33751810227750034,0.529184768944167,inconclusive,inconclusive,False
betmgm,ALL,215,191,15,24,0.2879581151832461,0.23772538839469515,0.33819084197179705,0.28456492146596857,0.29205554276613316,0.057714659685863874,191,-0.001671099035075611,-0.3073086181408302,0.303966420070679,inconclusive,inconclusive,False
draftkings,ALL,172,149,10,23,0.20134228187919462,0.14031333250829184,0.26237123125009737,0.23887852348993288,0.21024803049104465,0.05824429530201342,136,0.16691176470588234,-0.4300023305946473,0.763825860006412,inconclusive,inconclusive,False
ALL,ALL,387,340,25,47,0.25,0.20803436983955143,0.2919656301604486,0.26454352941176473,0.2580316232878089,0.05794676470588236,327,0.06844287487553688,-0.23138490566411005,0.3682706554151838,inconclusive,inconclusive,False
