series_ticker,market_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,settlement_source_name,settlement_source_url,yes_bid,yes_ask,no_bid,no_ask,yes_ask_size,yes_bid_size,volume,liquidity,close_time,status,pulled_at
KXHIGHTLV,KXHIGHTLV-26SEP18-T93,Las Vegas Max Daily Temperature,KLAS,2026-09-18,less,,93.0,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,61.0,0.0,523.99,0.0,2026-09-19T08:00:00Z,active,2026-09-18T09:45:44.393250+00:00
KXHIGHTLV,KXHIGHTLV-26SEP18-T100,Las Vegas Max Daily Temperature,KLAS,2026-09-18,greater,100.0,,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,683.0,0.0,304.0,0.0,2026-09-19T08:00:00Z,active,2026-09-18T09:45:44.393250+00:00
KXHIGHTLV,KXHIGHTLV-26SEP18-B99.5,Las Vegas Max Daily Temperature,KLAS,2026-09-18,between,99.0,100.0,The Weather Company,https://weather.com/kalshi,0.02,0.03,0.97,0.98,31.0,0.68,203.19,0.0,2026-09-19T08:00:00Z,active,2026-09-18T09:45:44.393250+00:00
KXHIGHTLV,KXHIGHTLV-26SEP18-B97.5,Las Vegas Max Daily Temperature,KLAS,2026-09-18,between,97.0,98.0,The Weather Company,https://weather.com/kalshi,0.14,0.15,0.85,0.86,7.16,26.0,947.16,0.0,2026-09-19T08:00:00Z,active,2026-09-18T09:45:44.393250+00:00
KXHIGHTLV,KXHIGHTLV-26SEP18-B95.5,Las Vegas Max Daily Temperature,KLAS,2026-09-18,between,95.0,96.0,The Weather Company,https://weather.com/kalshi,0.66,0.67,0.33,0.34,1.0,7.0,734.88,0.0,2026-09-19T08:00:00Z,active,2026-09-18T09:45:44.393250+00:00
KXHIGHTLV,KXHIGHTLV-26SEP18-B93.5,Las Vegas Max Daily Temperature,KLAS,2026-09-18,between,93.0,94.0,The Weather Company,https://weather.com/kalshi,0.11,0.12,0.88,0.89,197.38,85.0,217.08,0.0,2026-09-19T08:00:00Z,active,2026-09-18T09:45:44.393250+00:00
KXLOWTMIA,KXLOWTMIA-26SEP18-T80,Lowest temperature in Miami,KMIA,2026-09-18,greater,80.0,,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,23692.49,0.0,281.51,0.0,2026-09-19T05:00:00Z,active,2026-09-18T09:45:44.393250+00:00
KXLOWTMIA,KXLOWTMIA-26SEP18-T73,Lowest temperature in Miami,KMIA,2026-09-18,less,,73.0,The Weather Company,https://weather.com/kalshi,0.02,0.05,0.95,0.98,6.0,5.0,458.32,0.0,2026-09-19T05:00:00Z,active,2026-09-18T09:45:44.393250+00:00
KXLOWTMIA,KXLOWTMIA-26SEP18-B79.5,Lowest temperature in Miami,KMIA,2026-09-18,between,79.0,80.0,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,22066.49,0.0,1173.34,0.0,2026-09-19T05:00:00Z,active,2026-09-18T09:45:44.393250+00:00
KXLOWTMIA,KXLOWTMIA-26SEP18-B77.5,Lowest temperature in Miami,KMIA,2026-09-18,between,77.0,78.0,The Weather Company,https://weather.com/kalshi,0.31,0.39,0.61,0.69,50.0,0.18,296.33,0.0,2026-09-19T05:00:00Z,active,2026-09-18T09:45:44.393250+00:00
KXLOWTMIA,KXLOWTMIA-26SEP18-B75.5,Lowest temperature in Miami,KMIA,2026-09-18,between,75.0,76.0,The Weather Company,https://weather.com/kalshi,0.36,0.45,0.55,0.64,0.47,6.0,63.43,0.0,2026-09-19T05:00:00Z,active,2026-09-18T09:45:44.393250+00:00
KXLOWTMIA,KXLOWTMIA-26SEP18-B73.5,Lowest temperature in Miami,KMIA,2026-09-18,between,73.0,74.0,The Weather Company,https://weather.com/kalshi,0.15,0.26,0.74,0.85,1.69,7.0,77.0,0.0,2026-09-19T05:00:00Z,active,2026-09-18T09:45:44.393250+00:00
KXLOWTOKC,KXLOWTOKC-26SEP18-T76,Low Temperature Oklahoma City,KOKC,2026-09-18,greater,76.0,,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,17338.15,0.0,609.45,0.0,2026-09-19T06:00:00Z,active,2026-09-18T09:45:44.393250+00:00
KXLOWTOKC,KXLOWTOKC-26SEP18-T69,Low Temperature Oklahoma City,KOKC,2026-09-18,less,,69.0,The Weather Company,https://weather.com/kalshi,0.0,0.03,0.97,1.0,110.0,0.0,96.0,0.0,2026-09-19T06:00:00Z,active,2026-09-18T09:45:44.393250+00:00
KXLOWTOKC,KXLOWTOKC-26SEP18-B75.5,Low Temperature Oklahoma City,KOKC,2026-09-18,between,75.0,76.0,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,17255.15,0.0,566.56,0.0,2026-09-19T06:00:00Z,active,2026-09-18T09:45:44.393250+00:00
KXLOWTOKC,KXLOWTOKC-26SEP18-B73.5,Low Temperature Oklahoma City,KOKC,2026-09-18,between,73.0,74.0,The Weather Company,https://weather.com/kalshi,0.48,0.59,0.41,0.52,7.0,5.0,192.86,0.0,2026-09-19T06:00:00Z,active,2026-09-18T09:45:44.393250+00:00
KXLOWTOKC,KXLOWTOKC-26SEP18-B71.5,Low Temperature Oklahoma City,KOKC,2026-09-18,between,71.0,72.0,The Weather Company,https://weather.com/kalshi,0.37,0.38,0.62,0.63,3.44,6.0,373.01,0.0,2026-09-19T06:00:00Z,active,2026-09-18T09:45:44.393250+00:00
KXLOWTOKC,KXLOWTOKC-26SEP18-B69.5,Low Temperature Oklahoma City,KOKC,2026-09-18,between,69.0,70.0,The Weather Company,https://weather.com/kalshi,0.03,0.05,0.95,0.97,3.14,2.64,66.28,0.0,2026-09-19T06:00:00Z,active,2026-09-18T09:45:44.393250+00:00
KXLOWTCHI,KXLOWTCHI-26SEP18-T67,Lowest Temperature Chicago,KMDW,2026-09-18,greater,67.0,,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,28492.14,0.0,697.48,0.0,2026-09-19T06:00:00Z,active,2026-09-18T09:45:44.393250+00:00
