series_ticker,market_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,settlement_source_name,settlement_source_url,yes_bid,yes_ask,no_bid,no_ask,yes_ask_size,yes_bid_size,volume,liquidity,close_time,status,pulled_at
KXHIGHTSEA,KXHIGHTSEA-26SEP25-T64,Seattle Maximum Temperature Daily,KSEA,2026-09-25,greater,64.0,,The Weather Company,https://weather.com/kalshi,0.01,0.03,0.97,0.99,66.35,795.0,354.26,0.0,2026-09-26T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSEA,KXHIGHTSEA-26SEP25-T57,Seattle Maximum Temperature Daily,KSEA,2026-09-25,less,,57.0,The Weather Company,https://weather.com/kalshi,0.02,0.03,0.97,0.98,154.0,107.0,428.93,0.0,2026-09-26T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSEA,KXHIGHTSEA-26SEP25-B63.5,Seattle Maximum Temperature Daily,KSEA,2026-09-25,between,63.0,64.0,The Weather Company,https://weather.com/kalshi,0.08,0.09,0.91,0.92,0.45,46.0,931.49,0.0,2026-09-26T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSEA,KXHIGHTSEA-26SEP25-B61.5,Seattle Maximum Temperature Daily,KSEA,2026-09-25,between,61.0,62.0,The Weather Company,https://weather.com/kalshi,0.46,0.47,0.53,0.54,38.03,82.0,317.72,0.0,2026-09-26T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSEA,KXHIGHTSEA-26SEP25-B59.5,Seattle Maximum Temperature Daily,KSEA,2026-09-25,between,59.0,60.0,The Weather Company,https://weather.com/kalshi,0.25,0.29,0.71,0.75,2.0,2.0,22.0,0.0,2026-09-26T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSEA,KXHIGHTSEA-26SEP25-B57.5,Seattle Maximum Temperature Daily,KSEA,2026-09-25,between,57.0,58.0,The Weather Company,https://weather.com/kalshi,0.06,0.07,0.93,0.94,10.0,38.0,56.0,0.0,2026-09-26T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSEA,KXHIGHTSEA-26SEP24-T65,Seattle Maximum Temperature Daily,KSEA,2026-09-24,greater,65.0,,The Weather Company,https://weather.com/kalshi,0.03,0.07,0.93,0.97,120.57,2.7,6589.27,0.0,2026-09-25T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSEA,KXHIGHTSEA-26SEP24-T58,Seattle Maximum Temperature Daily,KSEA,2026-09-24,less,,58.0,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,125177.16,0.0,1128.2,0.0,2026-09-25T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSEA,KXHIGHTSEA-26SEP24-B64.5,Seattle Maximum Temperature Daily,KSEA,2026-09-24,between,64.0,65.0,The Weather Company,https://weather.com/kalshi,0.39,0.45,0.55,0.61,78.47,28.0,5846.38,0.0,2026-09-25T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSEA,KXHIGHTSEA-26SEP24-B62.5,Seattle Maximum Temperature Daily,KSEA,2026-09-24,between,62.0,63.0,The Weather Company,https://weather.com/kalshi,0.53,0.55,0.45,0.47,14.0,36.0,8447.82,0.0,2026-09-25T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSEA,KXHIGHTSEA-26SEP24-B60.5,Seattle Maximum Temperature Daily,KSEA,2026-09-24,between,60.0,61.0,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,158197.54,0.0,12363.75,0.0,2026-09-25T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSEA,KXHIGHTSEA-26SEP24-B58.5,Seattle Maximum Temperature Daily,KSEA,2026-09-24,between,58.0,59.0,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,113235.99,0.0,63654.19,0.0,2026-09-25T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP25-T89,High Temperature San Diego,KSAN,2026-09-25,greater,89.0,,The Weather Company,https://weather.com/kalshi,0.01,0.02,0.98,0.99,6.0,251.0,57.0,0.0,2026-09-26T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP25-T82,High Temperature San Diego,KSAN,2026-09-25,less,,82.0,The Weather Company,https://weather.com/kalshi,0.59,0.74,0.26,0.41,50.0,10.0,1150.68,0.0,2026-09-26T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP25-B88.5,High Temperature San Diego,KSAN,2026-09-25,between,88.0,89.0,The Weather Company,https://weather.com/kalshi,0.02,0.12,0.88,0.98,25.0,39.0,15.14,0.0,2026-09-26T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP25-B86.5,High Temperature San Diego,KSAN,2026-09-25,between,86.0,87.0,The Weather Company,https://weather.com/kalshi,0.04,0.14,0.86,0.96,25.0,39.0,15.18,0.0,2026-09-26T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP25-B84.5,High Temperature San Diego,KSAN,2026-09-25,between,84.0,85.0,The Weather Company,https://weather.com/kalshi,0.09,0.2,0.8,0.91,25.0,89.0,1.08,0.0,2026-09-26T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP25-B82.5,High Temperature San Diego,KSAN,2026-09-25,between,82.0,83.0,The Weather Company,https://weather.com/kalshi,0.14,0.25,0.75,0.86,25.0,39.0,21.0,0.0,2026-09-26T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP24-T85,High Temperature San Diego,KSAN,2026-09-24,greater,85.0,,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,3581.96,0.0,5.0,0.0,2026-09-25T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP24-T78,High Temperature San Diego,KSAN,2026-09-24,less,,78.0,The Weather Company,https://weather.com/kalshi,0.29,0.45,0.55,0.71,38.0,25.0,708.17,0.0,2026-09-25T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP24-B84.5,High Temperature San Diego,KSAN,2026-09-24,between,84.0,85.0,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,56.89,0.0,132.0,0.0,2026-09-25T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP24-B82.5,High Temperature San Diego,KSAN,2026-09-24,between,82.0,83.0,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,5.0,0.0,552.35,0.0,2026-09-25T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP24-B80.5,High Temperature San Diego,KSAN,2026-09-24,between,80.0,81.0,The Weather Company,https://weather.com/kalshi,0.05,0.13,0.87,0.95,28.35,56.0,504.17,0.0,2026-09-25T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP24-B78.5,High Temperature San Diego,KSAN,2026-09-24,between,78.0,79.0,The Weather Company,https://weather.com/kalshi,0.59,0.6,0.4,0.41,35.0,11.0,647.11,0.0,2026-09-25T08:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTEWR,KXHIGHTEWR-26SEP25-T75,"Newark, NJ (EWR) Daily Max Temp",KEWR,2026-09-25,greater,75.0,,The Weather Company,https://weather.com/kalshi,0.19,0.24,0.76,0.81,1.0,7.0,21.0,0.0,2026-09-26T05:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTEWR,KXHIGHTEWR-26SEP25-T68,"Newark, NJ (EWR) Daily Max Temp",KEWR,2026-09-25,less,,68.0,The Weather Company,https://weather.com/kalshi,0.1,0.2,0.8,0.9,25.0,35.0,40.14,0.0,2026-09-26T05:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTEWR,KXHIGHTEWR-26SEP25-B74.5,"Newark, NJ (EWR) Daily Max Temp",KEWR,2026-09-25,between,74.0,75.0,The Weather Company,https://weather.com/kalshi,0.23,0.34,0.66,0.77,5.0,25.0,25.0,0.0,2026-09-26T05:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTEWR,KXHIGHTEWR-26SEP25-B72.5,"Newark, NJ (EWR) Daily Max Temp",KEWR,2026-09-25,between,72.0,73.0,The Weather Company,https://weather.com/kalshi,0.18,0.36,0.64,0.82,5.0,5.0,0.0,0.0,2026-09-26T05:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTEWR,KXHIGHTEWR-26SEP25-B70.5,"Newark, NJ (EWR) Daily Max Temp",KEWR,2026-09-25,between,70.0,71.0,The Weather Company,https://weather.com/kalshi,0.11,0.22,0.78,0.89,25.0,89.0,26.0,0.0,2026-09-26T05:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTEWR,KXHIGHTEWR-26SEP25-B68.5,"Newark, NJ (EWR) Daily Max Temp",KEWR,2026-09-25,between,68.0,69.0,The Weather Company,https://weather.com/kalshi,0.03,0.13,0.87,0.97,25.0,39.0,15.18,0.0,2026-09-26T05:00:00Z,active,2026-09-24T20:29:25.014696+00:00
KXHIGHTEWR,KXHIGHTEWR-26SEP24-T73,"Newark, NJ (EWR) Daily Max Temp",KEWR,2026-09-24,greater,73.0,,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,1509.0,0.0,154.0,0.0,2026-09-25T05:00:00Z,active,2026-09-24T20:29:25.014696+00:00
