series_ticker,market_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,settlement_source_name,settlement_source_url,yes_bid,yes_ask,no_bid,no_ask,yes_ask_size,yes_bid_size,volume,liquidity,close_time,status,pulled_at
KXHIGHLAX,KXHIGHLAX-26SEP18-T79,Highest temperature in Los Angeles,KLAX,2026-09-18,greater,79.0,,The Weather Company,https://weather.com/kalshi,0.01,0.02,0.98,0.99,1202.08,1463.73,583.27,0.0,2026-09-19T08:00:00Z,active,2026-09-17T15:33:22.299644+00:00
KXHIGHLAX,KXHIGHLAX-26SEP18-T72,Highest temperature in Los Angeles,KLAX,2026-09-18,less,,72.0,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,8154.0,0.0,762.0,0.0,2026-09-19T08:00:00Z,active,2026-09-17T15:33:22.299644+00:00
KXHIGHLAX,KXHIGHLAX-26SEP18-B78.5,Highest temperature in Los Angeles,KLAX,2026-09-18,between,78.0,79.0,The Weather Company,https://weather.com/kalshi,0.2,0.21,0.79,0.8,101.0,25.0,407.0,0.0,2026-09-19T08:00:00Z,active,2026-09-17T15:33:22.299644+00:00
KXHIGHLAX,KXHIGHLAX-26SEP18-B76.5,Highest temperature in Los Angeles,KLAX,2026-09-18,between,76.0,77.0,The Weather Company,https://weather.com/kalshi,0.4,0.41,0.59,0.6,48.0,508.0,257.91,0.0,2026-09-19T08:00:00Z,active,2026-09-17T15:33:22.299644+00:00
KXHIGHLAX,KXHIGHLAX-26SEP18-B74.5,Highest temperature in Los Angeles,KLAX,2026-09-18,between,74.0,75.0,The Weather Company,https://weather.com/kalshi,0.35,0.36,0.64,0.65,108.0,52.0,2889.99,0.0,2026-09-19T08:00:00Z,active,2026-09-17T15:33:22.299644+00:00
KXHIGHLAX,KXHIGHLAX-26SEP18-B72.5,Highest temperature in Los Angeles,KLAX,2026-09-18,between,72.0,73.0,The Weather Company,https://weather.com/kalshi,0.01,0.02,0.98,0.99,77.0,1544.5,210.5,0.0,2026-09-19T08:00:00Z,active,2026-09-17T15:33:22.299644+00:00
KXHIGHLAX,KXHIGHLAX-26SEP17-T82,Highest temperature in Los Angeles,KLAX,2026-09-17,greater,82.0,,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,276007.89,0.0,10648.42,0.0,2026-09-18T08:00:00Z,active,2026-09-17T15:33:22.299644+00:00
KXHIGHLAX,KXHIGHLAX-26SEP17-T75,Highest temperature in Los Angeles,KLAX,2026-09-17,less,,75.0,The Weather Company,https://weather.com/kalshi,0.03,0.04,0.96,0.97,125.0,520.68,20178.1,0.0,2026-09-18T08:00:00Z,active,2026-09-17T15:33:22.299644+00:00
KXHIGHLAX,KXHIGHLAX-26SEP17-B81.5,Highest temperature in Los Angeles,KLAX,2026-09-17,between,81.0,82.0,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,907.98,0.0,7073.43,0.0,2026-09-18T08:00:00Z,active,2026-09-17T15:33:22.299644+00:00
KXHIGHLAX,KXHIGHLAX-26SEP17-B79.5,Highest temperature in Los Angeles,KLAX,2026-09-17,between,79.0,80.0,The Weather Company,https://weather.com/kalshi,0.17,0.19,0.81,0.83,31.79,3.0,25350.04,0.0,2026-09-18T08:00:00Z,active,2026-09-17T15:33:22.299644+00:00
KXHIGHLAX,KXHIGHLAX-26SEP17-B77.5,Highest temperature in Los Angeles,KLAX,2026-09-17,between,77.0,78.0,The Weather Company,https://weather.com/kalshi,0.5,0.52,0.48,0.5,149.35,34.0,25987.59,0.0,2026-09-18T08:00:00Z,active,2026-09-17T15:33:22.299644+00:00
KXHIGHLAX,KXHIGHLAX-26SEP17-B75.5,Highest temperature in Los Angeles,KLAX,2026-09-17,between,75.0,76.0,The Weather Company,https://weather.com/kalshi,0.28,0.29,0.71,0.72,24.0,26.0,21026.34,0.0,2026-09-18T08:00:00Z,active,2026-09-17T15:33:22.299644+00:00
