series_ticker,market_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,settlement_source_name,settlement_source_url,yes_bid,yes_ask,no_bid,no_ask,yes_ask_size,yes_bid_size,volume,liquidity,close_time,status,pulled_at
KXLOWTOKC,KXLOWTOKC-26SEP26-T70,Low Temperature Oklahoma City,KOKC,2026-09-26,greater,70.0,,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,17332.15,0.0,675.12,0.0,2026-09-27T06:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXLOWTOKC,KXLOWTOKC-26SEP26-T63,Low Temperature Oklahoma City,KOKC,2026-09-26,less,,63.0,The Weather Company,https://weather.com/kalshi,0.01,0.03,0.97,0.99,86.0,1.0,400.0,0.0,2026-09-27T06:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXLOWTOKC,KXLOWTOKC-26SEP26-B69.5,Low Temperature Oklahoma City,KOKC,2026-09-26,between,69.0,70.0,The Weather Company,https://weather.com/kalshi,0.26,0.45,0.55,0.74,1.0,25.0,219.0,0.0,2026-09-27T06:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXLOWTOKC,KXLOWTOKC-26SEP26-B67.5,Low Temperature Oklahoma City,KOKC,2026-09-26,between,67.0,68.0,The Weather Company,https://weather.com/kalshi,0.4,0.58,0.42,0.6,25.0,25.0,80.93,0.0,2026-09-27T06:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXLOWTOKC,KXLOWTOKC-26SEP26-B65.5,Low Temperature Oklahoma City,KOKC,2026-09-26,between,65.0,66.0,The Weather Company,https://weather.com/kalshi,0.03,0.22,0.78,0.97,26.0,156.0,78.0,0.0,2026-09-27T06:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXLOWTOKC,KXLOWTOKC-26SEP26-B63.5,Low Temperature Oklahoma City,KOKC,2026-09-26,between,63.0,64.0,The Weather Company,https://weather.com/kalshi,0.02,0.03,0.97,0.98,4.0,25.0,203.28,0.0,2026-09-27T06:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXLOWTDAL,KXLOWTDAL-26SEP26-T73,Lowest temperature Dallas,KDFW,2026-09-26,greater,73.0,,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,17568.15,0.0,524.12,0.0,2026-09-27T06:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXLOWTDAL,KXLOWTDAL-26SEP26-T66,Lowest temperature Dallas,KDFW,2026-09-26,less,,66.0,The Weather Company,https://weather.com/kalshi,0.01,0.03,0.97,0.99,50.0,251.0,30.0,0.0,2026-09-27T06:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXLOWTDAL,KXLOWTDAL-26SEP26-B72.5,Lowest temperature Dallas,KDFW,2026-09-26,between,72.0,73.0,The Weather Company,https://weather.com/kalshi,0.05,0.49,0.51,0.95,15.0,1.0,241.16,0.0,2026-09-27T06:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXLOWTDAL,KXLOWTDAL-26SEP26-B70.5,Lowest temperature Dallas,KDFW,2026-09-26,between,70.0,71.0,The Weather Company,https://weather.com/kalshi,0.51,0.62,0.38,0.49,2.0,25.0,178.54,0.0,2026-09-27T06:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXLOWTDAL,KXLOWTDAL-26SEP26-B68.5,Lowest temperature Dallas,KDFW,2026-09-26,between,68.0,69.0,The Weather Company,https://weather.com/kalshi,0.03,0.15,0.85,0.97,29.0,55.0,156.26,0.0,2026-09-27T06:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXLOWTDAL,KXLOWTDAL-26SEP26-B66.5,Lowest temperature Dallas,KDFW,2026-09-26,between,66.0,67.0,The Weather Company,https://weather.com/kalshi,0.01,0.05,0.95,0.99,68.0,281.0,150.0,0.0,2026-09-27T06:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXHIGHTOKC,KXHIGHTOKC-26SEP26-T95,Oklahoma City Maximum High Temperature,KOKC,2026-09-26,greater,95.0,,The Weather Company,https://weather.com/kalshi,0.02,0.04,0.96,0.98,7.8,99.7,584.21,0.0,2026-09-27T06:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXHIGHTOKC,KXHIGHTOKC-26SEP26-T88,Oklahoma City Maximum High Temperature,KOKC,2026-09-26,less,,88.0,The Weather Company,https://weather.com/kalshi,0.04,0.05,0.95,0.96,65.43,10.0,1716.18,0.0,2026-09-27T06:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXHIGHTOKC,KXHIGHTOKC-26SEP26-B94.5,Oklahoma City Maximum High Temperature,KOKC,2026-09-26,between,94.0,95.0,The Weather Company,https://weather.com/kalshi,0.12,0.15,0.85,0.88,96.0,57.0,756.88,0.0,2026-09-27T06:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXHIGHTOKC,KXHIGHTOKC-26SEP26-B92.5,Oklahoma City Maximum High Temperature,KOKC,2026-09-26,between,92.0,93.0,The Weather Company,https://weather.com/kalshi,0.41,0.44,0.56,0.59,18.0,50.0,2250.66,0.0,2026-09-27T06:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXHIGHTOKC,KXHIGHTOKC-26SEP26-B90.5,Oklahoma City Maximum High Temperature,KOKC,2026-09-26,between,90.0,91.0,The Weather Company,https://weather.com/kalshi,0.2,0.21,0.79,0.8,1.0,84.5,1273.34,0.0,2026-09-27T06:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXHIGHTOKC,KXHIGHTOKC-26SEP26-B88.5,Oklahoma City Maximum High Temperature,KOKC,2026-09-26,between,88.0,89.0,The Weather Company,https://weather.com/kalshi,0.16,0.17,0.83,0.84,47.61,4.0,1122.87,0.0,2026-09-27T06:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXLOWTLAX,KXLOWTLAX-26SEP26-T70,Lowest Temperature in LA,KLAX,2026-09-26,greater,70.0,,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,20125.15,0.0,403.22,0.0,2026-09-27T08:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXLOWTLAX,KXLOWTLAX-26SEP26-T63,Lowest Temperature in LA,KLAX,2026-09-26,less,,63.0,The Weather Company,https://weather.com/kalshi,0.0,0.02,0.98,1.0,3.81,0.0,269.19,0.0,2026-09-27T08:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXLOWTLAX,KXLOWTLAX-26SEP26-B69.5,Lowest Temperature in LA,KLAX,2026-09-26,between,69.0,70.0,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,18467.15,0.0,537.0,0.0,2026-09-27T08:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXLOWTLAX,KXLOWTLAX-26SEP26-B67.5,Lowest Temperature in LA,KLAX,2026-09-26,between,67.0,68.0,The Weather Company,https://weather.com/kalshi,0.67,0.86,0.14,0.33,66.0,1.0,271.66,0.0,2026-09-27T08:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXLOWTLAX,KXLOWTLAX-26SEP26-B65.5,Lowest Temperature in LA,KLAX,2026-09-26,between,65.0,66.0,The Weather Company,https://weather.com/kalshi,0.14,0.33,0.67,0.86,1.0,25.0,257.39,0.0,2026-09-27T08:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXLOWTLAX,KXLOWTLAX-26SEP26-B63.5,Lowest Temperature in LA,KLAX,2026-09-26,between,63.0,64.0,The Weather Company,https://weather.com/kalshi,0.0,0.03,0.97,1.0,51.0,0.0,507.19,0.0,2026-09-27T08:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXHIGHTDC,KXHIGHTDC-26SEP26-T74,Washington DC Daily Max Temp,KDCA,2026-09-26,greater,74.0,,The Weather Company,https://weather.com/kalshi,0.02,0.03,0.97,0.98,674.58,117.83,2716.03,0.0,2026-09-27T05:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXHIGHTDC,KXHIGHTDC-26SEP26-T67,Washington DC Daily Max Temp,KDCA,2026-09-26,less,,67.0,The Weather Company,https://weather.com/kalshi,0.23,0.31,0.69,0.77,101.97,57.0,2008.31,0.0,2026-09-27T05:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXHIGHTDC,KXHIGHTDC-26SEP26-B73.5,Washington DC Daily Max Temp,KDCA,2026-09-26,between,73.0,74.0,The Weather Company,https://weather.com/kalshi,0.02,0.03,0.97,0.98,4.0,10.0,1142.01,0.0,2026-09-27T05:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXHIGHTDC,KXHIGHTDC-26SEP26-B71.5,Washington DC Daily Max Temp,KDCA,2026-09-26,between,71.0,72.0,The Weather Company,https://weather.com/kalshi,0.07,0.08,0.92,0.93,126.76,113.0,898.66,0.0,2026-09-27T05:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXHIGHTDC,KXHIGHTDC-26SEP26-B69.5,Washington DC Daily Max Temp,KDCA,2026-09-26,between,69.0,70.0,The Weather Company,https://weather.com/kalshi,0.24,0.26,0.74,0.76,35.0,1.0,428.57,0.0,2026-09-27T05:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXHIGHTDC,KXHIGHTDC-26SEP26-B67.5,Washington DC Daily Max Temp,KDCA,2026-09-26,between,67.0,68.0,The Weather Company,https://weather.com/kalshi,0.33,0.36,0.64,0.67,11.0,4.0,899.28,0.0,2026-09-27T05:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXHIGHPHIL,KXHIGHPHIL-26SEP26-T68,Highest temperature in Philadelphia,KPHL,2026-09-26,greater,68.0,,The Weather Company,https://weather.com/kalshi,0.05,0.06,0.94,0.95,29.07,90.94,3909.35,0.0,2026-09-27T05:00:00Z,active,2026-09-26T09:51:06.664371+00:00
KXHIGHPHIL,KXHIGHPHIL-26SEP26-T61,Highest temperature in Philadelphia,KPHL,2026-09-26,less,,61.0,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,47932.03,0.0,961.03,0.0,2026-09-27T05:00:00Z,active,2026-09-26T09:51:06.664371+00:00
