series_ticker,market_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,settlement_source_name,settlement_source_url,yes_bid,yes_ask,no_bid,no_ask,yes_ask_size,yes_bid_size,volume,liquidity,close_time,status,pulled_at
KXHIGHTSAN,KXHIGHTSAN-26SEP19-T81,High Temperature San Diego,KSAN,2026-09-19,greater,81.0,,The Weather Company,https://weather.com/kalshi,0.02,0.13,0.87,0.98,25.0,67.0,36.51,0.0,2026-09-20T08:00:00Z,active,2026-09-19T01:09:45.507057+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP19-T74,High Temperature San Diego,KSAN,2026-09-19,less,,74.0,The Weather Company,https://weather.com/kalshi,0.02,0.11,0.89,0.98,25.0,3.29,35.71,0.0,2026-09-20T08:00:00Z,active,2026-09-19T01:09:45.507057+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP19-B80.5,High Temperature San Diego,KSAN,2026-09-19,between,80.0,81.0,The Weather Company,https://weather.com/kalshi,0.08,0.19,0.81,0.92,5.0,25.0,10.0,0.0,2026-09-20T08:00:00Z,active,2026-09-19T01:09:45.507057+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP19-B78.5,High Temperature San Diego,KSAN,2026-09-19,between,78.0,79.0,The Weather Company,https://weather.com/kalshi,0.21,0.32,0.68,0.79,5.0,42.0,131.42,0.0,2026-09-20T08:00:00Z,active,2026-09-19T01:09:45.507057+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP19-B76.5,High Temperature San Diego,KSAN,2026-09-19,between,76.0,77.0,The Weather Company,https://weather.com/kalshi,0.37,0.48,0.52,0.63,25.0,5.0,110.0,0.0,2026-09-20T08:00:00Z,active,2026-09-19T01:09:45.507057+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP19-B74.5,High Temperature San Diego,KSAN,2026-09-19,between,74.0,75.0,The Weather Company,https://weather.com/kalshi,0.06,0.07,0.93,0.94,5.0,160.0,10.0,0.0,2026-09-20T08:00:00Z,active,2026-09-19T01:09:45.507057+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP18-T80,High Temperature San Diego,KSAN,2026-09-18,greater,80.0,,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,4650.0,0.0,1264.86,0.0,2026-09-19T08:00:00Z,active,2026-09-19T01:09:45.507057+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP18-T73,High Temperature San Diego,KSAN,2026-09-18,less,,73.0,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,4543.15,0.0,50.76,0.0,2026-09-19T08:00:00Z,active,2026-09-19T01:09:45.507057+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP18-B79.5,High Temperature San Diego,KSAN,2026-09-18,between,79.0,80.0,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,2523.32,0.0,690.25,0.0,2026-09-19T08:00:00Z,active,2026-09-19T01:09:45.507057+00:00
KXHIGHTSAN,KXHIGHTSAN-26SEP18-B77.5,High Temperature San Diego,KSAN,2026-09-18,between,77.0,78.0,The Weather Company,https://weather.com/kalshi,0.99,1.0,0.0,0.01,0.0,2225.13,2163.81,0.0,2026-09-19T08:00:00Z,active,2026-09-19T01:09:45.507057+00:00
