series_ticker,market_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,settlement_source_name,settlement_source_url,yes_bid,yes_ask,no_bid,no_ask,yes_ask_size,yes_bid_size,volume,liquidity,close_time,status,pulled_at
KXLOWTTTN,KXLOWTTTN-26SEP13-T70,Trenton Daily low temp ,KTTN,2026-09-13,greater,70.0,,The Weather Company,https://weather.com/kalshi,0.21,0.31,0.69,0.79,50.0,50.0,0.0,0.0,2026-09-14T05:00:00Z,active,2026-09-12T14:06:39.112525+00:00
KXLOWTTTN,KXLOWTTTN-26SEP13-T63,Trenton Daily low temp ,KTTN,2026-09-13,less,,63.0,The Weather Company,https://weather.com/kalshi,0.01,0.99,0.01,0.99,150.0,30.0,0.0,0.0,2026-09-14T05:00:00Z,active,2026-09-12T14:06:39.112525+00:00
KXLOWTTTN,KXLOWTTTN-26SEP13-B69.5,Trenton Daily low temp ,KTTN,2026-09-13,between,69.0,70.0,The Weather Company,https://weather.com/kalshi,0.33,0.43,0.57,0.67,50.0,50.0,0.0,0.0,2026-09-14T05:00:00Z,active,2026-09-12T14:06:39.112525+00:00
KXLOWTTTN,KXLOWTTTN-26SEP13-B67.5,Trenton Daily low temp ,KTTN,2026-09-13,between,67.0,68.0,The Weather Company,https://weather.com/kalshi,0.22,0.32,0.68,0.78,50.0,50.0,0.0,0.0,2026-09-14T05:00:00Z,active,2026-09-12T14:06:39.112525+00:00
KXLOWTTTN,KXLOWTTTN-26SEP13-B65.5,Trenton Daily low temp ,KTTN,2026-09-13,between,65.0,66.0,The Weather Company,https://weather.com/kalshi,0.03,0.13,0.87,0.97,50.0,50.0,0.0,0.0,2026-09-14T05:00:00Z,active,2026-09-12T14:06:39.112525+00:00
KXLOWTTTN,KXLOWTTTN-26SEP13-B63.5,Trenton Daily low temp ,KTTN,2026-09-13,between,63.0,64.0,The Weather Company,https://weather.com/kalshi,0.01,0.99,0.01,0.99,200.0,80.0,0.0,0.0,2026-09-14T05:00:00Z,active,2026-09-12T14:06:39.112525+00:00
KXLOWTTTN,KXLOWTTTN-26SEP12-T60,Trenton Daily low temp ,KTTN,2026-09-12,greater,60.0,,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,8483.0,0.0,37.0,0.0,2026-09-13T05:00:00Z,active,2026-09-12T14:06:39.112525+00:00
KXLOWTTTN,KXLOWTTTN-26SEP12-T53,Trenton Daily low temp ,KTTN,2026-09-12,less,,53.0,The Weather Company,https://weather.com/kalshi,0.01,0.02,0.98,0.99,300.0,1.0,58.0,0.0,2026-09-13T05:00:00Z,active,2026-09-12T14:06:39.112525+00:00
KXLOWTTTN,KXLOWTTTN-26SEP12-B59.5,Trenton Daily low temp ,KTTN,2026-09-12,between,59.0,60.0,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,8290.0,0.0,504.0,0.0,2026-09-13T05:00:00Z,active,2026-09-12T14:06:39.112525+00:00
KXLOWTTTN,KXLOWTTTN-26SEP12-B57.5,Trenton Daily low temp ,KTTN,2026-09-12,between,57.0,58.0,The Weather Company,https://weather.com/kalshi,0.0,0.01,0.99,1.0,8290.0,0.0,381.0,0.0,2026-09-13T05:00:00Z,active,2026-09-12T14:06:39.112525+00:00
KXLOWTTTN,KXLOWTTTN-26SEP12-B55.5,Trenton Daily low temp ,KTTN,2026-09-12,between,55.0,56.0,The Weather Company,https://weather.com/kalshi,0.97,1.0,0.0,0.03,0.0,300.0,446.0,0.0,2026-09-13T05:00:00Z,active,2026-09-12T14:06:39.112525+00:00
