race_id,tier,state,chamber,district,electindex_dem_name,electindex_rep_name,kalshi_dem_candidate_name,kalshi_dem_ticker,kalshi_dem_yes_bid,kalshi_dem_yes_ask,kalshi_dem_yes_ask_size,kalshi_dem_yes_bid_size,kalshi_dem_close_time,kalshi_dem_status,liquidity_note_kalshi_dem,kalshi_rep_candidate_name,kalshi_rep_ticker,kalshi_rep_yes_bid,kalshi_rep_yes_ask,kalshi_rep_yes_ask_size,kalshi_rep_yes_bid_size,kalshi_rep_close_time,kalshi_rep_status,liquidity_note_kalshi_rep,kalshi_unmatched_candidates,kalshi_total_open_candidates,legal_footprint_kalshi,polymarket_dem_candidate_name,polymarket_dem_market_id,polymarket_dem_yes_bid,polymarket_dem_yes_ask,polymarket_dem_liquidity,polymarket_dem_close_time,polymarket_dem_status,liquidity_note_polymarket_dem,polymarket_rep_candidate_name,polymarket_rep_market_id,polymarket_rep_yes_bid,polymarket_rep_yes_ask,polymarket_rep_liquidity,polymarket_rep_close_time,polymarket_rep_status,liquidity_note_polymarket_rep,polymarket_unmatched_candidates,polymarket_total_open_candidates,legal_footprint_polymarket,pulled_at
STATE-LEG-CA-SENATE-26,Elections - State Legislature District,CA,Senate,26,Sara Hernandez,,Sara Hernandez,KXCASEN26-26-SHER,0.81,0.87,5.0,200.0,2027-11-03T15:00:00Z,active,ok,,,,,,,,,,Wendy Carrillo; Sarah Rascón; Sang Masog; Paul A. Bowers; Maebe Pudlo; Juan Camacho; Claudia Agraz,8,,,,,,,,,,,,,,,,,,,0,,2026-09-17T17:44:56.023541+00:00
STATE-LEG-MD-SENATE-2,Elections - State Legislature District,MD,Senate,2,Eric Van Buren,Paul Corderman,Eric Van Buren,KXMDSD2-26-EBUR,0.01,0.07,100.0,750.0,2027-11-03T15:00:00Z,active,ok,Paul Corderman,KXMDSD2-26-PCOR,0.93,0.96,3000.0,100.0,2027-11-03T15:00:00Z,active,ok,,2,,,,,,,,,,,,,,,,,,,0,,2026-09-17T17:44:56.023541+00:00
STATE-LEG-MO-SENATE-30,Elections - State Legislature District,MO,Senate,30,Betsy Fogle,Melanie Stinnett,Betsy Fogle,KXMOSD30-26-BFOG,0.75,0.88,19.32,100.0,2027-11-03T14:00:00Z,active,ok,Melanie Stinnett,KXMOSD30-26-MSTI,0.05,0.25,100.0,100.0,2027-11-03T14:00:00Z,active,ok,,2,,,,,,,,,,,,,,,,,,,0,,2026-09-17T17:44:56.023541+00:00
STATE-LEG-MO-SENATE-8,Elections - State Legislature District,MO,Senate,8,Keri Ingle,Jon Patterson,Keri Ingle,KXMOSD8-26-KING,0.29,0.34,5.0,100.0,2027-11-03T15:00:00Z,active,ok,Jon Patterson,KXMOSD8-26-JPAT,0.67,0.79,96.0,92.2,2027-11-03T15:00:00Z,active,ok,,2,,,,,,,,,,,,,,,,,,,0,,2026-09-17T17:44:56.023541+00:00
STATE-LEG-PA-HOUSE-12,Elections - State Legislature District,PA,House,12,Brandon Michael Dukes,Scott Timko,Brandon Dukes,KXPAHD12-26-BDUK,0.07,0.97,5.0,100.0,2027-11-03T15:00:00Z,active,ok,Scott Timko,KXPAHD12-26-STIM,0.01,0.96,260.0,50.0,2027-11-03T15:00:00Z,active,ok,,2,,,,,,,,,,,,,,,,,,,0,,2026-09-17T17:44:56.023541+00:00
US-HOUSE-AK-01,Elections - US House District,AK,,1,(No Democrat),Nick Begich III,,,,,,,,,,,,,,,,,,,Bill Hill; Republican party; Democratic party,3,,,,,,,,,,,,,,,,,,,0,,2026-09-17T17:44:56.023541+00:00
US-HOUSE-AL-01,Elections - US House District,AL,,1,Clyde Jones,Jerry Carl,,,,,,,,,,,,,,,,,,,,0,,Will the Democratic Party win the AL-01 House seat?,0x14a5b6b4ceb5ecc59f4e47c579e64939a7ceb32b0964d58e15bcf68dc416ea6a,0.024,0.025,14025.99864,2026-11-03T00:00:00Z,active,ok,Will the Republican Party win the AL-01 House seat?,0x91e88209bdc4e9587877f43780536b470a5a63992a85083ae2ba7eeebfe8063c,0.94,0.95,9084.518,2026-11-03T00:00:00Z,active,ok,Will another party win the AL-01 House seat?; Will A win the AL-01 House seat?; Will B win the AL-01 House seat?; Will C win the AL-01 House seat?; Will D win the AL-01 House seat?; Will E win the AL-01 House seat?,8,,2026-09-17T17:44:56.023541+00:00
US-HOUSE-AL-02,Elections - US House District,AL,,2,Shomari Figures,Rhett Marques,,,,,,,,,,,,,,,,,,,,0,,Will the Democratic Party win the AL-02 House seat?,0x9ae9e84c0d3b66ee416c0caa915777397b9c656939a0621ecd8c2572073c8893,0.31,0.32,5117.8758,2026-11-03T00:00:00Z,active,ok,Will the Republican Party win the AL-02 House seat?,0x789e15c2a1581b37deaabb5fa555d0d8dbfba11b46424c65cd42e73cfe722eaa,0.68,0.7,6409.3375,2026-11-03T00:00:00Z,active,ok,Will another party win the AL-02 House seat?; Will A win the AL-02 House seat?; Will B win the AL-02 House seat?; Will C win the AL-02 House seat?; Will D win the AL-02 House seat?; Will E win the AL-02 House seat?,8,,2026-09-17T17:44:56.023541+00:00
US-HOUSE-AL-03,Elections - US House District,AL,,3,Lee McInnis,Mike Rogers,,,,,,,,,,,,,,,,,,,,0,,Will the Democratic Party win the AL-03 House seat?,0x7aad958d00112086e5addedce612f7983008b73fb774a3080587ea606c5c4c09,0.002,0.006,17343.24552,2026-11-03T00:00:00Z,active,ok,Will the Republican Party win the AL-03 House seat?,0x1b3ae1da4a1715ab44dd02e4ffc69b2433404520240e3a6f302038a5af8556a4,0.94,0.95,9039.4266,2026-11-03T00:00:00Z,active,ok,Will another party win the AL-03 House seat?; Will A win the AL-03 House seat?; Will B win the AL-03 House seat?; Will C win the AL-03 House seat?; Will D win the AL-03 House seat?; Will E win the AL-03 House seat?,8,,2026-09-17T17:44:56.023541+00:00
US-HOUSE-AL-04,Elections - US House District,AL,,4,Amanda Pusczek,Robert Aderholt,,,,,,,,,,,,,,,,,,,,0,,Will the Democratic Party win the AL-04 House seat?,0x44dda0b5cd2dc73641be824a4975e79b0dc2168bec5e2f0661756b0adb72e9a6,0.002,0.007,9615.27349,2026-11-03T00:00:00Z,active,ok,Will the Republican Party win the AL-04 House seat?,0x15e7b9ff33e376f2c29065621fbce1d76a1dfba528ffbac4e9835b3a92ffb322,0.976,0.977,17469.83024,2026-11-03T00:00:00Z,active,ok,Will another party win the AL-04 House seat?; Will A win the AL-04 House seat?; Will B win the AL-04 House seat?; Will C win the AL-04 House seat?; Will D win the AL-04 House seat?; Will E win the AL-04 House seat?,8,,2026-09-17T17:44:56.023541+00:00
