race_id,tier,state,chamber,district,kalshi_ticker,kalshi_title,kalshi_yes_bid,kalshi_yes_ask,kalshi_no_bid,kalshi_no_ask,kalshi_yes_ask_size,kalshi_yes_bid_size,kalshi_close_time,kalshi_status,liquidity_note_kalshi,legal_footprint_kalshi,polymarket_market_id,polymarket_title,polymarket_yes_bid,polymarket_yes_ask,polymarket_no_bid,polymarket_no_ask,polymarket_liquidity,polymarket_close_time,polymarket_status,liquidity_note_polymarket,legal_footprint_polymarket,pulled_at
STATE-LEG-CA-SENATE-26,Elections - State Legislature District,CA,Senate,26,KXCASEN26-26-WCAR,California State Senate District 26 winner,0.0,0.02,0.98,1.0,458.0,0.0,2027-11-03T15:00:00Z,active,ok,,,,,,,,,,,,,2026-09-07T10:39:20.231311+00:00
STATE-LEG-MD-SENATE-2,Elections - State Legislature District,MD,Senate,2,KXMDSD2-26-PCOR,Who will win the 2026 Maryland State Senate District 2 general election?,0.91,0.96,0.04,0.09,3000.0,100.0,2027-11-03T15:00:00Z,active,ok,,,,,,,,,,,,,2026-09-07T10:39:20.231311+00:00
STATE-LEG-MO-SENATE-8,Elections - State Legislature District,MO,Senate,8,KXMOSD8-26-KING,Missouri State Senate District 8 winner,0.29,0.34,0.66,0.71,5.0,100.0,2027-11-03T15:00:00Z,active,ok,,,,,,,,,,,,,2026-09-07T10:39:20.231311+00:00
STATE-LEG-PA-HOUSE-12,Elections - State Legislature District,PA,House,12,KXPAHD12-26-STIM,Pennsylvania State House District 12 winner,0.01,0.97,0.03,0.99,333.0,50.0,2027-11-03T15:00:00Z,active,ok,,,,,,,,,,,,,2026-09-07T10:39:20.231311+00:00
US-HOUSE-AK-01,Elections - US House District,AK,,1,HOUSEAKAL-26-BHIL,House Alaska at-large,0.13,0.14,0.86,0.87,787.0,2.0,2027-11-03T15:00:00Z,active,ok,,,,,,,,,,,,,2026-09-07T10:39:20.231311+00:00
US-HOUSE-AL-01,Elections - US House District,AL,,1,,,,,,,,,,,,,0x91e88209bdc4e9587877f43780536b470a5a63992a85083ae2ba7eeebfe8063c,Will the Republican Party win the AL-01 House seat?,0.94,0.95,0.050000000000000044,0.06000000000000005,9413.3767,2026-11-03T00:00:00Z,active,ok,,2026-09-07T10:39:20.231311+00:00
US-HOUSE-AL-02,Elections - US House District,AL,,2,,,,,,,,,,,,,0x789e15c2a1581b37deaabb5fa555d0d8dbfba11b46424c65cd42e73cfe722eaa,Will the Republican Party win the AL-02 House seat?,0.68,0.7,0.30000000000000004,0.31999999999999995,6198.3505,2026-11-03T00:00:00Z,active,ok,,2026-09-07T10:39:20.231311+00:00
US-HOUSE-AL-03,Elections - US House District,AL,,3,,,,,,,,,,,,,0x1b3ae1da4a1715ab44dd02e4ffc69b2433404520240e3a6f302038a5af8556a4,Will the Republican Party win the AL-03 House seat?,0.94,0.95,0.050000000000000044,0.06000000000000005,9054.4952,2026-11-03T00:00:00Z,active,ok,,2026-09-07T10:39:20.231311+00:00
US-HOUSE-AL-04,Elections - US House District,AL,,4,,,,,,,,,,,,,0x15e7b9ff33e376f2c29065621fbce1d76a1dfba528ffbac4e9835b3a92ffb322,Will the Republican Party win the AL-04 House seat?,0.976,0.978,0.02200000000000002,0.02400000000000002,16803.25405,2026-11-03T00:00:00Z,active,ok,,2026-09-07T10:39:20.231311+00:00
US-HOUSE-AL-05,Elections - US House District,AL,,5,,,,,,,,,,,,,0xd75ce5a2e0255ab0be626ab545199179e6b4e31cb0ae8a091912b1c15e0ce9f0,Will the Republican Party win the AL-05 House seat?,0.94,0.95,0.050000000000000044,0.06000000000000005,10177.2374,2026-11-03T00:00:00Z,active,ok,,2026-09-07T10:39:20.231311+00:00
