race_id,tier,state,chamber,district,estimate_source,dem_win_prob,rep_win_prob,margin_dem_minus_rep,rating,pulled_at
US-HOUSE-AK-01,US House District,AK,,1,ElectIndex model,0.371,0.629,-2.92,Lean R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-AL-01,US House District,AL,,1,ElectIndex model,0.003,0.997,-27.94,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-AL-02,US House District,AL,,2,ElectIndex model,0.406,0.594,-2.34,Toss-up,2026-09-07T10:49:29.824588+00:00
US-HOUSE-AL-03,US House District,AL,,3,ElectIndex model,0.0,1.0,-40.91,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-AL-04,US House District,AL,,4,ElectIndex model,0.0,1.0,-61.09,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-AL-05,US House District,AL,,5,ElectIndex model,0.012,0.988,-23.01,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-AL-06,US House District,AL,,6,ElectIndex model,0.001,0.9990000000000001,-30.71,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-AL-07,US House District,AL,,7,ElectIndex model,1.0,0.0,34.44,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-AR-01,US House District,AR,,1,ElectIndex model,0.0,1.0,-42.01,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-AR-02,US House District,AR,,2,ElectIndex model,0.248,0.752,-6.84,Likely R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-AR-03,US House District,AR,,3,ElectIndex model,0.006999999999999999,0.993,-24.87,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-AR-04,US House District,AR,,4,ElectIndex model,0.0,1.0,-38.13,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-AZ-01,US House District,AZ,,1,ElectIndex model,0.6970000000000001,0.303,5.18,Lean D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-AZ-02,US House District,AZ,,2,ElectIndex model,0.519,0.48100000000000004,0.39,Toss-up,2026-09-07T10:49:29.824588+00:00
US-HOUSE-AZ-03,US House District,AZ,,3,ElectIndex model,1.0,0.0,60.87,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-AZ-04,US House District,AZ,,4,ElectIndex model,0.978,0.022000000000000002,20.37,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-AZ-05,US House District,AZ,,5,ElectIndex model,0.11,0.89,-12.39,Likely R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-AZ-06,US House District,AZ,,6,ElectIndex model,0.7190000000000001,0.281,5.81,Lean D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-AZ-07,US House District,AZ,,7,ElectIndex model,1.0,0.0,39.79,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-AZ-08,US House District,AZ,,8,ElectIndex model,0.207,0.7929999999999999,-8.24,Likely R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-AZ-09,US House District,AZ,,9,ElectIndex model,0.013000000000000001,0.987,-22.55,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-01,US House District,CA,,1,ElectIndex model,0.9740000000000001,0.026000000000000002,19.67,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-02,US House District,CA,,2,ElectIndex model,1.0,0.0,33.74,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-03,US House District,CA,,3,ElectIndex model,0.983,0.017,21.55,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-04,US House District,CA,,4,ElectIndex model,1.0,0.0,40.0,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-05,US House District,CA,,5,ElectIndex model,0.04,0.96,-17.81,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-06,US House District,CA,,6,ElectIndex model,0.898,0.102,12.82,Likely D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-07,US House District,CA,,7,ElectIndex model,1.0,0.0,40.0,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-08,US House District,CA,,8,ElectIndex model,1.0,0.0,49.4,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-09,US House District,CA,,9,ElectIndex model,0.9990000000000001,0.001,31.13,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-10,US House District,CA,,10,ElectIndex model,1.0,0.0,43.3,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-11,US House District,CA,,11,ElectIndex model,1.0,0.0,40.0,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-12,US House District,CA,,12,ElectIndex model,1.0,0.0,40.0,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-13,US House District,CA,,13,ElectIndex model,0.985,0.015,22.02,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-14,US House District,CA,,14,ElectIndex model,1.0,0.0,40.0,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-15,US House District,CA,,15,ElectIndex model,1.0,0.0,58.64,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-16,US House District,CA,,16,ElectIndex model,1.0,0.0,60.05,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-17,US House District,CA,,17,ElectIndex model,1.0,0.0,49.4,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-18,US House District,CA,,18,ElectIndex model,1.0,0.0,44.34,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-19,US House District,CA,,19,ElectIndex model,1.0,0.0,49.7,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-20,US House District,CA,,20,ElectIndex model,0.003,0.997,-28.2,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-21,US House District,CA,,21,ElectIndex model,0.982,0.018000000000000002,21.31,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-22,US House District,CA,,22,ElectIndex model,0.7440000000000001,0.256,6.6,Lean D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-23,US House District,CA,,23,ElectIndex model,0.057,0.943,-15.97,Likely R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-24,US House District,CA,,24,ElectIndex model,1.0,0.0,37.06,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-25,US House District,CA,,25,ElectIndex model,0.976,0.024,20.16,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-26,US House District,CA,,26,ElectIndex model,0.995,0.005,26.22,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-27,US House District,CA,,27,ElectIndex model,0.996,0.004,27.23,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-28,US House District,CA,,28,ElectIndex model,1.0,0.0,40.18,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-29,US House District,CA,,29,ElectIndex model,1.0,0.0,40.0,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-30,US House District,CA,,30,ElectIndex model,1.0,0.0,52.08,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-31,US House District,CA,,31,ElectIndex model,0.948,0.052000000000000005,16.46,Likely D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-32,US House District,CA,,32,ElectIndex model,1.0,0.0,39.94,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-33,US House District,CA,,33,ElectIndex model,0.998,0.002,28.77,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-34,US House District,CA,,34,ElectIndex model,1.0,0.0,40.0,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-35,US House District,CA,,35,ElectIndex model,0.996,0.004,26.68,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-36,US House District,CA,,36,ElectIndex model,1.0,0.0,51.46,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-37,US House District,CA,,37,ElectIndex model,1.0,0.0,40.0,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-38,US House District,CA,,38,ElectIndex model,0.995,0.005,26.4,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-39,US House District,CA,,39,ElectIndex model,0.9940000000000001,0.006,25.71,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-40,US House District,CA,,40,ElectIndex model,0.0,1.0,-40.0,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-41,US House District,CA,,41,ElectIndex model,0.9990000000000001,0.001,31.53,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-42,US House District,CA,,42,ElectIndex model,0.996,0.004,26.63,Safe D,2026-09-07T10:49:29.824588+00:00
