polled_at,market_a,price_a,market_b,price_b,fillable_size_dollars,fillable_size_basis,leg_a_fetch_ok,leg_b_fetch_ok
2026-09-11T13:46:09.136744+00:00,HOUSEVA7-26-R,0.059,0x45686d5a8bf5c8c3345c19d3b1af5cd96c4142fa971e6f58f7569935dfd852a1,0.9345,300.0,leg_a=kalshi_real_order_book_size_field_leg_b=polymarket_liquidity_dollars_divided_by_price_approximation_min_leg_a_binding,True,True
2026-09-11T13:48:09.354804+00:00,HOUSEVA7-26-R,0.059,0x45686d5a8bf5c8c3345c19d3b1af5cd96c4142fa971e6f58f7569935dfd852a1,0.9345,300.0,leg_a=kalshi_real_order_book_size_field_leg_b=polymarket_liquidity_dollars_divided_by_price_approximation_min_leg_a_binding,True,True
2026-09-11T13:50:09.750408+00:00,HOUSEVA7-26-R,0.059,0x45686d5a8bf5c8c3345c19d3b1af5cd96c4142fa971e6f58f7569935dfd852a1,0.9345,300.0,leg_a=kalshi_real_order_book_size_field_leg_b=polymarket_liquidity_dollars_divided_by_price_approximation_min_leg_a_binding,True,True
2026-09-11T13:52:09.996548+00:00,HOUSEVA7-26-R,0.059,0x45686d5a8bf5c8c3345c19d3b1af5cd96c4142fa971e6f58f7569935dfd852a1,0.9345,300.0,leg_a=kalshi_real_order_book_size_field_leg_b=polymarket_liquidity_dollars_divided_by_price_approximation_min_leg_a_binding,True,True
2026-09-11T13:54:10.213765+00:00,HOUSEVA7-26-R,0.059,0x45686d5a8bf5c8c3345c19d3b1af5cd96c4142fa971e6f58f7569935dfd852a1,0.9345,300.0,leg_a=kalshi_real_order_book_size_field_leg_b=polymarket_liquidity_dollars_divided_by_price_approximation_min_leg_a_binding,True,True
