polled_at,market_a,price_a,market_b,price_b,fillable_size_dollars,fillable_size_basis,leg_a_fetch_ok,leg_b_fetch_ok
2026-09-11T14:30:25.538081+00:00,KXHIGHCHI-26SEP11-T83,0.02,,,224.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T14:32:25.661943+00:00,KXHIGHCHI-26SEP11-T83,0.02,,,227.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T14:34:25.786108+00:00,KXHIGHCHI-26SEP11-T83,0.02,,,227.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T14:36:25.922580+00:00,KXHIGHCHI-26SEP11-T83,0.02,,,244.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T14:38:26.076443+00:00,KXHIGHCHI-26SEP11-T83,0.02,,,244.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T14:40:26.186309+00:00,KXHIGHCHI-26SEP11-T83,0.02,,,244.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T14:42:26.298972+00:00,KXHIGHCHI-26SEP11-T83,0.02,,,244.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T14:44:26.425546+00:00,KXHIGHCHI-26SEP11-T83,0.02,,,244.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T14:46:26.565251+00:00,KXHIGHCHI-26SEP11-T83,0.02,,,244.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T14:48:26.669453+00:00,KXHIGHCHI-26SEP11-T83,0.02,,,244.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T14:50:26.859481+00:00,KXHIGHCHI-26SEP11-T83,0.02,,,244.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T14:52:26.998670+00:00,KXHIGHCHI-26SEP11-T83,0.02,,,244.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T14:54:27.132801+00:00,KXHIGHCHI-26SEP11-T83,0.02,,,244.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T14:56:27.743653+00:00,KXHIGHCHI-26SEP11-T83,0.02,,,228.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T14:58:27.903166+00:00,KXHIGHCHI-26SEP11-T83,0.02,,,228.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:00:28.024724+00:00,KXHIGHCHI-26SEP11-T83,0.02,,,221.0,kalshi_real_order_book_size_field_single_leg,True,
