polled_at,market_a,price_a,market_b,price_b,fillable_size_dollars,fillable_size_basis,leg_a_fetch_ok,leg_b_fetch_ok
2026-09-11T15:13:59.041324+00:00,KXHIGHTDAL-26SEP11-T96,0.08,,,200.97,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:15:59.156353+00:00,KXHIGHTDAL-26SEP11-T96,0.08,,,200.97,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:17:59.243788+00:00,KXHIGHTDAL-26SEP11-T96,0.08,,,200.97,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:19:55.607035+00:00,KXHIGHTDAL-26SEP11-T96,0.08,,,200.97,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:21:55.713621+00:00,KXHIGHTDAL-26SEP11-T96,0.06,,,16.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:23:56.398095+00:00,KXHIGHTDAL-26SEP11-T96,0.05,,,10.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:25:56.485608+00:00,KXHIGHTDAL-26SEP11-T96,0.05,,,10.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:27:56.574956+00:00,KXHIGHTDAL-26SEP11-T96,0.05,,,10.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:29:56.665173+00:00,KXHIGHTDAL-26SEP11-T96,0.06,,,16.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:31:56.758460+00:00,KXHIGHTDAL-26SEP11-T96,0.06,,,16.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:33:56.842328+00:00,KXHIGHTDAL-26SEP11-T96,0.06,,,16.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:35:56.938634+00:00,KXHIGHTDAL-26SEP11-T96,0.06,,,16.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:37:57.024607+00:00,KXHIGHTDAL-26SEP11-T96,0.06,,,16.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:39:57.134888+00:00,KXHIGHTDAL-26SEP11-T96,0.06,,,16.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:41:57.265472+00:00,KXHIGHTDAL-26SEP11-T96,0.06,,,16.0,kalshi_real_order_book_size_field_single_leg,True,
2026-09-11T15:43:57.410592+00:00,KXHIGHTDAL-26SEP11-T96,0.06,,,16.0,kalshi_real_order_book_size_field_single_leg,True,
