race_id,tier,state,chamber,district,party,candidate_name,electindex_prob,electindex_model_status,hours_to_resolution,kalshi_raw_price_dem,kalshi_raw_price_rep,kalshi_corrected_prob_dem,kalshi_corrected_prob_rep,kalshi_slope_used_dem,kalshi_slope_used_rep,kalshi_edge_vs_raw_dem,kalshi_edge_vs_raw_rep,kalshi_edge_vs_electindex_dem,kalshi_edge_vs_electindex_rep,kalshi_model_status_dem,kalshi_model_status_rep,polymarket_raw_price_dem,polymarket_raw_price_rep,polymarket_corrected_prob_dem,polymarket_corrected_prob_rep,polymarket_slope_used_dem,polymarket_slope_used_rep,polymarket_edge_vs_raw_dem,polymarket_edge_vs_raw_rep,polymarket_edge_vs_electindex_dem,polymarket_edge_vs_electindex_rep,polymarket_model_status_dem,polymarket_model_status_rep
STATE-LEG-CA-SENATE-26,Elections - State Legislature District,CA,Senate,26,DEM,Sara Hernandez,0.98,estimated,990.2,0.84,,0.9233,,1.5007,,0.0833,,-0.0567,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-CA-SENATE-26,Elections - State Legislature District,CA,Senate,26,REP,,0.02,estimated,990.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
STATE-LEG-MD-SENATE-2,Elections - State Legislature District,MD,Senate,2,DEM,Eric Van Buren,0.1011,estimated,990.2,0.085,,0.0275,,1.5007,,-0.0575,,-0.0736,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-MD-SENATE-2,Elections - State Legislature District,MD,Senate,2,REP,Paul Corderman,0.8989,estimated,990.2,,0.765,,0.8546,,1.5007,,0.0896,,-0.0443,,estimated,,,,,,,,,,,,no_market_price
STATE-LEG-MO-SENATE-30,Elections - State Legislature District,MO,Senate,30,DEM,Betsy Fogle,0.539,estimated,990.2,0.635,,0.6966,,1.5007,,0.0616,,0.1576,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-MO-SENATE-30,Elections - State Legislature District,MO,Senate,30,REP,Melanie Stinnett,0.461,estimated,990.2,,0.3,,0.219,,1.5007,,-0.081,,-0.242,,estimated,,,,,,,,,,,,no_market_price
STATE-LEG-MO-SENATE-8,Elections - State Legislature District,MO,Senate,8,DEM,Keri Ingle,0.4248,estimated,990.2,0.32,,0.2439,,1.5007,,-0.0761,,-0.1809,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-MO-SENATE-8,Elections - State Legislature District,MO,Senate,8,REP,Jon Patterson,0.5752,estimated,990.2,,0.7,,0.781,,1.5007,,0.081,,0.2058,,estimated,,,,,,,,,,,,no_market_price
STATE-LEG-PA-HOUSE-12,Elections - State Legislature District,PA,House,12,DEM,Brandon Dukes,0.6377,estimated,990.2,0.525,,0.5375,,1.5007,,0.0125,,-0.1002,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-PA-HOUSE-12,Elections - State Legislature District,PA,House,12,REP,Scott Timko,0.3623,estimated,990.2,,0.47,,0.455,,1.5007,,-0.015,,0.0927,,estimated,,,,,,,,,,,,no_market_price
US-HOUSE-AK-01,Elections - US House District,AK,,1,DEM,(No Democrat),0.39299999999999996,estimated,990.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AK-01,Elections - US House District,AK,,1,REP,Nick Begich III,0.607,estimated,990.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-AL-01,Elections - US House District,AL,,1,DEM,Will the Democratic Party win the AL-01 House seat?,0.004,estimated,990.2,,,,,,,,,,,no_market_price,,0.0245,,0.004,,1.5007,,-0.0205,,0.0,,estimated,
US-HOUSE-AL-01,Elections - US House District,AL,,1,REP,Will the Republican Party win the AL-01 House seat?,0.996,estimated,990.2,,,,,,,,,,,,no_market_price,,0.945,,0.9862,,1.5007,,0.0412,,-0.0098,,estimated
US-HOUSE-AL-02,Elections - US House District,AL,,2,DEM,Will the Democratic Party win the AL-02 House seat?,0.439,estimated,990.2,,,,,,,,,,,no_market_price,,0.315,,0.2376,,1.5007,,-0.0774,,-0.2014,,estimated,
US-HOUSE-AL-02,Elections - US House District,AL,,2,REP,Will the Republican Party win the AL-02 House seat?,0.561,estimated,990.2,,,,,,,,,,,,no_market_price,,0.69,,0.7687,,1.5007,,0.0787,,0.2077,,estimated
US-HOUSE-AL-03,Elections - US House District,AL,,3,DEM,Will the Democratic Party win the AL-03 House seat?,0.0,estimated,990.2,,,,,,,,,,,no_market_price,,0.004,,0.0003,,1.5007,,-0.0037,,0.0003,,estimated,
US-HOUSE-AL-03,Elections - US House District,AL,,3,REP,Will the Republican Party win the AL-03 House seat?,1.0,estimated,990.2,,,,,,,,,,,,no_market_price,,0.945,,0.9862,,1.5007,,0.0412,,-0.0138,,estimated
US-HOUSE-AL-04,Elections - US House District,AL,,4,DEM,Will the Democratic Party win the AL-04 House seat?,0.0,estimated,990.2,,,,,,,,,,,no_market_price,,0.0045,,0.0003,,1.5007,,-0.0042,,0.0003,,estimated,
US-HOUSE-AL-04,Elections - US House District,AL,,4,REP,Will the Republican Party win the AL-04 House seat?,1.0,estimated,990.2,,,,,,,,,,,,no_market_price,,0.9765,,0.9963,,1.5007,,0.0198,,-0.0037,,estimated
US-HOUSE-AL-05,Elections - US House District,AL,,5,DEM,Will the Democratic Party win the AL-05 House seat?,0.013999999999999999,estimated,990.2,,,,,,,,,,,no_market_price,,0.055,,0.0138,,1.5007,,-0.0412,,-0.0002,,estimated,
US-HOUSE-AL-05,Elections - US House District,AL,,5,REP,Will the Republican Party win the AL-05 House seat?,0.986,estimated,990.2,,,,,,,,,,,,no_market_price,,0.945,,0.9862,,1.5007,,0.0412,,0.0002,,estimated
US-HOUSE-AL-06,Elections - US House District,AL,,6,DEM,Will the Democratic Party win the AL-06 House seat?,0.002,estimated,990.2,,,,,,,,,,,no_market_price,,0.055,,0.0138,,1.5007,,-0.0412,,0.0118,,estimated,
US-HOUSE-AL-06,Elections - US House District,AL,,6,REP,Will the Republican Party win the AL-06 House seat?,0.998,estimated,990.2,,,,,,,,,,,,no_market_price,,0.94,,0.9842,,1.5007,,0.0442,,-0.0138,,estimated
US-HOUSE-AL-07,Elections - US House District,AL,,7,DEM,Will the Democratic Party win the AL-07 House seat?,1.0,estimated,990.2,,,,,,,,,,,no_market_price,,0.9615,,0.9921,,1.5007,,0.0306,,-0.0079,,estimated,
US-HOUSE-AL-07,Elections - US House District,AL,,7,REP,Will the Republican Party win the AL-07 House seat?,0.0,estimated,990.2,,,,,,,,,,,,no_market_price,,0.045,,0.0101,,1.5007,,-0.0349,,0.0101,,estimated
US-HOUSE-AR-01,Elections - US House District,AR,,1,DEM,Will the Democratic Party win the AR-01 House seat?,0.0,estimated,990.2,,,,,,,,,,,no_market_price,,0.005,,0.0004,,1.5007,,-0.0046,,0.0004,,estimated,
US-HOUSE-AR-01,Elections - US House District,AR,,1,REP,Will the Republican Party win the AR-01 House seat?,1.0,estimated,990.2,,,,,,,,,,,,no_market_price,,0.9445,,0.986,,1.5007,,0.0415,,-0.014,,estimated
US-HOUSE-AR-02,Elections - US House District,AR,,2,DEM,Will the Democratic Party win the AR-02 House seat?,0.28800000000000003,estimated,990.2,,,,,,,,,,,no_market_price,,0.14,,0.0616,,1.5007,,-0.0784,,-0.2264,,estimated,
US-HOUSE-AR-02,Elections - US House District,AR,,2,REP,Will the Republican Party win the AR-02 House seat?,0.7120000000000001,estimated,990.2,,,,,,,,,,,,no_market_price,,0.87,,0.9455,,1.5007,,0.0755,,0.2335,,estimated
US-HOUSE-AR-03,Elections - US House District,AR,,3,DEM,Will the Democratic Party win the AR-03 House seat?,0.012,estimated,990.2,,,,,,,,,,,no_market_price,,0.055,,0.0138,,1.5007,,-0.0412,,0.0018,,estimated,
US-HOUSE-AR-03,Elections - US House District,AR,,3,REP,Will the Republican Party win the AR-03 House seat?,0.988,estimated,990.2,,,,,,,,,,,,no_market_price,,0.95,,0.9881,,1.5007,,0.0381,,0.0001,,estimated
US-HOUSE-AR-04,Elections - US House District,AR,,4,DEM,Will the Democratic Party win the AR-04 House seat?,0.0,estimated,990.2,,,,,,,,,,,no_market_price,,0.0465,,0.0106,,1.5007,,-0.0359,,0.0106,,estimated,
US-HOUSE-AR-04,Elections - US House District,AR,,4,REP,Will the Republican Party win the AR-04 House seat?,1.0,estimated,990.2,,,,,,,,,,,,no_market_price,,0.935,,0.982,,1.5007,,0.047,,-0.018,,estimated
US-HOUSE-AZ-01,Elections - US House District,AZ,,1,DEM,Amish Shah,0.757,estimated,990.2,0.715,,0.799,,1.5007,,0.084,,0.042,,estimated,,0.715,,0.799,,1.5007,,0.084,,0.042,,estimated,
