race_id,tier,state,chamber,district,party,candidate_name,electindex_prob,electindex_model_status,hours_to_resolution,kalshi_raw_price_dem,kalshi_raw_price_rep,kalshi_corrected_prob_dem,kalshi_corrected_prob_rep,kalshi_slope_used_dem,kalshi_slope_used_rep,kalshi_edge_vs_raw_dem,kalshi_edge_vs_raw_rep,kalshi_edge_vs_electindex_dem,kalshi_edge_vs_electindex_rep,kalshi_model_status_dem,kalshi_model_status_rep,polymarket_raw_price_dem,polymarket_raw_price_rep,polymarket_corrected_prob_dem,polymarket_corrected_prob_rep,polymarket_slope_used_dem,polymarket_slope_used_rep,polymarket_edge_vs_raw_dem,polymarket_edge_vs_raw_rep,polymarket_edge_vs_electindex_dem,polymarket_edge_vs_electindex_rep,polymarket_model_status_dem,polymarket_model_status_rep
STATE-LEG-CA-SENATE-26,Elections - State Legislature District,CA,Senate,26,DEM,Sara Hernandez,0.98,estimated,1331.0,0.84,,0.9233,,1.5007,,0.0833,,-0.0567,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-CA-SENATE-26,Elections - State Legislature District,CA,Senate,26,REP,,0.02,estimated,1331.0,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
STATE-LEG-MD-SENATE-2,Elections - State Legislature District,MD,Senate,2,DEM,Eric Van Buren,0.0917,estimated,1331.0,0.06,,0.0158,,1.5007,,-0.0442,,-0.0759,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-MD-SENATE-2,Elections - State Legislature District,MD,Senate,2,REP,Paul Corderman,0.9083,estimated,1331.0,,0.935,,0.982,,1.5007,,0.047,,0.0737,,estimated,,,,,,,,,,,,no_market_price
STATE-LEG-MO-SENATE-8,Elections - State Legislature District,MO,Senate,8,DEM,Keri Ingle,0.4027,estimated,1331.0,0.315,,0.2376,,1.5007,,-0.0774,,-0.1651,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-MO-SENATE-8,Elections - State Legislature District,MO,Senate,8,REP,Jon Patterson,0.5973,estimated,1331.0,,0.705,,0.7871,,1.5007,,0.0821,,0.1898,,estimated,,,,,,,,,,,,no_market_price
STATE-LEG-PA-HOUSE-12,Elections - State Legislature District,PA,House,12,DEM,Brandon Dukes,0.6152,estimated,1331.0,0.515,,0.5225,,1.5007,,0.0075,,-0.0927,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-PA-HOUSE-12,Elections - State Legislature District,PA,House,12,REP,Scott Timko,0.3848,estimated,1331.0,,0.49,,0.485,,1.5007,,-0.005,,0.1002,,estimated,,,,,,,,,,,,no_market_price
US-HOUSE-AK-01,Elections - US House District,AK,,1,DEM,(No Democrat),0.377,estimated,1331.0,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AK-01,Elections - US House District,AK,,1,REP,Nick Begich III,0.623,estimated,1331.0,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-AL-01,Elections - US House District,AL,,1,DEM,Will the Democratic Party win the AL-01 House seat?,0.003,estimated,1331.0,,,,,,,,,,,no_market_price,,0.0245,,0.004,,1.5007,,-0.0205,,0.001,,estimated,
US-HOUSE-AL-01,Elections - US House District,AL,,1,REP,Will the Republican Party win the AL-01 House seat?,0.997,estimated,1331.0,,,,,,,,,,,,no_market_price,,0.945,,0.9862,,1.5007,,0.0412,,-0.0108,,estimated
US-HOUSE-AL-02,Elections - US House District,AL,,2,DEM,Will the Democratic Party win the AL-02 House seat?,0.406,estimated,1331.0,,,,,,,,,,,no_market_price,,0.315,,0.2376,,1.5007,,-0.0774,,-0.1684,,estimated,
US-HOUSE-AL-02,Elections - US House District,AL,,2,REP,Will the Republican Party win the AL-02 House seat?,0.594,estimated,1331.0,,,,,,,,,,,,no_market_price,,0.69,,0.7687,,1.5007,,0.0787,,0.1747,,estimated
US-HOUSE-AL-03,Elections - US House District,AL,,3,DEM,Will the Democratic Party win the AL-03 House seat?,0.0,estimated,1331.0,,,,,,,,,,,no_market_price,,0.004,,0.0003,,1.5007,,-0.0037,,0.0003,,estimated,
US-HOUSE-AL-03,Elections - US House District,AL,,3,REP,Will the Republican Party win the AL-03 House seat?,1.0,estimated,1331.0,,,,,,,,,,,,no_market_price,,0.945,,0.9862,,1.5007,,0.0412,,-0.0138,,estimated
US-HOUSE-AL-04,Elections - US House District,AL,,4,DEM,Will the Democratic Party win the AL-04 House seat?,0.0,estimated,1331.0,,,,,,,,,,,no_market_price,,0.0045,,0.0003,,1.5007,,-0.0042,,0.0003,,estimated,
US-HOUSE-AL-04,Elections - US House District,AL,,4,REP,Will the Republican Party win the AL-04 House seat?,1.0,estimated,1331.0,,,,,,,,,,,,no_market_price,,0.9765,,0.9963,,1.5007,,0.0198,,-0.0037,,estimated
US-HOUSE-AL-05,Elections - US House District,AL,,5,DEM,Will the Democratic Party win the AL-05 House seat?,0.012,estimated,1331.0,,,,,,,,,,,no_market_price,,0.055,,0.0138,,1.5007,,-0.0412,,0.0018,,estimated,
US-HOUSE-AL-05,Elections - US House District,AL,,5,REP,Will the Republican Party win the AL-05 House seat?,0.988,estimated,1331.0,,,,,,,,,,,,no_market_price,,0.945,,0.9862,,1.5007,,0.0412,,-0.0018,,estimated
US-HOUSE-AL-06,Elections - US House District,AL,,6,DEM,Will the Democratic Party win the AL-06 House seat?,0.001,estimated,1331.0,,,,,,,,,,,no_market_price,,0.055,,0.0138,,1.5007,,-0.0412,,0.0128,,estimated,
US-HOUSE-AL-06,Elections - US House District,AL,,6,REP,Will the Republican Party win the AL-06 House seat?,0.9990000000000001,estimated,1331.0,,,,,,,,,,,,no_market_price,,0.94,,0.9842,,1.5007,,0.0442,,-0.0148,,estimated
US-HOUSE-AL-07,Elections - US House District,AL,,7,DEM,Will the Democratic Party win the AL-07 House seat?,1.0,estimated,1331.0,,,,,,,,,,,no_market_price,,0.9615,,0.9921,,1.5007,,0.0306,,-0.0079,,estimated,
US-HOUSE-AL-07,Elections - US House District,AL,,7,REP,Will the Republican Party win the AL-07 House seat?,0.0,estimated,1331.0,,,,,,,,,,,,no_market_price,,0.045,,0.0101,,1.5007,,-0.0349,,0.0101,,estimated
US-HOUSE-AR-01,Elections - US House District,AR,,1,DEM,Will the Democratic Party win the AR-01 House seat?,0.0,estimated,1331.0,,,,,,,,,,,no_market_price,,0.005,,0.0004,,1.5007,,-0.0046,,0.0004,,estimated,
US-HOUSE-AR-01,Elections - US House District,AR,,1,REP,Will the Republican Party win the AR-01 House seat?,1.0,estimated,1331.0,,,,,,,,,,,,no_market_price,,0.9445,,0.986,,1.5007,,0.0415,,-0.014,,estimated
US-HOUSE-AR-02,Elections - US House District,AR,,2,DEM,Will the Democratic Party win the AR-02 House seat?,0.248,estimated,1331.0,,,,,,,,,,,no_market_price,,0.14,,0.0616,,1.5007,,-0.0784,,-0.1864,,estimated,
US-HOUSE-AR-02,Elections - US House District,AR,,2,REP,Will the Republican Party win the AR-02 House seat?,0.752,estimated,1331.0,,,,,,,,,,,,no_market_price,,0.87,,0.9455,,1.5007,,0.0755,,0.1935,,estimated
US-HOUSE-AR-03,Elections - US House District,AR,,3,DEM,Will the Democratic Party win the AR-03 House seat?,0.006999999999999999,estimated,1331.0,,,,,,,,,,,no_market_price,,0.055,,0.0138,,1.5007,,-0.0412,,0.0068,,estimated,
US-HOUSE-AR-03,Elections - US House District,AR,,3,REP,Will the Republican Party win the AR-03 House seat?,0.993,estimated,1331.0,,,,,,,,,,,,no_market_price,,0.95,,0.9881,,1.5007,,0.0381,,-0.0049,,estimated
