race_id,tier,state,chamber,district,party,candidate_name,electindex_prob,electindex_model_status,hours_to_resolution,kalshi_raw_price_dem,kalshi_raw_price_rep,kalshi_corrected_prob_dem,kalshi_corrected_prob_rep,kalshi_slope_used_dem,kalshi_slope_used_rep,kalshi_edge_vs_raw_dem,kalshi_edge_vs_raw_rep,kalshi_edge_vs_electindex_dem,kalshi_edge_vs_electindex_rep,kalshi_model_status_dem,kalshi_model_status_rep,polymarket_raw_price_dem,polymarket_raw_price_rep,polymarket_corrected_prob_dem,polymarket_corrected_prob_rep,polymarket_slope_used_dem,polymarket_slope_used_rep,polymarket_edge_vs_raw_dem,polymarket_edge_vs_raw_rep,polymarket_edge_vs_electindex_dem,polymarket_edge_vs_electindex_rep,polymarket_model_status_dem,polymarket_model_status_rep
STATE-LEG-CA-SENATE-26,Elections - State Legislature District,CA,Senate,26,DEM,Sara Hernandez,0.98,estimated,1331.2,0.84,,0.9233,,1.5007,,0.0833,,-0.0567,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-CA-SENATE-26,Elections - State Legislature District,CA,Senate,26,REP,,0.02,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
STATE-LEG-MD-SENATE-2,Elections - State Legislature District,MD,Senate,2,DEM,Eric Van Buren,0.0917,estimated,1331.2,0.06,,0.0158,,1.5007,,-0.0442,,-0.0759,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-MD-SENATE-2,Elections - State Legislature District,MD,Senate,2,REP,Paul Corderman,0.9083,estimated,1331.2,,0.935,,0.982,,1.5007,,0.047,,0.0737,,estimated,,,,,,,,,,,,no_market_price
STATE-LEG-MO-SENATE-8,Elections - State Legislature District,MO,Senate,8,DEM,Keri Ingle,0.4027,estimated,1331.2,0.315,,0.2376,,1.5007,,-0.0774,,-0.1651,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-MO-SENATE-8,Elections - State Legislature District,MO,Senate,8,REP,Jon Patterson,0.5973,estimated,1331.2,,0.705,,0.7871,,1.5007,,0.0821,,0.1898,,estimated,,,,,,,,,,,,no_market_price
STATE-LEG-PA-HOUSE-12,Elections - State Legislature District,PA,House,12,DEM,Brandon Dukes,0.6152,estimated,1331.2,0.515,,0.5225,,1.5007,,0.0075,,-0.0927,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-PA-HOUSE-12,Elections - State Legislature District,PA,House,12,REP,Scott Timko,0.3848,estimated,1331.2,,0.49,,0.485,,1.5007,,-0.005,,0.1002,,estimated,,,,,,,,,,,,no_market_price
US-HOUSE-AK-01,Elections - US House District,AK,,1,DEM,(No Democrat),0.377,estimated,1331.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AK-01,Elections - US House District,AK,,1,REP,Nick Begich III,0.623,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-AL-01,Elections - US House District,AL,,1,DEM,Clyde Jones,0.003,estimated,1331.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AL-01,Elections - US House District,AL,,1,REP,Jerry Carl,0.997,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-AL-02,Elections - US House District,AL,,2,DEM,Shomari Figures,0.406,estimated,1331.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AL-02,Elections - US House District,AL,,2,REP,Rhett Marques,0.594,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-AL-03,Elections - US House District,AL,,3,DEM,Lee McInnis,0.0,estimated,1331.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AL-03,Elections - US House District,AL,,3,REP,Mike Rogers,1.0,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-AL-04,Elections - US House District,AL,,4,DEM,Amanda Pusczek,0.0,estimated,1331.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AL-04,Elections - US House District,AL,,4,REP,Robert Aderholt,1.0,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-AL-05,Elections - US House District,AL,,5,DEM,Andrew Sneed,0.012,estimated,1331.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AL-05,Elections - US House District,AL,,5,REP,Dale Strong,0.988,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-AL-06,Elections - US House District,AL,,6,DEM,Maurice Mercer,0.001,estimated,1331.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AL-06,Elections - US House District,AL,,6,REP,Gary Palmer,0.9990000000000001,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-AL-07,Elections - US House District,AL,,7,DEM,Terri Sewell,1.0,estimated,1331.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AL-07,Elections - US House District,AL,,7,REP,Ammie Akin,0.0,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-AR-01,Elections - US House District,AR,,1,DEM,Terri Green,0.0,estimated,1331.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AR-01,Elections - US House District,AR,,1,REP,Rick Crawford,1.0,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-AR-02,Elections - US House District,AR,,2,DEM,Chris Jones,0.248,estimated,1331.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AR-02,Elections - US House District,AR,,2,REP,French Hill,0.752,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-AR-03,Elections - US House District,AR,,3,DEM,Robb Ryerse,0.006999999999999999,estimated,1331.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AR-03,Elections - US House District,AR,,3,REP,Steve Womack,0.993,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-AR-04,Elections - US House District,AR,,4,DEM,James Russell,0.0,estimated,1331.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AR-04,Elections - US House District,AR,,4,REP,Bruce Westerman,1.0,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-AZ-01,Elections - US House District,AZ,,1,DEM,Amish Shah,0.698,estimated,1331.2,0.705,,0.7871,,1.5007,,0.0821,,0.0891,,estimated,,,,,,,,,,,,no_market_price,
US-HOUSE-AZ-01,Elections - US House District,AZ,,1,REP,Jay Feely,0.302,estimated,1331.2,,0.305,,0.2251,,1.5007,,-0.0799,,-0.0769,,estimated,,,,,,,,,,,,no_market_price
US-HOUSE-AZ-02,Elections - US House District,AZ,,2,DEM,Jonathan Nez,0.519,estimated,1331.2,0.29,,0.2069,,1.5007,,-0.0831,,-0.3121,,estimated,,,,,,,,,,,,no_market_price,
US-HOUSE-AZ-02,Elections - US House District,AZ,,2,REP,Eli Crane,0.48100000000000004,estimated,1331.2,,0.715,,0.799,,1.5007,,0.084,,0.318,,estimated,,,,,,,,,,,,no_market_price
US-HOUSE-AZ-03,Elections - US House District,AZ,,3,DEM,Yassamin Ansari,1.0,estimated,1331.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AZ-03,Elections - US House District,AZ,,3,REP,(no Republican filed),0.0,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-AZ-04,Elections - US House District,AZ,,4,DEM,Greg Stanton,0.978,estimated,1331.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AZ-04,Elections - US House District,AZ,,4,REP,Zuhdi Jasser,0.022000000000000002,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-AZ-05,Elections - US House District,AZ,,5,DEM,Elizabeth Lee,0.11,estimated,1331.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AZ-05,Elections - US House District,AZ,,5,REP,Mark Lamb,0.89,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-AZ-06,Elections - US House District,AZ,,6,DEM,JoAnna Mendoza,0.7190000000000001,estimated,1331.2,0.815,,0.9025,,1.5007,,0.0875,,0.1835,,estimated,,,,,,,,,,,,no_market_price,
US-HOUSE-AZ-06,Elections - US House District,AZ,,6,REP,Juan Ciscomani,0.281,estimated,1331.2,,0.17,,0.0847,,1.5007,,-0.0853,,-0.1963,,estimated,,,,,,,,,,,,no_market_price
US-HOUSE-AZ-07,Elections - US House District,AZ,,7,DEM,Adelita Grijalva,1.0,estimated,1331.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AZ-07,Elections - US House District,AZ,,7,REP,Daniel Butierez,0.0,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-AZ-08,Elections - US House District,AZ,,8,DEM,Bernadette Greene-Placentia,0.20600000000000002,estimated,1331.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AZ-08,Elections - US House District,AZ,,8,REP,Abraham Hamadeh,0.794,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-AZ-09,Elections - US House District,AZ,,9,DEM,Danielle Sterbinsky,0.013000000000000001,estimated,1331.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AZ-09,Elections - US House District,AZ,,9,REP,Paul Gosar,0.987,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-CA-01,Elections - US House District,CA,,1,DEM,Mike McGuire,0.9740000000000001,estimated,1331.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-CA-01,Elections - US House District,CA,,1,REP,James Gallagher,0.026000000000000002,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-CA-02,Elections - US House District,CA,,2,DEM,Jared Huffman,1.0,estimated,1331.2,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-CA-02,Elections - US House District,CA,,2,REP,Robin Littau,0.0,estimated,1331.2,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-CA-03,Elections - US House District,CA,,3,DEM,Ami Bera,0.983,estimated,1331.2,0.944,,0.9858,,1.5007,,0.0418,,0.0028,,estimated,,,,,,,,,,,,no_market_price,
