race_id,tier,state,chamber,district,party,candidate_name,electindex_prob,electindex_model_status,hours_to_resolution,kalshi_raw_price_dem,kalshi_raw_price_rep,kalshi_corrected_prob_dem,kalshi_corrected_prob_rep,kalshi_slope_used_dem,kalshi_slope_used_rep,kalshi_edge_vs_raw_dem,kalshi_edge_vs_raw_rep,kalshi_edge_vs_electindex_dem,kalshi_edge_vs_electindex_rep,kalshi_model_status_dem,kalshi_model_status_rep,polymarket_raw_price_dem,polymarket_raw_price_rep,polymarket_corrected_prob_dem,polymarket_corrected_prob_rep,polymarket_slope_used_dem,polymarket_slope_used_rep,polymarket_edge_vs_raw_dem,polymarket_edge_vs_raw_rep,polymarket_edge_vs_electindex_dem,polymarket_edge_vs_electindex_rep,polymarket_model_status_dem,polymarket_model_status_rep
STATE-LEG-CA-SENATE-26,Elections - State Legislature District,CA,Senate,26,DEM,Sara Hernandez,0.98,estimated,894.6,0.84,,0.9233,,1.5007,,0.0833,,-0.0567,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-CA-SENATE-26,Elections - State Legislature District,CA,Senate,26,REP,,0.02,estimated,894.6,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
STATE-LEG-MD-SENATE-2,Elections - State Legislature District,MD,Senate,2,DEM,Eric Van Buren,0.1058,estimated,894.6,0.035,,0.0068,,1.5007,,-0.0282,,-0.099,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-MD-SENATE-2,Elections - State Legislature District,MD,Senate,2,REP,Paul Corderman,0.8942,estimated,894.6,,0.93,,0.9798,,1.5007,,0.0498,,0.0856,,estimated,,,,,,,,,,,,no_market_price
STATE-LEG-MO-SENATE-30,Elections - State Legislature District,MO,Senate,30,DEM,Betsy Fogle,0.5479,estimated,894.6,0.865,,0.942,,1.5007,,0.077,,0.3941,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-MO-SENATE-30,Elections - State Legislature District,MO,Senate,30,REP,Melanie Stinnett,0.4521,estimated,894.6,,0.1,,0.0357,,1.5007,,-0.0643,,-0.4164,,estimated,,,,,,,,,,,,no_market_price
STATE-LEG-MO-SENATE-8,Elections - State Legislature District,MO,Senate,8,DEM,Keri Ingle,0.4335,estimated,894.6,0.315,,0.2376,,1.5007,,-0.0774,,-0.1959,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-MO-SENATE-8,Elections - State Legislature District,MO,Senate,8,REP,Jon Patterson,0.5665,estimated,894.6,,0.705,,0.7871,,1.5007,,0.0821,,0.2206,,estimated,,,,,,,,,,,,no_market_price
STATE-LEG-PA-HOUSE-12,Elections - State Legislature District,PA,House,12,DEM,Brandon Dukes,0.6461,estimated,894.6,0.525,,0.5375,,1.5007,,0.0125,,-0.1086,,estimated,,,,,,,,,,,,no_market_price,
STATE-LEG-PA-HOUSE-12,Elections - State Legislature District,PA,House,12,REP,Scott Timko,0.3539,estimated,894.6,,0.48,,0.47,,1.5007,,-0.01,,0.1161,,estimated,,,,,,,,,,,,no_market_price
US-HOUSE-AK-01,Elections - US House District,AK,,1,DEM,(No Democrat),0.413,estimated,894.6,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price,
US-HOUSE-AK-01,Elections - US House District,AK,,1,REP,Nick Begich III,0.5870000000000001,estimated,894.6,,,,,,,,,,,,no_market_price,,,,,,,,,,,,no_market_price
US-HOUSE-AL-01,Elections - US House District,AL,,1,DEM,Will the Democratic Party win the AL-01 House seat?,0.004,estimated,894.6,,,,,,,,,,,no_market_price,,0.0245,,0.004,,1.5007,,-0.0205,,0.0,,estimated,
US-HOUSE-AL-01,Elections - US House District,AL,,1,REP,Will the Republican Party win the AL-01 House seat?,0.996,estimated,894.6,,,,,,,,,,,,no_market_price,,0.945,,0.9862,,1.5007,,0.0412,,-0.0098,,estimated
US-HOUSE-AL-02,Elections - US House District,AL,,2,DEM,Will the Democratic Party win the AL-02 House seat?,0.457,estimated,894.6,,,,,,,,,,,no_market_price,,0.315,,0.2376,,1.5007,,-0.0774,,-0.2194,,estimated,
US-HOUSE-AL-02,Elections - US House District,AL,,2,REP,Will the Republican Party win the AL-02 House seat?,0.5429999999999999,estimated,894.6,,,,,,,,,,,,no_market_price,,0.69,,0.7687,,1.5007,,0.0787,,0.2257,,estimated
US-HOUSE-AL-03,Elections - US House District,AL,,3,DEM,Will the Democratic Party win the AL-03 House seat?,0.0,estimated,894.6,,,,,,,,,,,no_market_price,,0.004,,0.0003,,1.5007,,-0.0037,,0.0003,,estimated,
US-HOUSE-AL-03,Elections - US House District,AL,,3,REP,Will the Republican Party win the AL-03 House seat?,1.0,estimated,894.6,,,,,,,,,,,,no_market_price,,0.945,,0.9862,,1.5007,,0.0412,,-0.0138,,estimated
US-HOUSE-AL-04,Elections - US House District,AL,,4,DEM,Will the Democratic Party win the AL-04 House seat?,0.0,estimated,894.6,,,,,,,,,,,no_market_price,,0.0045,,0.0003,,1.5007,,-0.0042,,0.0003,,estimated,
