flag_id,track,flagged_side,first_flagged_at,first_flagged_model_prob,first_flagged_market_price,first_flagged_edge,consensus_available,consensus_label,consensus_price,consensus_edge,last_seen_at,last_seen_market_price,status,closing_market_price,closing_pulled_at,price_moved,clv_edge_at_close,venue,race_id,party,tier,state,chamber,district,candidate_name,hours_to_resolution,electindex_prob,edge_vs_electindex
kalshi|US-HOUSE-AZ-02|REP,politics,rep,2026-09-09T12:06:41Z,0.799,0.715,0.084,True,polymarket,0.675,0.124,2026-09-26T17:24:35Z,0.64,open,,,,,kalshi,US-HOUSE-AZ-02,REP,Elections - US House District,AZ,,2,Eli Crane,1307.9,0.481,0.318
polymarket|US-HOUSE-AZ-02|REP,politics,rep,2026-09-09T12:06:41Z,0.7497,0.675,0.0747,True,kalshi,0.715,0.0347,2026-09-26T17:24:35Z,0.675,open,,,,,polymarket,US-HOUSE-AZ-02,REP,Elections - US House District,AZ,,2,Eli Crane,1307.9,0.481,0.2687
polymarket|US-HOUSE-AZ-04|DEM,politics,dem,2026-09-09T12:06:41Z,0.9862,0.945,0.0412,False,,,,2026-09-26T17:24:35Z,0.945,open,,,,,polymarket,US-HOUSE-AZ-04,DEM,Elections - US House District,AZ,,4,Will the Democratic Party win the AZ-04 House seat?,1307.9,0.978,0.0082
polymarket|US-HOUSE-AZ-05|REP,politics,rep,2026-09-09T12:06:41Z,0.9725,0.915,0.0575,False,,,,2026-09-26T17:24:35Z,0.915,open,,,,,polymarket,US-HOUSE-AZ-05,REP,Elections - US House District,AZ,,5,Will the Republican Party win the AZ-05 House seat?,1307.9,0.892,0.0805
kalshi|US-HOUSE-AZ-06|DEM,politics,dem,2026-09-09T12:06:41Z,0.9025,0.815,0.0875,True,polymarket,0.825,0.0775,2026-09-26T17:24:35Z,0.845,open,,,,,kalshi,US-HOUSE-AZ-06,DEM,Elections - US House District,AZ,,6,JoAnna Mendoza,1307.9,0.718,0.1845
polymarket|US-HOUSE-AZ-06|DEM,politics,dem,2026-09-09T12:06:41Z,0.9111,0.825,0.0861,True,kalshi,0.815,0.0961,2026-09-26T17:24:35Z,0.825,open,,,,,polymarket,US-HOUSE-AZ-06,DEM,Elections - US House District,AZ,,6,JoAnna Mendoza,1307.9,0.718,0.1931
polymarket|US-HOUSE-AZ-07|DEM,politics,dem,2026-09-09T12:06:41Z,0.9899,0.955,0.0349,False,,,,2026-09-26T17:24:35Z,0.955,open,,,,,polymarket,US-HOUSE-AZ-07,DEM,Elections - US House District,AZ,,7,Will the Democratic Party win the AZ-07 House seat?,1307.9,1.0,-0.0101
polymarket|US-HOUSE-AZ-08|REP,politics,rep,2026-09-09T12:06:41Z,0.9111,0.825,0.0861,False,,,,2026-09-26T17:24:35Z,0.825,open,,,,,polymarket,US-HOUSE-AZ-08,REP,Elections - US House District,AZ,,8,Will the Republican Party win the AZ-08 House seat?,1307.9,0.795,0.1161
polymarket|US-HOUSE-AZ-09|REP,politics,rep,2026-09-09T12:06:41Z,0.9862,0.945,0.0412,False,,,,2026-09-26T17:24:35Z,0.945,open,,,,,polymarket,US-HOUSE-AZ-09,REP,Elections - US House District,AZ,,9,Will the Republican Party win the AZ-09 House seat?,1307.9,0.987,-0.0008
polymarket|US-HOUSE-CA-02|DEM,politics,dem,2026-09-09T12:06:41Z,0.982,0.935,0.047,False,,,,2026-09-26T17:24:35Z,0.935,open,,,,,polymarket,US-HOUSE-CA-02,DEM,Elections - US House District,CA,,2,Will the Democratic Party win the CA-02 House seat?,1307.9,1.0,-0.018
