resolved_stat_key,n_total,z_lo,z_hi,calibrated_prob,ready_to_apply,fit_date
hits+runs+rbi,1473,-0.37496411954634823,-0.37496411954634823,0.0,False,2026-09-18
hits+runs+rbi,1473,-0.31007932804641314,-0.2795524552639108,0.35294117647058826,False,2026-09-18
hits+runs+rbi,1473,-0.27868699593818747,-0.2606527214811649,0.35294117647058826,False,2026-09-18
hits+runs+rbi,1473,-0.2602032152644824,-0.19761826601461507,0.38317757009345793,False,2026-09-18
hits+runs+rbi,1473,-0.19639649710734375,-0.16773461751290597,0.43478260869565216,False,2026-09-18
hits+runs+rbi,1473,-0.16717270892695524,-0.10156843767617829,0.4782608695652174,False,2026-09-18
hits+runs+rbi,1473,-0.10146839267690666,-0.0998718858754728,0.5,False,2026-09-18
hits+runs+rbi,1473,-0.09711276800953783,0.002563235437264666,0.5066666666666667,False,2026-09-18
hits+runs+rbi,1473,0.0026289378001820296,0.07209033591789193,0.5258620689655173,False,2026-09-18
hits+runs+rbi,1473,0.07244448273559101,0.11459479088080116,0.5444444444444444,False,2026-09-18
hits+runs+rbi,1473,0.1147796926961746,0.20757445498020388,0.5683453237410072,False,2026-09-18
hits+runs+rbi,1473,0.20823508923058398,0.2400325459020678,0.589041095890411,False,2026-09-18
hits+runs+rbi,1473,0.24043206506757997,0.2410389147407841,0.6666666666666666,False,2026-09-18
hits+runs+rbi,1473,0.24137278852867894,0.2707566172175575,0.7058823529411765,False,2026-09-18
hits+runs+rbi,1473,0.27082136980607174,0.33163094156770967,0.7428571428571429,False,2026-09-18
hits+runs+rbi,1473,0.3329272797855083,0.33573670967598446,0.75,False,2026-09-18
hits+runs+rbi,1473,0.33576290096971206,0.3961125841306057,0.7575757575757576,False,2026-09-18
hits+runs+rbi,1473,0.3961937349231448,0.43928947500535287,0.8571428571428571,False,2026-09-18
hits+runs+rbi,1473,0.4457713801821228,0.47823594420333393,0.8571428571428571,False,2026-09-18
hits+runs+rbi,1473,0.48739760046009906,0.6180865908099804,0.9375,False,2026-09-18
hits+runs+rbi,1473,0.6239249077916611,0.9232656740641687,0.9444444444444444,False,2026-09-18
hits+runs+rbi,1473,0.9286486868804786,0.9286486868804786,1.0,False,2026-09-18
hits+runs+rbi,1473,1.006897432002006,1.006897432002006,1.0,False,2026-09-18
hits+runs+rbi,1473,1.042535367916571,1.042535367916571,1.0,False,2026-09-18
hits+runs+rbi,1473,1.064306379208574,1.064306379208574,1.0,False,2026-09-18
hits+runs+rbi,1473,1.1866093033750076,1.1866093033750076,1.0,False,2026-09-18
totalBases,1453,-0.39617278610239737,-0.39617278610239737,0.0,True,2026-09-18
totalBases,1453,-0.33389800673467107,-0.27493078450788744,0.25,True,2026-09-18
totalBases,1453,-0.26958722455310635,-0.043081590469228104,0.42209631728045327,True,2026-09-18
totalBases,1453,-0.0423297117522452,-0.028727453987812623,0.4230769230769231,True,2026-09-18
totalBases,1453,-0.028646881837630644,0.02205441871774383,0.5039370078740159,True,2026-09-18
totalBases,1453,0.02215809587505646,0.07251622548210435,0.5317073170731705,True,2026-09-18
totalBases,1453,0.07361909837345593,0.19749339143163525,0.5994475138121547,True,2026-09-18
totalBases,1453,0.19826242796261795,0.22381173688336276,0.6704545454545454,True,2026-09-18
totalBases,1453,0.22432014733203687,0.36536405500373803,0.6848739495798319,True,2026-09-18
totalBases,1453,0.36610213821404614,0.3960465753043536,0.7777777777777778,True,2026-09-18
totalBases,1453,0.400613493664423,0.400613493664423,1.0,True,2026-09-18
totalBases,1453,0.4161447121587116,0.4161447121587116,1.0,True,2026-09-18
totalBases,1453,0.45660906299599446,0.45660906299599446,1.0,True,2026-09-18
totalBases,1453,0.4689607076870743,0.4689607076870743,1.0,True,2026-09-18
totalBases,1453,0.47935580849298276,0.47935580849298276,1.0,True,2026-09-18
totalBases,1453,0.4903951172309462,0.4903951172309462,1.0,True,2026-09-18
totalBases,1453,0.5123766766337212,0.5123766766337212,1.0,True,2026-09-18
