sport,resolved_stat_key,odds_bucket,n,wins,win_rate,n_clusters,breakeven,edge,ci_lo,ci_hi,cluster_ci_lo,cluster_ci_hi,verdict
MLB,rbi,underdog,1697,526,0.309958750736594,108,0.3128617541710728,-0.0029030034344788014,0.2884045081417034,0.3323714653528303,0.2874310429242278,0.33248645854896025,inconclusive
MLB,runs,underdog,1658,711,0.42882991556091676,108,0.4253389119444878,0.003491003616428956,0.4051988227751902,0.4527900493291066,0.4040464760918431,0.45361335502999045,inconclusive
MLB,hits+runs+rbi,underdog,1616,815,0.5043316831683168,108,0.4881565522409348,0.016175130927381987,0.47997283560092785,0.5286699847834849,0.47727621504942586,0.5313871512872077,inconclusive
MLB,totalBases,underdog,1605,777,0.48411214953271026,108,0.4873085786986072,-0.0031964291658969635,0.4597298092306382,0.5085703640120228,0.4571187454255739,0.5111055536398467,inconclusive
MLB,hits,underdog,1518,795,0.5237154150197628,108,0.5115535989096303,0.012161816110132562,0.498562495858677,0.5487486040613146,0.49744710728425434,0.5499837227552713,inconclusive
MLB,baseOnBalls,underdog,1331,516,0.3876784372652141,108,0.40074323737205825,-0.013064800106844132,0.36186202761114966,0.4141413573597713,0.3609445345202029,0.4144123400102253,inconclusive
MLB,hitter fs,standard,1295,659,0.5088803088803089,108,0.5549441528283543,-0.04606384394804541,0.48166589232722135,0.5360421946327282,0.4801433083267236,0.5376173094338942,below_breakeven
MLB,totalBases,demon,1139,786,0.6900790166812993,64,,,0.6626199248122688,0.7162602279578087,0.6587957426742452,0.7213622906883534,no_valid_breakeven
MLB,hits+runs+rbi,demon,1136,760,0.6690140845070423,64,,,0.6411200598547597,0.6957688552366003,0.6377643718260341,0.7002637971880504,no_valid_breakeven
MLB,hits,demon,1132,897,0.7924028268551236,64,,,0.7678057046994138,0.8150220417046622,0.7671611550018149,0.8176444987084324,no_valid_breakeven
MLB,homeRuns,demon,1100,722,0.6563636363636364,64,,,0.6277969883113539,0.683841927996928,0.5719186538079373,0.7408086189193355,no_valid_breakeven
MLB,doubles,demon,1086,941,0.8664825046040515,64,,,0.8449553604340752,0.8854260087483822,0.8468821086805338,0.8860829005275692,no_valid_breakeven
MLB,runs,demon,1054,747,0.7087286527514232,64,,,0.6805800798847257,0.7353612103802819,0.6784499684869698,0.7390073370158765,no_valid_breakeven
MLB,hits+runs+rbi,goblin,1011,482,0.47675568743818003,64,,,0.4461139344237345,0.5075734193465485,0.4399789649384704,0.5135324099378897,no_valid_breakeven
MLB,baseOnBalls,demon,960,668,0.6958333333333333,64,,,0.6659979608862748,0.7241076332279447,0.6629754375522924,0.7286912291143742,no_valid_breakeven
MLB,singles,demon,955,668,0.6994764397905759,64,,,0.6696454971246788,0.7277089772744294,0.6704043111363138,0.7285485684448381,no_valid_breakeven
MLB,hitter fs,demon,907,637,0.7023153252480706,64,,,0.6717550742956877,0.7311689906569891,0.6753049718671275,0.7293256786290138,no_valid_breakeven
MLB,hits,goblin,903,413,0.4573643410852713,64,,,0.42511977516862304,0.48997013689540214,0.4219097865221207,0.4928188956484219,no_valid_breakeven
MLB,rbi,demon,870,612,0.7034482758620689,49,,,0.6722571704751955,0.7328505744524892,0.6696229690467732,0.7372735826773646,no_valid_breakeven
MLB,totalBases,goblin,863,413,0.47856315179606024,64,,,0.4454030386187843,0.5119132692280011,0.4442468694933507,0.5128794340987698,no_valid_breakeven
MLB,hitter fs,goblin,824,354,0.42961165048543687,64,,,0.3962152902859657,0.4636612851361924,0.3865536549157131,0.47266964605516065,no_valid_breakeven
MLB,strikeOuts,demon,714,555,0.7773109243697479,42,,,0.7453546360426547,0.806299099266082,0.7532081911543886,0.8014136575851072,no_valid_breakeven
MLB,hits+runs+rbi,standard,616,320,0.5194805194805194,108,0.5549441528283543,-0.035463633347834866,0.48002671076313175,0.558692858881758,0.48151518510592667,0.5574458538551122,inconclusive
MLB,stolenBases,demon,607,532,0.8764415156507414,63,,,0.8478699633852699,0.900278165360382,0.8522051657907315,0.9006778655107512,no_valid_breakeven
MLB,strikeOuts,goblin,499,235,0.4709418837675351,47,,,0.4275342602134016,0.5147935026447232,0.4303352368960817,0.5115485306389884,no_valid_breakeven
MLB,singles,standard,468,240,0.5128205128205128,108,0.5549441528283542,-0.04212364000784141,0.46761511726824007,0.5578171464405978,0.4686878337704485,0.5569531918705771,inconclusive
MLB,numberOfPitchesSeen,standard,376,204,0.5425531914893617,106,0.5549441528283543,-0.012390961338992645,0.4920199876217185,0.5922256558254446,0.4934300959735475,0.5916762870051758,inconclusive
MLB,totalBases,standard,346,164,0.47398843930635837,107,0.5549441528283543,-0.08095571352199593,0.4219491800105567,0.5265989629204154,0.4216777975450893,0.5262990810676275,below_breakeven
MLB,hits,standard,256,137,0.53515625,99,0.5549441528283543,-0.019787902828354298,0.4739891850542932,0.595283787402773,0.4780330558111212,0.5922794441888788,inconclusive
MLB,plateAppearances,demon,239,160,0.6694560669456067,62,,,0.6075489607379189,0.7260017982753638,0.5837144847786936,0.7551976491125197,no_valid_breakeven
NFL,passing_tds+rushing_tds+receiving_tds,standard,233,175,0.7510729613733905,16,0.5549441528283543,0.19612880854503623,0.691781531827409,0.8022195220415059,0.6795977267720823,0.8225481959746987,beats_breakeven
NFL,fantasy score,standard,197,122,0.6192893401015228,16,0.5549441528283543,0.06434518727316851,0.5498146219590768,0.6842006418109787,0.5463025025718241,0.6922761776312215,inconclusive
MLB,p_strikeOuts,underdog,192,98,0.5104166666666666,106,0.48666165153788604,0.023755015128780588,0.4401989325913502,0.5802257371417402,0.4431432055757899,0.5776901277575434,inconclusive
MLB,runs,standard,188,102,0.5425531914893617,84,0.5549441528283543,-0.012390961338992645,0.471198026969167,0.6122041131297478,0.4819221071600125,0.6031842758187108,inconclusive
