sport,resolved_stat_key,odds_bucket,n,wins,win_rate,breakeven,edge,ci_lo,ci_hi,verdict
MLB,rbi,underdog,1386,435,0.31385281385281383,0.31522810579425414,-0.0013752919414403153,0.2899644244574422,0.3387702457380678,inconclusive
MLB,hits+runs+rbi,underdog,1309,663,0.5064935064935064,0.493497777448571,0.012995729044935456,0.4794297292788199,0.5335192814776947,inconclusive
MLB,totalBases,underdog,1307,659,0.5042081101759756,0.4972982572113751,0.006909852964600449,0.4771290576663347,0.5312624978045934,inconclusive
MLB,runs,underdog,1297,576,0.4441017733230532,0.4335347464829863,0.010567026840066884,0.41726516435713146,0.4712685356721419,inconclusive
MLB,hits,underdog,1249,662,0.5300240192153723,0.5164080309361079,0.013615988279264468,0.50229463131516,0.5575692812496847,inconclusive
MLB,baseOnBalls,underdog,1157,465,0.40190146931719967,0.41272356976430075,-0.01082210044710108,0.3740199129088471,0.4304323052060103,inconclusive
MLB,hitter fs,standard,1037,533,0.5139826422372228,0.5,0.013982642237222787,0.4835666489342122,0.5442954196072451,inconclusive
MLB,hits+runs+rbi,demon,754,503,0.6671087533156499,0.4798011968370697,0.18730755647858022,0.6326991237625468,0.6998241898164387,beats_breakeven
MLB,runs,demon,752,533,0.7087765957446809,0.4804250703350626,0.22835152540961828,0.6753082849287394,0.7401226730920947,beats_breakeven
MLB,totalBases,demon,751,509,0.677762982689747,0.48284912953458214,0.19491385315516485,0.6435068538320428,0.7102097404839038,beats_breakeven
MLB,hits,demon,750,598,0.7973333333333333,0.47214457393403,0.32518875939930336,0.7670817562741836,0.8245544707528205,beats_breakeven
MLB,rbi,demon,746,525,0.7037533512064343,0.48102656848315,0.22272678272328433,0.670010839341109,0.7354081184761154,beats_breakeven
MLB,doubles,demon,731,634,0.8673050615595075,0.4718465422825951,0.3954585192769124,0.840781245864064,0.8899884873682407,beats_breakeven
MLB,strikeOuts,demon,712,553,0.776685393258427,0.4730434438762793,0.3036419493821477,0.7446553817057047,0.8057457126146031,beats_breakeven
MLB,homeRuns,demon,711,634,0.8917018284106891,0.4717712698810036,0.4199305585296855,0.8667188159484999,0.9124747844239461,beats_breakeven
MLB,singles,demon,661,455,0.6883509833585476,0.47862954379463396,0.20972143956391365,0.6520383622049718,0.7224869382575745,beats_breakeven
MLB,baseOnBalls,demon,657,458,0.6971080669710806,0.47703446607955297,0.22007360089152767,0.6609085743154204,0.7310159050151785,beats_breakeven
MLB,hits+runs+rbi,goblin,634,332,0.5236593059936908,0.463680087873297,0.05997921812039381,0.4847566254273844,0.5622769954590551,beats_breakeven
MLB,hits,goblin,585,266,0.4547008547008547,0.38858526275094724,0.06611559194990746,0.4147757581496656,0.4952170141001212,beats_breakeven
MLB,hitter fs,demon,556,378,0.6798561151079137,0.47596844274006794,0.20388767236784572,0.6399562472920356,0.7172876588414135,beats_breakeven
MLB,totalBases,goblin,545,272,0.4990825688073395,0.42731386517600806,0.07176870363133142,0.4572576443539336,0.5409203363239159,beats_breakeven
MLB,stolenBases,demon,540,477,0.8833333333333333,0.4716916401768597,0.4116416931564736,0.8535091521575298,0.9077419180070182,beats_breakeven
MLB,strikeOuts,goblin,492,233,0.4735772357723577,0.38259714776516496,0.09098008800719276,0.4298326416105672,0.5177312578282858,beats_breakeven
MLB,hits+runs+rbi,standard,491,260,0.5295315682281059,0.5014805896848467,0.02805097854325922,0.48532384343240376,0.5732807686293145,inconclusive
MLB,hitter fs,goblin,467,228,0.48822269807280516,0.423530852452286,0.06469184562051916,0.443167606041681,0.5334699722861475,beats_breakeven
MLB,singles,standard,384,196,0.5104166666666666,0.5012375266585904,0.009179140008076181,0.46056206130316074,0.5600649163083177,inconclusive
MLB,numberOfPitchesSeen,standard,318,167,0.5251572327044025,0.5,0.02515723270440251,0.47029860807435353,0.5794152884511422,inconclusive
MLB,totalBases,standard,281,138,0.49110320284697506,0.5029793132900531,-0.011876110443078014,0.43316593251020613,0.5492804517258043,inconclusive
NFL,passing_tds+rushing_tds+receiving_tds,standard,233,175,0.7510729613733905,0.5,0.2510729613733905,0.691781531827409,0.8022195220415059,beats_breakeven
MLB,hits,standard,214,118,0.5514018691588785,0.5018237624178941,0.049578106740984396,0.4844428832099612,0.616547928462373,inconclusive
NFL,fantasy score,standard,197,122,0.6192893401015228,0.5,0.11928934010152281,0.5498146219590768,0.6842006418109787,beats_breakeven
NFL,receiving_yards,standard,179,129,0.7206703910614525,0.5,0.22067039106145248,0.6508341925896337,0.7812337831883074,beats_breakeven
NFL,receptions,standard,169,118,0.6982248520710059,0.5,0.19822485207100593,0.6252435010523353,0.7623946601310835,beats_breakeven
MLB,runs,standard,166,89,0.536144578313253,0.5003410645761824,0.03580351373707058,0.4603217064180836,0.6103323618431669,inconclusive
MLB,p_strikeOuts,underdog,154,79,0.512987012987013,0.4949074059918977,0.018079606995115294,0.43469288303066683,0.5906489786838621,inconclusive
MLB,p_baseOnBalls,underdog,149,88,0.5906040268456376,0.5065912568040861,0.0840127700415515,0.5103364560820506,0.6663170204583678,beats_breakeven
MLB,plateAppearances,demon,148,102,0.6891891891891891,0.4728392763859059,0.21634991280328325,0.6106302753584152,0.7581751113076894,beats_breakeven
MLB,p_earnedRuns,underdog,148,71,0.4797297297297297,0.4977095114031982,-0.017979781673468476,0.400776349314001,0.5597087878289164,inconclusive
SOCCER,foulsCommitted,demon,148,130,0.8783783783783784,0.4743694579979676,0.4040089203804108,0.8159429096968294,0.9216678636353801,beats_breakeven
NFL,receptions,underdog,146,83,0.5684931506849316,0.4923129823996958,0.07618016828523577,0.4874134752002689,0.6460608069750416,inconclusive
MLB,p_hits,underdog,146,70,0.4794520547945205,0.49602377195115444,-0.016571717156633914,0.3999858090092327,0.5599719063381742,inconclusive
MLB,p_outs,underdog,144,73,0.5069444444444444,0.4732087846706137,0.033735659773830695,0.426172921713114,0.5873550704081834,inconclusive
SOCCER,totalShots,demon,142,119,0.8380281690140845,0.4728877680567107,0.3651404009573738,0.768669960005757,0.8895784409991688,beats_breakeven
FIFA,totalShots,underdog,138,76,0.5507246376811594,0.5154180354020064,0.035306602279153054,0.46747815310080043,0.6312234971907924,inconclusive
NFL,receiving_yards,underdog,138,79,0.572463768115942,0.4968302780841798,0.07563349003176223,0.4890605970753871,0.6519417604840313,inconclusive
