flag_id,platform,source_line_id,player_name,game_matchup,sport,stat_type,resolved_stat_key,mlb_starter_status,nfl_injury_status,weather_wind_mph,weather_factor,odds_type,allowed_wager_types,adjusted_odds,game_id,game_start_time,flagged_side,first_flagged_at,first_flagged_line,first_flagged_model_prob,first_flagged_implied_prob,first_flagged_edge,consensus_available,consensus_platform,consensus_source_line_id,consensus_line,consensus_implied_prob_same_side,consensus_edge,last_seen_at,last_seen_line,last_seen_implied_prob,status,closing_line,closing_implied_prob,closing_pulled_at,line_moved,clv_edge_at_close,season_avg,recent_form,model_sigma,games_used,league_avg
prizepicks|15047793,prizepicks,15047793,Samad Taylor,MIA @ SD,MLB,Hitter FS,hitter fs,,,,,standard,,,181668,2026-09-20T16:10:00.000-04:00,over,2026-09-20T18:54:59Z,3.5,0.6142857142857142,0.5490575349432251,0.0652281793424891,False,,,,,,2026-09-20T18:54:59Z,3.5,0.5490575349432251,closed,3.5,0.5490575349432251,2026-09-20T18:54:59Z,,,8.097560975609756,14.78,17.922689312780015,41.0,5.797706706788194
prizepicks|15209596,prizepicks,15209596,Samad Taylor,AZ @ SD,MLB,Hitter FS,hitter fs,,,,,standard,,,182957,2026-09-25T21:40:00.000-04:00,over,2026-09-25T13:51:25Z,3.5,0.6142857142857142,0.5490575349432251,0.0652281793424891,False,,,,,,2026-09-25T13:51:25Z,3.5,0.5490575349432251,closed,3.5,0.5490575349432251,2026-09-25T13:51:25Z,,,7.977777777777778,6.5,17.970963808433883,45.0,5.783664778114401
prizepicks|15210754,prizepicks,15210754,Bo Davidson,LAD @ SF,MLB,Hitter FS,hitter fs,,,,,standard,,,182959,2026-09-25T22:15:00.000-04:00,over,2026-09-25T13:51:25Z,3.5,0.8529411764705882,0.5490575349432251,0.3038836415273631,False,,,,,,2026-09-25T13:51:25Z,3.5,0.5490575349432251,closed,3.5,0.5490575349432251,2026-09-25T13:51:25Z,,,6.666666666666667,6.25,7.739380358486933,3.0,5.783664778114401
prizepicks|15235261,prizepicks,15235261,Bo Davidson,LAD @ SF,MLB,Hitter FS,hitter fs,,,,,standard,over,,182962,2026-09-26T16:05:00.000-04:00,over,2026-09-26T13:14:35Z,4.0,0.6111111111111112,0.5490575349432251,0.06205357616788609,False,,,,,,2026-09-26T13:14:35Z,4.0,0.5490575349432251,open,,,,,,5.75,4.891304347826087,8.00567729281331,4.0,5.773707936785344
