platform,source_event_id,source_market_id,source_selection_id,player_name,team,sport,stat_type,prop_category,line,over_american_odds,under_american_odds,game_id,game_start_time,status,pulled_at
draftkings,34118189,357446058,0QA357446058#2293595896_13L88808Q11711771981Q20,Kenneth Walker III,,NFL,First TD Scorer,player_touchdown,,330,,34118189,2026-09-27T17:00:00.0000000Z,,2026-09-26T19:17:15.290686+00:00
draftkings,34118189,357446058,0QA357446058#2293595900_13L88808Q11718127580Q20,Rashee Rice,,NFL,First TD Scorer,player_touchdown,,700,,34118189,2026-09-27T17:00:00.0000000Z,,2026-09-26T19:17:15.290686+00:00
draftkings,34118189,357446058,0QA357446058#2293595906_13L88808Q1-1767077256Q20,Travis Kelce,,NFL,First TD Scorer,player_touchdown,,700,,34118189,2026-09-27T17:00:00.0000000Z,,2026-09-26T19:17:15.290686+00:00
draftkings,34118189,357446058,0QA357446058#2293595822_13L88808Q1-947470194Q20,De'Von Achane,,NFL,First TD Scorer,player_touchdown,,750,,34118189,2026-09-27T17:00:00.0000000Z,,2026-09-26T19:17:15.290686+00:00
draftkings,34118189,357446058,0QA357446058#2293595913_13L88808Q1804434497Q20,Xavier Worthy,,NFL,First TD Scorer,player_touchdown,,900,,34118189,2026-09-27T17:00:00.0000000Z,,2026-09-26T19:17:15.290686+00:00
draftkings,34118189,357446058,0QA357446058#2293595918_13L88808Q11899509172Q20,Patrick Mahomes,,NFL,First TD Scorer,player_touchdown,,1600,,34118189,2026-09-27T17:00:00.0000000Z,,2026-09-26T19:17:15.290686+00:00
draftkings,34118189,357446058,0QA357446058#2293595825_13L88808Q1469502847Q20,Malik Willis,,NFL,First TD Scorer,player_touchdown,,1900,,34118189,2026-09-27T17:00:00.0000000Z,,2026-09-26T19:17:15.290686+00:00
draftkings,34118189,357446058,0QA357446058#2293595926_13L88808Q11294434944Q20,Emmett Johnson,,NFL,First TD Scorer,player_touchdown,,1900,,34118189,2026-09-27T17:00:00.0000000Z,,2026-09-26T19:17:15.290686+00:00
draftkings,34118189,357446058,0QA357446058#2293595922_13L88808Q1255265400Q20,Tyquan Thornton,,NFL,First TD Scorer,player_touchdown,,2000,,34118189,2026-09-27T17:00:00.0000000Z,,2026-09-26T19:17:15.290686+00:00
draftkings,34118189,357446058,0QA357446058#2293595833_13L88808Q1-775193394Q20,Malik Washington,,NFL,First TD Scorer,player_touchdown,,2200,,34118189,2026-09-27T17:00:00.0000000Z,,2026-09-26T19:17:15.290686+00:00
