platform,source_event_id,source_market_id,source_selection_id,player_name,team,sport,stat_type,prop_category,line,over_american_odds,under_american_odds,game_id,game_start_time,status,pulled_at
betmgm,2978439,anytd,15909,Kenneth Walker,KC,NFL,anytd,player_touchdown,,-125,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,14418,J.K. Dobbins,DEN,NFL,anytd,player_touchdown,,140,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,8783,Travis Kelce,KC,NFL,anytd,player_touchdown,,220,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,16963,Rashee Rice,KC,NFL,anytd,player_touchdown,,185,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,17687,Xavier Worthy,KC,NFL,anytd,player_touchdown,,240,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,15404,Jaylen Waddle,DEN,NFL,anytd,player_touchdown,,185,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,18522,RJ Harvey,DEN,NFL,anytd,player_touchdown,,240,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,12586,Courtland Sutton,DEN,NFL,anytd,player_touchdown,,250,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,18562,Pat Bryant,DEN,NFL,anytd,player_touchdown,,400,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,11805,Evan Engram,DEN,NFL,anytd,player_touchdown,,425,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,16995,Bo Nix,DEN,NFL,anytd,player_touchdown,,425,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,15831,Tyquan Thornton,KC,NFL,anytd,player_touchdown,,425,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,19631,Cyrus Allen,KC,NFL,anytd,player_touchdown,,850,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,19240,Emmett Johnson,KC,NFL,anytd,player_touchdown,,450,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,11839,Patrick Mahomes,KC,NFL,anytd,player_touchdown,,475,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,15459,Noah Gray,KC,NFL,anytd,player_touchdown,,700,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,19241,Jonah Coleman,DEN,NFL,anytd,player_touchdown,,625,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,16849,Marvin Mims,DEN,NFL,anytd,player_touchdown,,800,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,14541,Adam Trautman,DEN,NFL,anytd,player_touchdown,,950,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,18529,Brashard Smith,KC,NFL,anytd,player_touchdown,,950,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,17719,Troy Franklin,DEN,NFL,anytd,player_touchdown,,1300,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,16992,Nate Adkins,DEN,NFL,anytd,player_touchdown,,2200,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,18542,Jake Briningstool,KC,NFL,anytd,player_touchdown,,2000,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,anytd,16744,Nikko Remigio,KC,NFL,anytd,player_touchdown,,2200,,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,comp,11839,Patrick Mahomes,KC,NFL,comp,player_performance,22.5,105,-140,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,comp,16995,Bo Nix,DEN,NFL,comp,player_performance,21.5,-120,-110,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,passatt,11839,Patrick Mahomes,KC,NFL,passatt,player_performance,32.5,-118,-110,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,passatt,16995,Bo Nix,DEN,NFL,passatt,player_performance,34.5,-105,-125,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,passyds,11839,Patrick Mahomes,KC,NFL,passyds,player_performance,225.5,-110,-110,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,passyds,16995,Bo Nix,DEN,NFL,passyds,player_performance,223.5,-110,-110,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,passtd,11839,Patrick Mahomes,KC,NFL,passtd,player_performance,1.5,105,-140,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,passtd,16995,Bo Nix,DEN,NFL,passtd,player_performance,1.5,135,-185,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,intsthrown,11839,Patrick Mahomes,KC,NFL,intsthrown,player_performance,0.5,110,-145,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,intsthrown,16995,Bo Nix,DEN,NFL,intsthrown,player_performance,0.5,-135,100,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recs,14541,Adam Trautman,DEN,NFL,recs,player_performance,0.5,-250,185,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recs,14418,J.K. Dobbins,DEN,NFL,recs,player_performance,1.5,160,-220,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recs,15459,Noah Gray,KC,NFL,recs,player_performance,1.5,135,-185,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recs,18529,Brashard Smith,KC,NFL,recs,player_performance,1.5,160,-220,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recs,15831,Tyquan Thornton,KC,NFL,recs,player_performance,1.5,105,-140,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recs,18562,Pat Bryant,DEN,NFL,recs,player_performance,2.5,100,-135,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recs,11805,Evan Engram,DEN,NFL,recs,player_performance,2.5,-125,-105,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recs,18522,RJ Harvey,DEN,NFL,recs,player_performance,2.5,-105,-125,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recs,8783,Travis Kelce,KC,NFL,recs,player_performance,4.5,125,-165,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recs,12586,Courtland Sutton,DEN,NFL,recs,player_performance,3.5,-155,115,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recs,15909,Kenneth Walker,KC,NFL,recs,player_performance,3.5,125,-165,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recs,17687,Xavier Worthy,KC,NFL,recs,player_performance,3.5,110,-150,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recs,15404,Jaylen Waddle,DEN,NFL,recs,player_performance,4.5,-115,-115,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recs,16963,Rashee Rice,KC,NFL,recs,player_performance,5.5,-120,-110,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,rushrec,18529,Brashard Smith,KC,NFL,rushrec,player_performance,12.5,-110,-118,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,rushrec,18562,Pat Bryant,DEN,NFL,rushrec,player_performance,24.5,-115,-115,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,rushrec,18522,RJ Harvey,DEN,NFL,rushrec,player_performance,38.5,-115,-115,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,rushrec,17687,Xavier Worthy,KC,NFL,rushrec,player_performance,39.5,-110,-118,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,rushrec,12586,Courtland Sutton,DEN,NFL,rushrec,player_performance,41.5,-118,-115,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,rushrec,14418,J.K. Dobbins,DEN,NFL,rushrec,player_performance,54.5,-130,-105,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,rushrec,15404,Jaylen Waddle,DEN,NFL,rushrec,player_performance,54.5,-135,100,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,rushrec,15909,Kenneth Walker,KC,NFL,rushrec,player_performance,86.5,-115,-115,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recyds,14418,J.K. Dobbins,DEN,NFL,recyds,player_performance,3.5,-105,-115,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recyds,14541,Adam Trautman,DEN,NFL,recyds,player_performance,6.5,100,-118,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recyds,18529,Brashard Smith,KC,NFL,recyds,player_performance,6.5,-105,-115,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recyds,15459,Noah Gray,KC,NFL,recyds,player_performance,8.5,-115,-105,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recyds,18522,RJ Harvey,DEN,NFL,recyds,player_performance,16.5,-110,-110,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recyds,15831,Tyquan Thornton,KC,NFL,recyds,player_performance,17.5,-130,105,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recyds,11805,Evan Engram,DEN,NFL,recyds,player_performance,22.5,-110,-110,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recyds,18562,Pat Bryant,DEN,NFL,recyds,player_performance,23.5,-110,-110,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recyds,17687,Xavier Worthy,KC,NFL,recyds,player_performance,34.5,-120,100,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recyds,8783,Travis Kelce,KC,NFL,recyds,player_performance,38.5,-125,105,2978439,,,2026-09-14T13:03:30.206451+00:00
betmgm,2978439,recyds,12586,Courtland Sutton,DEN,NFL,recyds,player_performance,41.5,-110,-110,2978439,,,2026-09-14T13:03:30.206451+00:00
