platform,source_event_id,source_market_id,source_selection_id,player_name,team,sport,stat_type,prop_category,line,over_american_odds,under_american_odds,game_id,game_start_time,status,pulled_at
draftkings,34118255,334332914,0QA334332914#2238240545_13L88808Q1-1629863216Q20,Jared Wiley,,NFL,First TD Scorer,player_touchdown,,8000,,34118255,2026-09-15T00:15:00.0000000Z,,2026-09-14T13:03:13.780132+00:00
draftkings,34118255,334332914,0QA334332914#2242104561_13L88808Q11689265754Q20,Nate Adkins,,NFL,First TD Scorer,player_touchdown,,9000,,34118255,2026-09-15T00:15:00.0000000Z,,2026-09-14T13:03:13.780132+00:00
draftkings,34118255,334332914,0QA334332914#2150714453_13L88808Q1-1777442974Q20,,No Touchdown Scorer,NFL,First TD Scorer,player_touchdown,,10000,,34118255,2026-09-15T00:15:00.0000000Z,,2026-09-14T13:03:13.780132+00:00
draftkings,34118255,334332914,0QA334332914#2242104558_13L88808Q1-285798379Q20,Nikko Remigio,,NFL,First TD Scorer,player_touchdown,,13000,,34118255,2026-09-15T00:15:00.0000000Z,,2026-09-14T13:03:13.780132+00:00
draftkings,34118255,334332914,0QA334332914#2266386487_13L88808Q11037691863Q20,Dallen Bentley,,NFL,First TD Scorer,player_touchdown,,14000,,34118255,2026-09-15T00:15:00.0000000Z,,2026-09-14T13:03:13.780132+00:00
draftkings,34118255,334623096,0QA334623096#2151972177_13L88808Q11336808573Q20,Kenneth Walker III,,NFL,Anytime TD Scorer,player_touchdown,,,,34118255,2026-09-15T00:15:00.0000000Z,,2026-09-14T13:03:13.780132+00:00
draftkings,34118255,334623096,0QA334623096#2151972178_13L88808Q11138393391Q20,Rashee Rice,,NFL,Anytime TD Scorer,player_touchdown,,155,,34118255,2026-09-15T00:15:00.0000000Z,,2026-09-14T13:03:13.780132+00:00
draftkings,34118255,334623096,0QA334623096#2151972185_13L88808Q11696076099Q20,J.K. Dobbins,,NFL,Anytime TD Scorer,player_touchdown,,165,,34118255,2026-09-15T00:15:00.0000000Z,,2026-09-14T13:03:13.780132+00:00
draftkings,34118255,334623096,0QA334623096#2151972188_13L88808Q1-400886175Q20,Jaylen Waddle,,NFL,Anytime TD Scorer,player_touchdown,,180,,34118255,2026-09-15T00:15:00.0000000Z,,2026-09-14T13:03:13.780132+00:00
draftkings,34118255,334623096,0QA334623096#2151972179_13L88808Q1-511040682Q20,Travis Kelce,,NFL,Anytime TD Scorer,player_touchdown,,220,,34118255,2026-09-15T00:15:00.0000000Z,,2026-09-14T13:03:13.780132+00:00
