race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,rcv_field,rcv_winner_name,rcv_exhausted,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
GA-01,house,GA,01,Amanda Hollowell,Jim Kingston,DEM,REP,,REP,-8.57,19.7,80.3,Likely R,-11.66,5.3,-8.57,-1.91,0.0,-0.3,-15.92,7.35,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,162500,1944528,0,7389,294093,0,0,2151837,155572,1650436,0,44845,24117,0,1000,202450,0,32512,0,0,32512,0,0,45.71,54.29,0.0,116448,138284,0,0,254732
GA-02,house,GA,02,Sanford Bishop,Matt Day,DEM,REP,DEM,DEM,24.07,99.1,0.9,Safe D,12.2,5.3,24.07,1.14,5.49,-0.06,7.66,16.41,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,1126530,206344,0,447808,1768,0,0,0,861583,204576,0,19920,0,0,738750,0,0,0,182288,0,0,50000,0,62.03,37.97,0.0,137502,84158,0,0,221660
GA-03,house,GA,03,Maura Keller,Brian Jack,DEM,REP,REP,REP,-29.14,0.2,99.8,Safe R,-26.57,5.3,-29.14,-1.76,-5.67,-0.45,-29.88,0.74,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,150514,2045913,0,87576,1142625,0,0,0,65894,1143464,0,47952,212179,0,4000,836640,0,0,0,0,25520,8770,0,35.43,64.57,0.0,103779,189148,0,0,292926
GA-04,house,GA,04,Henry Johnson,James Duffie,DEM,REP,DEM,DEM,65.38,100.0,0.0,Safe D,58.19,5.3,65.38,0.0,1.33,0.56,53.04,12.34,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,402315,0,0,117906,0,0,0,0,396085,0,0,19345,0,0,317529,0,0,0,0,0,5211,0,0,82.69,17.31,0.0,178988,37471,0,0,216459
GA-05,house,GA,05,Nikema Williams,John Salvesen,DEM,REP,DEM,DEM,83.83,100.0,0.0,Safe D,76.6,5.3,83.83,0.0,1.79,0.14,72.33,11.5,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,599715,0,0,76092,0,0,0,0,536865,0,0,26128,0,0,402755,0,0,0,0,0,0,0,0,91.92,8.08,0.0,226492,19922,0,0,246414
GA-06,house,GA,06,Lucy McBath,Kevin Martin,DEM,REP,DEM,DEM,63.13,100.0,0.0,Safe D,53.72,5.3,63.13,2.07,1.78,0.26,50.34,12.79,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,896856,10320,0,676349,100,0,0,0,1173781,10220,0,53943,0,0,344217,0,0,0,10320,0,0,10320,0,81.56,18.44,0.0,214590,48501,0,0,263091
GA-07,house,GA,07,Tony Kozycki,Rich McCormick,DEM,REP,REP,REP,-20.9,2.0,98.0,Safe R,-18.55,5.3,-20.9,-1.01,-6.18,-0.47,-22.27,1.37,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,392831,1642413,0,277427,1007984,0,0,0,115405,1332251,0,14428,11662,0,5000,435500,0,316702,0,0,316702,1000,0,39.55,60.45,0.0,119655,182902,0,0,302558
GA-08,house,GA,08,Kelly Esti,Austin Scott,DEM,REP,REP,REP,-29.51,0.2,99.8,Safe R,-26.38,5.3,-29.51,-2.12,-6.01,-0.3,-30.76,1.25,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,19343,1124952,0,1688,1349452,0,1748,0,24003,755665,0,843,1338,0,0,703250,0,1000,0,0,0,0,0,35.24,64.76,0.0,85287,156699,0,0,241986
GA-09,house,GA,09,Caitlyn Gegen,Andrew Clyde,DEM,REP,REP,REP,-30.58,0.1,99.9,Safe R,-30.7,5.3,-30.58,-1.43,-3.57,-0.17,-34.33,3.75,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,43387,671072,0,4670,176253,0,44440,35522,38718,590804,0,10051,44424,0,2000,118711,0,6181,0,0,0,1298864,0,34.71,65.29,0.0,97582,183556,0,0,281138
GA-10,house,GA,10,Pamela DeLancy,Houston Gaines,DEM,REP,,REP,-16.22,5.5,94.5,Likely R,-17.64,5.3,-16.22,-2.86,-0.63,-0.38,-20.93,4.72,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,23080,2303880,0,8705,703420,0,0,2841837,11121,1600460,0,3980,35638,0,0,214510,0,7600,0,0,4100,0,0,41.89,58.11,0.0,121401,168393,0,0,289794
GA-11,house,GA,11,Chris Harden,John Cowan,DEM,REP,,REP,-17.31,4.4,95.6,Safe R,-20.07,5.3,-17.31,-2.21,0.0,-0.33,-23.52,6.21,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,76330,2347796,0,2237,17630,0,40096,815942,63995,2330167,0,14075,6233,0,2000,120000,0,17,1750020,0,87,1774962,0,41.34,58.66,0.0,121755,172745,0,0,294500
GA-12,house,GA,12,Ceretta Smith,Rick Allen,DEM,REP,REP,REP,-11.65,12.4,87.6,Likely R,-9.54,5.3,-11.65,-1.96,-5.19,-0.27,-14.2,2.55,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,26696,993220,0,3502,1320958,0,0,0,23291,847219,0,13242,30510,0,0,510750,0,1753,0,0,0,1639945,0,44.18,55.82,0.0,107871,136318,0,0,244189
GA-13,house,GA,13,Jasmine Clark,Jonathan Chavez,DEM,REP,,DEM,50.92,100.0,0.0,Safe D,45.35,5.3,50.92,0.0,-0.08,0.35,42.65,8.27,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,1619079,0,0,229145,0,0,4218293,0,1389935,0,0,1022238,0,0,55173,0,0,0,0,0,0,0,0,75.46,24.54,0.0,192681,62660,0,0,255340
GA-14,house,GA,14,Shawn Harris,Clay Fuller,DEM,REP,REP,REP,-21.7,1.6,98.4,Safe R,-33.99,5.3,-21.7,0.62,6.73,-0.37,-37.03,15.33,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,8098514,1846892,0,18230,70518,0,44069,5002827,8080284,1776374,0,6218091,173151,0,13688,305481,0,0,450000,0,0,411902,0,39.15,60.85,0.0,105801,164458,0,0,270259
HI-01,house,HI,01,Ed Case,Adriel Lam,DEM,REP,DEM,DEM,48.16,100.0,0.0,Safe D,29.07,5.3,48.16,0.0,14.37,-0.58,25.17,22.99,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,1093795,0,0,599649,0,0,0,0,810804,0,0,18123,0,0,522597,0,0,0,0,0,0,0,0,74.08,25.92,0.0,129034,45152,0,0,174187
HI-02,house,HI,02,Jill Tokuda,Brenton Awa,DEM,REP,DEM,DEM,43.67,100.0,0.0,Safe D,26.79,5.3,43.67,1.21,10.72,-0.35,22.06,21.61,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,820678,122615,0,570355,16101,0,0,0,733764,106514,0,81576,12812,0,183349,1000,0,0,0,0,0,0,0,71.84,28.16,0.0,134697,52807,0,0,187504
IA-01,house,IA,01,Christina Bohannan,Mariannette Miller-Meeks,DEM,REP,REP,REP,11.67,87.7,12.3,Likely D,-1.18,5.3,13.49,0.02,10.1,-0.75,-8.59,20.26,False,False,IND,0,,0.0,Michael Bridgford,11.0,0.0,,,0.0,confirmed,confirmed,40.0,35.0,2,5.0,0.15,7051745,7208271,189523,5425318,4691481,124859,1453524,329017,1733644,2890534,64664,1094239,936090,1400,502648,2421207,5000,7000,0,22671,0,0,100000,49.69,39.31,0.0,147722,116858,0,32701,297282
IA-02,house,IA,02,Lindsay James,Joe Mitchell,DEM,REP,,REP,1.57,56.4,43.6,Toss-up,-2.73,5.3,1.94,0.19,0.0,-0.83,-10.13,11.69,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,38.62,36.14,2,-0.52,0.15,1628201,1938593,0,755838,895564,0,2706635,10803,872363,1043029,0,178865,284402,0,210505,412850,0,0,100000,0,0,50000,0,50.78,49.22,0.0,149759,145138,0,0,294897
IA-03,house,IA,03,Sarah Trone Garriott,Zach Nunn,DEM,REP,REP,REP,4.7,68.1,31.9,Lean D,2.37,5.3,6.06,0.06,-1.03,-0.64,-4.46,9.17,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,42.0,48.0,1,-3.0,0.15,5293773,4869249,0,3859683,3568369,0,72949,38921,1434089,1353713,0,894587,143418,0,450786,1726477,0,120,0,0,0,0,0,52.35,47.65,0.0,155388,141430,0,0,296818
IA-04,house,IA,04,Dave Dawson,Chris McGowan,DEM,REP,,REP,-21.11,1.9,98.1,Safe R,-24.71,5.3,-21.11,-1.08,0.0,-0.62,-31.9,10.79,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,135722,679844,0,49762,328850,0,0,172669,85959,350993,0,43002,4236,0,10800,116500,0,0,0,0,0,0,0,39.45,60.55,0.0,108655,166802,0,0,275457
ID-01,house,ID,01,Kaylee Peterson,Russ Fulcher,DEM,REP,REP,REP,-36.81,0.0,100.0,Safe R,-45.75,5.3,-43.15,-0.84,-1.29,-0.56,-46.2,9.39,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,34.89,45.01,2,-10.16,0.192,181024,662615,0,14616,244700,0,0,0,171799,597924,0,68061,15894,0,12050,302350,0,0,0,0,0,0,0,31.6,68.4,0.0,106691,230986,0,0,337677
ID-02,house,ID,02,Elinor Gilbreath,Mike Simpson,DEM,REP,REP,REP,-29.79,0.2,99.8,Safe R,-27.94,5.3,-29.79,-1.51,-5.22,-0.42,-27.56,-2.22,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,106892,1118093,0,71163,429359,0,0,0,35729,793940,0,20551,2343,0,0,611500,0,0,0,0,0,0,0,35.11,64.89,0.0,103870,191995,0,0,295866
IL-01,house,IL,01,Jonathan Jackson,Christian Maxwell,DEM,REP,DEM,DEM,46.72,100.0,0.0,Safe D,39.36,5.3,46.72,1.06,0.87,0.13,32.27,14.45,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,418350,63316,0,47163,33832,0,0,0,424875,36042,0,10569,33450,0,142500,0,0,0,0,0,27000,0,0,73.36,26.64,0.0,169361,61506,0,0,230867
IL-02,house,IL,02,Donna Miller,Michael Noack,DEM,REP,,DEM,45.16,100.0,0.0,Safe D,39.5,5.3,45.16,0.0,0.0,0.36,33.6,11.56,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,2452894,0,0,40546,0,0,4379243,3843,2412349,0,0,63263,0,0,125750,0,0,0,0,0,13750,0,0,72.58,27.42,0.0,152154,57486,0,0,209640
IL-03,house,IL,03,Delia Ramirez,Angel Oakley,DEM,REP,DEM,DEM,50.66,100.0,0.0,Safe D,38.7,5.3,50.66,2.45,2.93,1.28,31.81,18.85,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,1465280,8080,0,946222,3738,0,0,0,986630,4341,0,148641,1880,0,371847,0,0,0,0,0,0,600,0,75.33,24.67,0.0,141828,46447,0,0,188275
IL-04,house,IL,04,Patty Garcia,Lupe Castillo,DEM,REP,,DEM,40.47,100.0,0.0,Safe D,37.79,5.3,45.32,0.0,0.0,2.23,28.79,11.68,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,34.0,15.0,1,19.0,0.184,358667,0,0,185499,0,0,0,0,173168,0,0,25300,0,0,172800,0,0,0,0,0,0,0,0,70.23,29.77,0.0,104995,44496,0,0,149491
IL-05,house,IL,05,Mike Quigley,Tommy Hanson,DEM,REP,DEM,DEM,48.95,100.0,0.0,Safe D,42.22,5.3,48.95,0.0,1.88,-0.45,37.55,11.4,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,725695,0,0,1187818,0,0,0,0,719060,0,0,7552,0,0,480608,0,0,0,0,0,0,0,0,74.47,25.53,0.0,196679,67411,0,0,264090
IL-06,house,IL,06,Sean Casten,Niki Conforti,DEM,REP,DEM,DEM,20.35,97.7,2.3,Safe D,10.74,5.3,20.35,1.34,3.32,-0.35,5.67,14.68,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,2108920,313038,0,1285018,22661,0,12087,0,1518045,295578,0,188627,194487,0,724183,4950,0,0,0,0,455694,0,0,60.17,39.83,0.0,158081,104625,0,0,262706
IL-07,house,IL,07,La Shawn Ford,Chad Koppie,DEM,REP,,DEM,75.9,100.0,0.0,Safe D,72.4,5.3,75.9,-0.15,-1.95,0.3,66.13,9.77,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,722009,55451,0,112588,42,0,0,2527703,609421,55408,0,37545,0,0,57250,0,0,175000,53154,0,175000,0,0,87.95,12.05,0.0,172138,23589,0,0,195727
IL-08,house,IL,08,Melissa Bean,Jennifer Davis,DEM,REP,,DEM,19.33,97.2,2.8,Safe D,13.15,5.3,19.33,0.8,0.0,0.08,7.01,12.32,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,2071076,1476009,0,144530,730401,0,7177655,59974,1926546,745608,0,26412,30552,0,275750,14000,0,323000,1000000,0,396373,1000000,0,59.67,40.33,0.0,129921,87828,0,0,217748
