race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,rcv_field,rcv_winner_name,rcv_exhausted,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Jonathan Kreiss-Tomkins,Bernadette Wilson,DEM,REP,,REP,11.77,87.4,12.6,Likely D,-13.27,5.31,-9.02,0.0,0.0,-1.06,-13.8,4.77,True,False,,4,Jonathan Kreiss-Tomkins,10.81,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.49,54.51,0.0,107557,128889,0,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-19.44,2.8,97.2,Safe R,-29.66,5.31,-21.46,0.0,3.37,-0.48,-30.88,11.44,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,40.99,49.01,2,-8.01,0.15,0,13792994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.28,59.72,0.0,638653,946910,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-21.5,1.7,98.3,Safe R,-30.62,5.31,-25.94,0.0,-0.13,-0.51,-31.57,10.07,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,40.0,45.0,1,-5.0,0.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.25,60.75,0.0,329493,509964,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,8.68,80.6,19.4,Likely D,-4.25,5.31,8.37,0.94,6.01,0.36,-5.59,14.26,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,46.33,37.27,19,9.36,0.311,9827820,2787170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.34,45.66,0.0,1289176,1083347,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,27.83,99.7,0.3,Safe D,23.42,5.31,29.87,0.25,0.0,0.89,20.82,7.01,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,56.04,35.51,5,20.53,0.218,24217949,17445485,0,10580853,2163517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.92,36.08,0.0,7093667,4004876,0,0,11098543
CO-GOV,governor,CO,GOV,Phil Weiser,Victor Marx,DEM,REP,,DEM,17.82,96.1,3.9,Safe D,11.48,5.31,17.41,0.64,0.0,-0.01,11.29,6.52,False,False,IND,0,,0.0,Greg Lopez,3.6,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,6951032,2935521,84692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.79,39.61,0.0,1269166,885298,0,80457,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,19.21,97.1,2.9,Safe D,15.88,5.31,20.08,0.0,-1.03,-0.09,14.76,4.45,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,50.91,34.49,3,16.43,0.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.61,40.39,0.0,733823,497317,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-6.43,26.1,73.9,Lean R,-10.43,5.31,-7.24,-2.16,-0.47,0.51,-13.22,6.8,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,39.39,43.16,17,-4.38,0.283,5531882,99442171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.79,53.21,0.0,3581455,4073371,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,2.0,58.1,41.9,Toss-up,-1.84,5.31,1.09,-2.26,0.0,-0.12,-2.21,4.21,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,49.9,45.89,8,4.51,0.265,5774631,118984243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0,49.0,0.0,1874205,1800841,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,32.24,99.9,0.1,Safe D,25.72,5.31,32.24,0.0,1.67,-0.46,23.56,8.68,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.12,33.88,0.0,239149,122542,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,5.07,69.4,30.6,Lean D,-12.13,5.31,5.39,2.06,10.86,-0.71,-13.45,18.52,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,49.12,44.77,8,4.37,0.311,19860206,1218702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.54,47.46,0.0,611771,552683,0,0,1164454
